shield_g_cm2,decomposition_axis,band_low,band_high,contribution_s-1_if_retained,fraction_of_total_direct,status
2.0,angle,0,30,4.6507642883070515e-14,0.0037945058180319153,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.0,angle,30,45,6.966701599224579e-13,0.056840527947660674,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.0,angle,45,60,1.1513396697031107e-11,0.9393649740975571,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.0,angle,45,50,,0.10558598667821581,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.0,angle,50,55,,0.2573968289741968,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.0,angle,55,60,,0.5763821476600381,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.0,let,0,16.5,0.0,0.0,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.0,let,16.5,33,1.2059634226356214e-11,0.9839318743866705,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.0,let,33,42,1.64795457437423e-13,0.01344547440522206,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.0,let,42,57,1.9644521555598294e-14,0.0016027742262187455,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.0,let,57,1000000000.0,1.130165882926698e-14,0.0009220895216918383,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.5,angle,0,30,3.979194020037439e-14,0.00403995211560969,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.5,angle,30,45,5.753991907149875e-13,0.058418492944640216,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.5,angle,45,60,9.234415840407887e-12,0.9375415630154286,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.5,angle,45,50,,0.10656195189051992,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.5,angle,50,55,,0.25765651631164593,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.5,angle,55,60,,0.5733230842035264,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.5,let,0,16.5,0.0,0.0,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.5,let,16.5,33,9.680054471801175e-12,0.9827858693405015,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.5,let,33,42,1.416718050462768e-13,0.014383498407890258,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.5,let,42,57,1.7083129113109256e-14,0.0017343970475983443,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
2.5,let,57,1000000000.0,9.773692681691818e-15,0.0009922926659994401,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
3.0,angle,0,30,3.473676758244157e-14,0.004199307281905795,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
3.0,angle,30,45,4.914172331698456e-13,0.05940713858324648,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
3.0,angle,45,60,7.745869343903633e-12,0.936393562335575,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
3.0,angle,45,50,,0.10715630822578993,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
3.0,angle,50,55,,0.2578002701435228,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
3.0,angle,55,60,,0.5714369734585145,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
3.0,let,0,16.5,0.0,0.0,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
3.0,let,16.5,33,8.123383038212545e-12,0.9820309694940895,UNREVIEWED_DIAGNOSTIC_RETAINED_NOT_RERUN
