source_file,raw_cell_records,address_bearing_records,strict_service_records,ambiguous_records,primary_eligible_raw_records,deduplicated_record_checks,event_local_duplicates_removed,unique_triples,novel_unique_triples_vs_training,exact_matches,mismatches,mismatch_fraction
clust_U142.8GeV.txt,6711,6711,0,1,6710,6707,3,6707,6704,6707,0,0
clust_U190.4GeV.txt,5485,5485,0,1,5484,5484,0,5484,5481,5484,0,0
clust_U35.7GeV.txt,6231,6231,0,1,6230,6230,0,6230,6229,6230,0,0
clust_U45.2GeV.txt,12354,12354,0,1,12353,12340,13,12332,12327,12340,0,0
clust_U78.5GeV.txt,9823,9823,0,1,9822,9822,0,9822,9820,9822,0,0
clust_p0.9MeV.txt,7508,7508,1,0,7507,7507,0,7507,7507,7507,0,0
clust_p1.1MeV.txt,14092,14092,2,0,14090,14090,0,14085,14081,14090,0,0
clust_p1.5MeV.txt,3225,3225,1,0,3224,3224,0,3224,3223,3224,0,0
clust_p186MeV.txt,12973,12973,1,0,12972,12969,3,12968,12964,12969,0,0
clust_p1MeV.txt,4711,4711,1,0,4710,4710,0,4710,4707,4710,0,0
clust_p2.5MeV.txt,29012,29012,4,0,29008,29008,0,28931,28920,29008,0,0
clust_p3MeV.txt,25042,25042,2,0,25040,25040,0,24976,24969,25040,0,0
clust_p4MeV.txt,4407,4407,1,0,4406,4406,0,4403,4403,4406,0,0
clust_p5MeV.txt,2054,2054,1,0,2053,2053,0,2053,2053,2053,0,0
