shield_mm,window_duration,window_statistic,window_start_utc,epsilon_analysis,sigma_model,risk_semantics,low_energy_model,previous_disposition,theta_infeasible,critical_tau_before_infeasible_s,critical_Lambda_D,critical_F_D,theta_solver_status,theta_tolerance,direct_information_margin,energy_attribution_status,scientific_status,descriptive_margin_label
0.0,1h,median,,0.01,main_loglog,product_estimate,K1_only,C — FEASIBILITY FLIP,0.0015377094096109,1,0.0088433460172126,0.0088043586437449,THRESHOLD_RESOLVED,0.0001,0.0015377094096109,QA_REFERENCE,THRESHOLD_RESOLVED;QA_REFERENCE,VERY-SENSITIVE
1.0,5min,p95,,0.0001,published_rpp_fluka_digitized,dependence_upper,K1_only,C — FEASIBILITY FLIP,0.0083612251160239,1,9.996687908859234e-05,9.996188256663192e-05,THRESHOLD_RESOLVED,0.0001,0.0083612251160239,MIXED,THRESHOLD_RESOLVED;MIXED,VERY-SENSITIVE
2.0,24h,median,,1e-06,main_loglog,product_estimate,K1_only,C — FEASIBILITY FLIP,1.316597989858568e-05,1,9.99697963527903e-07,9.996974638300605e-07,NUMERICALLY_NEAR_BOUNDARY,0.0001,1.316597989858568e-05,MIXED,NUMERICALLY_NEAR_BOUNDARY;MIXED,VERY-SENSITIVE
2.0,7d,median,,1e-06,published_rpp_fluka_digitized,dependence_upper,K1_only,C — FEASIBILITY FLIP,2.160393071725999e-06,1,9.977257357177989e-07,9.977252379896423e-07,NUMERICALLY_NEAR_BOUNDARY,0.0001,2.160393071725999e-06,MIXED,NUMERICALLY_NEAR_BOUNDARY;MIXED,VERY-SENSITIVE
3.0,5min,p95,,0.0001,published_rpp_fluka_digitized,product_estimate,K1_only,C — FEASIBILITY FLIP,0.0809359035086756,1,0.0001000047143337,9.999971402895717e-05,THRESHOLD_RESOLVED,0.0001,0.0809359035086756,MIXED,THRESHOLD_RESOLVED;MIXED,SENSITIVE
5.0,1h,p95,,0.0001,published_rpp_fluka_digitized,dependence_upper,K1_only,C — FEASIBILITY FLIP,0.0210132212347442,1,0.0001000048430146,9.999984269700493e-05,THRESHOLD_RESOLVED,0.0001,0.0210132212347442,MIXED,THRESHOLD_RESOLVED;MIXED,SENSITIVE
5.0,6h,max,2026-01-19T15:50:00+00:00,0.01,main_loglog,product_estimate,low_energy_conservative,C — FEASIBILITY FLIP,3.570146205096664e-05,1,0.0030947667936085,0.0030899829390989,NUMERICALLY_NEAR_BOUNDARY,0.0001,3.570146205096664e-05,MIXED,NUMERICALLY_NEAR_BOUNDARY;MIXED,VERY-SENSITIVE
7.0,1h,p95,,0.0001,published_rpp_fluka_digitized,dependence_upper,low_energy_conservative,C — FEASIBILITY FLIP,0.0186815475892464,1,0.0001000049473152,9.999994698719882e-05,THRESHOLD_RESOLVED,0.0001,0.0186815475892464,MIXED,THRESHOLD_RESOLVED;MIXED,SENSITIVE
7.0,6h,max,2026-01-19T15:50:00+00:00,0.01,main_loglog,product_estimate,low_energy_conservative,C — FEASIBILITY FLIP,0.0001607304199925,1,0.0077592504372094,0.0077292251616013,THRESHOLD_RESOLVED,0.0001,0.0001607304199925,MIXED,THRESHOLD_RESOLVED;MIXED,VERY-SENSITIVE
10.0,1h,p95,,1e-05,main_loglog,dependence_upper,low_energy_conservative,C — FEASIBILITY FLIP,0.0030432026050762,1,1.0000043433371126e-05,9.99999343310346e-06,THRESHOLD_RESOLVED,0.0001,0.0030432026050762,MIXED,THRESHOLD_RESOLVED;MIXED,VERY-SENSITIVE
10.0,5min,p99,,1e-06,published_rpp_fluka_digitized,product_estimate,low_energy_conservative,C — FEASIBILITY FLIP,0.0001037618252238,1,9.966605250713847e-07,9.966600284054486e-07,THRESHOLD_RESOLVED,0.0001,0.0001037618252238,MIXED,THRESHOLD_RESOLVED;MIXED,VERY-SENSITIVE
10.0,7d,p99,,0.1,published_rpp_fluka_digitized,dependence_upper,low_energy_conservative,C — FEASIBILITY FLIP,0.0042068432480903,1,0.1049938935823338,0.0996699796393785,THRESHOLD_RESOLVED,0.0001,0.0042068432480903,MIXED,THRESHOLD_RESOLVED;MIXED,VERY-SENSITIVE
