shield_mm,window_duration,window_statistic,epsilon_analysis,sigma_model,low_energy_model,theta_product,theta_upper,delta_theta_upper_minus_product
1.0,7d,median,0.0001,main_loglog,K1_only,0.000165260658907,0.000165260658907,0.0
1.0,7d,median,1e-05,published_rpp_fluka_digitized,low_energy_conservative,1.2639566407821716e-05,1.263956640775446e-05,-6.725611007788596e-17
7.0,6h,p95,1e-06,published_rpp_fluka_digitized,low_energy_conservative,2.732623312021832e-05,2.732623312008978e-05,-1.2853894381173459e-16
2.0,24h,median,1e-06,main_loglog,K1_only,1.316597989858568e-05,1.3165979898937336e-05,3.5165589244798984e-16
7.0,24h,median,0.01,published_rpp_fluka_digitized,K1_only,0.2028324581981896,0.2028324581981903,6.938893903907228e-16
3.0,24h,median,0.0001,main_loglog,K1_only,0.0015000814973449,0.0015000814973436,-1.2999584048101198e-15
2.0,5min,p95,1e-05,published_rpp_fluka_digitized,K1_only,0.0041754941770369,0.0041754941770347,-2.1996293675385918e-15
3.0,6h,p95,0.1,main_loglog,K1_only,0.9996758789061306,0.9996758789061272,-3.4416913763379853e-15
2.0,1h,median,1e-06,main_loglog,low_energy_conservative,0.0002510237884318,0.0002510237884259,-5.900011382231618e-15
3.0,1h,median,1e-06,main_loglog,K1_only,0.0003596171961012,0.0003596171960893,-1.1899986204766401e-14
1.0,5min,median,1e-05,published_rpp_fluka_digitized,K1_only,0.0356627403613999,0.0356627403614236,2.3696322681843185e-14
2.0,5min,median,1e-06,main_loglog,K1_only,0.0037324338766078,0.0037324338766736,6.579979616727627e-14
2.0,5min,median,1e-06,published_rpp_fluka_digitized,K1_only,0.0042450704232227,0.004245070423005,-2.1769998997944742e-13
2.0,24h,p95,0.0001,main_loglog,low_energy_conservative,2.7864015361793573e-05,2.7864014118108747e-05,-1.2436848256705112e-12
10.0,6h,p99,1e-05,published_rpp_fluka_digitized,K1_only,3.1378615101621124e-06,3.1378538685679915e-06,-7.641594120850895e-12
2.0,1h,p99,0.001,published_rpp_fluka_digitized,low_energy_conservative,0.0003200114141421,0.0003200111570657,-2.5707639998966825e-10
10.0,7d,p99,0.1,published_rpp_fluka_digitized,low_energy_conservative,0.0042068459357109,0.0042068432480903,-2.6876206000309155e-09
1.0,1h,p99,0.1,main_loglog,low_energy_conservative,0.010210973218603,0.010210961846364,-1.137223899945472e-08
7.0,7d,p99,0.1,published_rpp_fluka_digitized,K1_only,0.003378605190068,0.0033784816618601,-1.2352820790003868e-07
2.0,5min,max,0.1,main_loglog,K1_only,0.0044715446872939,0.0044062643456606,-6.52803416332998e-05
