shield_mm,window_duration,window_statistic,epsilon_analysis,sigma_model,risk_semantics,energy_class,theta_M_crit_change_across_thetaL,theta_M_crit_at_thetaL0,theta_M_crit_at_thetaL1
1.0,6h,median,0.01,main_loglog,dependence_upper,MEASURED-SUPPORT-DOMINATED,0.3848367898204128,0.4554146606258528,0.07057787080544
3.0,1h,median,0.001,main_loglog,product_estimate,MEASURED-SUPPORT-DOMINATED,0.1288761746517569,0.3597978358546544,0.2309216612028975
3.0,7d,median,0.1,published_rpp_fluka_digitized,product_estimate,MEASURED-SUPPORT-DOMINATED,0.1661934630172791,0.2647905340503159,0.0985970710330367
5.0,5min,median,0.0001,main_loglog,product_estimate,MEASURED-SUPPORT-DOMINATED,0.0206886771933977,0.4784528536529236,0.4577641764595259
5.0,7d,median,0.1,published_rpp_fluka_digitized,product_estimate,MEASURED-SUPPORT-DOMINATED,0.0240078326801752,0.2990233870134108,0.2750155543332356
7.0,5min,median,1e-05,published_rpp_fluka_digitized,product_estimate,MEASURED-SUPPORT-DOMINATED,0.0222773919183174,0.0581022878371831,0.0358248959188657
7.0,7d,median,0.1,main_loglog,product_estimate,MEASURED-SUPPORT-DOMINATED,0.014560724638073,0.2529198731495423,0.2383591485114692
10.0,24h,median,0.001,published_rpp_fluka_digitized,product_estimate,MEASURED-SUPPORT-DOMINATED,0.0172009310293774,0.0205822550579654,0.003381324028588
10.0,6h,median,0.001,main_loglog,product_estimate,MEASURED-SUPPORT-DOMINATED,0.0126077768378397,0.0688001092431052,0.0561923324052655
10.0,7d,median,0.1,published_rpp_fluka_digitized,product_estimate,MEASURED-SUPPORT-DOMINATED,0.0165006791667253,0.3078026627285192,0.2913019835617939
1.0,1h,median,1e-06,main_loglog,dependence_upper,MIXED,0.0002707991725668,0.0002707991725668,0.0
1.0,6h,median,0.001,published_rpp_fluka_digitized,product_estimate,MIXED,0.0506396828628408,0.0506396828628408,0.0
2.0,5min,p95,0.0001,main_loglog,product_estimate,MIXED,0.0423460842055501,0.0423460842055501,0.0
3.0,24h,median,1e-06,published_rpp_fluka_digitized,product_estimate,MIXED,1.753000448452726e-05,1.753000448452726e-05,0.0
3.0,7d,median,0.01,published_rpp_fluka_digitized,product_estimate,MIXED,0.0252583585137654,0.0252583585137654,0.0
5.0,5min,p99,0.001,published_rpp_fluka_digitized,product_estimate,MIXED,0.0491734147685977,0.0491734147685977,0.0
7.0,24h,max,0.01,main_loglog,product_estimate,MIXED,0.0002595029150262,0.0002595029150262,0.0
7.0,6h,p99,0.1,published_rpp_fluka_digitized,product_estimate,MIXED,0.0373442336608375,0.0373442336608375,0.0
10.0,24h,p99,0.1,published_rpp_fluka_digitized,product_estimate,MIXED,0.0094098136648902,0.0094098136648902,0.0
10.0,7d,p99,0.1,published_rpp_fluka_digitized,product_estimate,MIXED,0.0087476436547706,0.0087476436547706,0.0
