shield_mm,window_duration,window_statistic,epsilon_analysis,sigma_model,risk_semantics,theta_low_fixed,theta_measured_crit,status,Lambda_D_low,Lambda_D_measured,F_total_at_boundary
1.0,1h,median,1e-06,main_loglog,product_estimate,0.0,0.0002707991725708,THRESHOLD_RESOLVED,0.0,9.999676328333937e-07,1e-06
1.0,6h,median,1e-06,published_rpp_fluka_digitized,product_estimate,0.5,0.0,ALWAYS_INFEASIBLE,0.0049355743963133,0.0,0.0049234146991604
2.0,24h,p95,0.0001,main_loglog,product_estimate,0.75,0.0,ALWAYS_INFEASIBLE,1.3314517429586796,0.0,0.735907150197065
3.0,1h,max,0.1,main_loglog,dependence_upper,0.0,0.0004507864819513,THRESHOLD_RESOLVED,0.0,0.0292620848832309,0.1
3.0,5min,p99,0.001,main_loglog,dependence_upper,0.5,0.0,ALWAYS_INFEASIBLE,0.031263597948051,0.0,0.0307804943576131
5.0,1h,p99,0.0001,published_rpp_fluka_digitized,dependence_upper,1.0,0.0,ALWAYS_INFEASIBLE,0.2498431503962085,0.0,0.2210775712689914
5.0,6h,median,1e-05,published_rpp_fluka_digitized,product_estimate,0.0,0.0007970779646822,THRESHOLD_RESOLVED,0.0,1.0000048833076887e-05,1e-05
7.0,1h,p99,1e-05,published_rpp_fluka_digitized,product_estimate,0.5,0.0,ALWAYS_INFEASIBLE,0.0729644682251461,0.0,0.0703662549764891
7.0,6h,median,1e-06,main_loglog,product_estimate,1.0,0.0,ALWAYS_INFEASIBLE,0.0002296040511316,0.0,0.0002295776950676
10.0,1h,p95,0.0001,published_rpp_fluka_digitized,dependence_upper,0.25,0.0,ALWAYS_INFEASIBLE,0.0001867043951779,0.0,0.0001866869751125
10.0,5min,p99,1e-05,main_loglog,dependence_upper,0.5,0.0,ALWAYS_INFEASIBLE,0.0020722062496965,0.0,0.0020700634453144
10.0,7d,p99,0.1,published_rpp_fluka_digitized,dependence_upper,1.0,0.0,ALWAYS_INFEASIBLE,12.957344360734488,0.0,0.9999976420178058
