case_id,direction,shield_mm,window_duration,window_statistic,epsilon_analysis,sigma_model,low_energy_model,theta_central,theta_direction,delta_theta_direction_minus_central,status,theta_tolerance
0,East,1.0,6h,p95,0.0001,published_rpp_fluka_digitized,K1_only,0.0001033316397276,0.0001678466796875,6.45150399599e-05,FINITE,3.0517578125e-05
1,East,10.0,5min,max,0.001,published_rpp_fluka_digitized,K1_only,0.0024149918139041,0.0021209716796875,-0.00029402013421659995,FINITE,3.0517578125e-05
2,East,3.0,6h,p95,0.1,main_loglog,K1_only,0.9996758789061306,,,ALWAYS_FEASIBLE,3.0517578125e-05
3,East,1.0,1h,p99,0.01,main_loglog,K1_only,0.0020545986853816,0.0027618408203125,0.0007072421349309001,FINITE,3.0517578125e-05
4,East,5.0,24h,max,0.1,main_loglog,K1_only,0.0018052875343072,0.0018157958984375,1.0508364130299916e-05,FINITE,3.0517578125e-05
5,East,10.0,7d,median,0.001,published_rpp_fluka_digitized,K1_only,0.0029228848164274,0.0026397705078125,-0.0002831143086148998,FINITE,3.0517578125e-05
0,West,1.0,6h,p95,0.0001,published_rpp_fluka_digitized,K1_only,0.0001033316397276,7.62939453125e-05,-2.70376944151e-05,FINITE,3.0517578125e-05
1,West,10.0,5min,max,0.001,published_rpp_fluka_digitized,K1_only,0.0024149918139041,0.0024261474609375,1.1155647033400055e-05,FINITE,3.0517578125e-05
2,West,3.0,6h,p95,0.1,main_loglog,K1_only,0.9996758789061306,0.8399200439453125,-0.15975583496081813,FINITE,3.0517578125e-05
3,West,1.0,1h,p99,0.01,main_loglog,K1_only,0.0020545986853816,0.0016021728515625,-0.0004524258338190999,FINITE,3.0517578125e-05
4,West,5.0,24h,max,0.1,main_loglog,K1_only,0.0018052875343072,0.0017852783203125,-2.0009213994700084e-05,FINITE,3.0517578125e-05
5,West,10.0,7d,median,0.001,published_rpp_fluka_digitized,K1_only,0.0029228848164274,0.0032806396484375,0.0003577548320101002,FINITE,3.0517578125e-05
