shield_mm,window_duration,window_statistic,epsilon_analysis,sigma_model,risk_semantics,theta_K1,theta_LEC,delta_theta_LEC_minus_K1
3.0,24h,p95,1e-06,main_loglog,dependence_upper,0.0,0.0,0.0
7.0,6h,median,1e-06,published_rpp_fluka_digitized,product_estimate,8.084996090244829e-05,7.907178882209058e-05,-1.778172080357717e-06
2.0,7d,median,1e-05,published_rpp_fluka_digitized,dependence_upper,2.164852596681204e-05,1.634672705310725e-05,-5.301798913704789e-06
5.0,5min,p99,1e-06,main_loglog,product_estimate,4.494420208368195e-05,2.366459304744589e-05,-2.127960903623606e-05
1.0,24h,median,1e-05,main_loglog,product_estimate,0.0001132814362976,8.154695310087685e-05,-3.173448319672316e-05
10.0,1h,median,1e-05,main_loglog,product_estimate,0.0041373748040799,0.0040752471603267,-6.212764375319955e-05
7.0,6h,median,0.0001,main_loglog,product_estimate,0.0067558012221865,0.006649543341466,-0.0001062578807204
10.0,6h,p95,1e-05,published_rpp_fluka_digitized,dependence_upper,0.0006889236429269,0.0005010984960275,-0.0001878251468994
2.0,1h,p99,0.001,published_rpp_fluka_digitized,dependence_upper,0.0007088872413721,0.0003200111570657,-0.0003888760843064
10.0,6h,max,0.01,published_rpp_fluka_digitized,dependence_upper,0.0010677802950032,0.0004988636056411,-0.0005689166893621
5.0,7d,p99,0.1,published_rpp_fluka_digitized,dependence_upper,0.0017701819944151,0.0008409616877182,-0.0009292203066969
1.0,5min,p99,0.001,published_rpp_fluka_digitized,product_estimate,0.0024855286399743,0.0010688623037804,-0.0014166663361939
7.0,24h,p95,0.001,main_loglog,product_estimate,0.0062371546240512,0.0036566016328906,-0.0025805529911605
7.0,24h,median,0.01,published_rpp_fluka_digitized,product_estimate,0.2028324581981896,0.1985155805100339,-0.0043168776881556
5.0,7d,median,0.1,published_rpp_fluka_digitized,dependence_upper,0.2990233870134108,0.2920333008601684,-0.0069900861532424
1.0,5min,median,1e-05,published_rpp_fluka_digitized,product_estimate,0.0356627403613999,0.0236994863978527,-0.0119632539635472
5.0,5min,max,0.1,main_loglog,dependence_upper,0.0525245659434629,0.0268806550157286,-0.0256439109277343
10.0,5min,p95,0.0001,main_loglog,dependence_upper,0.4109237611604145,0.3562852400392319,-0.0546385211211826
7.0,5min,p95,0.0001,published_rpp_fluka_digitized,product_estimate,0.3502567035468268,0.2231604255958896,-0.1270962779509372
3.0,6h,p95,0.1,published_rpp_fluka_digitized,product_estimate,0.9996339227330768,0.4735665609924352,-0.5260673617406416
