shield_mm,window_duration,window_statistic,epsilon_analysis,sigma_model,risk_semantics,low_energy_model,theta,tau_scrub_s,F_interpolated,feasible
1.0,6h,p99,0.1,main_loglog,dependence_upper,K1_only,0.0,1,0.0085971322948002,True
1.0,6h,p99,0.1,main_loglog,dependence_upper,K1_only,0.0,2,0.0171939300332185,True
1.0,6h,p99,0.1,main_loglog,dependence_upper,K1_only,0.0,5,0.0429823159283547,True
1.0,6h,p99,0.1,main_loglog,dependence_upper,K1_only,0.0,10,0.0859562681288918,True
1.0,6h,p99,0.1,main_loglog,dependence_upper,K1_only,0.0,20,0.1718790822551406,False
1.0,6h,p99,0.1,main_loglog,dependence_upper,K1_only,0.0,30,0.2577684441959216,False
1.0,6h,p99,0.1,main_loglog,dependence_upper,K1_only,0.0,60,0.515235835075291,False
1.0,6h,p99,0.1,main_loglog,dependence_upper,K1_only,0.0,120,1.0,False
1.0,6h,p99,0.1,main_loglog,dependence_upper,K1_only,0.0,300,1.0,False
1.0,6h,p99,0.1,main_loglog,dependence_upper,K1_only,0.0,600,1.0,False
1.0,6h,p99,0.1,main_loglog,dependence_upper,K1_only,0.0,1200,1.0,False
1.0,6h,p99,0.1,main_loglog,dependence_upper,K1_only,0.0,1800,1.0,False
1.0,6h,p99,0.1,main_loglog,dependence_upper,K1_only,0.0,3600,1.0,False
5.0,24h,max,0.1,published_rpp_fluka_digitized,dependence_upper,K1_only,0.0,1,0.0083817840996401,True
5.0,24h,max,0.1,published_rpp_fluka_digitized,dependence_upper,K1_only,0.0,2,0.0167633361855329,True
5.0,24h,max,0.1,published_rpp_fluka_digitized,dependence_upper,K1_only,0.0,5,0.0419066003895544,True
5.0,24h,max,0.1,published_rpp_fluka_digitized,dependence_upper,K1_only,0.0,10,0.0838074007236973,True
5.0,24h,max,0.1,published_rpp_fluka_digitized,dependence_upper,K1_only,0.0,20,0.1675916026670202,False
5.0,24h,max,0.1,published_rpp_fluka_digitized,dependence_upper,K1_only,0.0,30,0.2513526087122519,False
5.0,24h,max,0.1,published_rpp_fluka_digitized,dependence_upper,K1_only,0.0,60,0.5024964802759818,False
5.0,24h,max,0.1,published_rpp_fluka_digitized,dependence_upper,K1_only,0.0,120,1.0,False
5.0,24h,max,0.1,published_rpp_fluka_digitized,dependence_upper,K1_only,0.0,300,1.0,False
5.0,24h,max,0.1,published_rpp_fluka_digitized,dependence_upper,K1_only,0.0,600,1.0,False
5.0,24h,max,0.1,published_rpp_fluka_digitized,dependence_upper,K1_only,0.0,1200,1.0,False
5.0,24h,max,0.1,published_rpp_fluka_digitized,dependence_upper,K1_only,0.0,1800,1.0,False
5.0,24h,max,0.1,published_rpp_fluka_digitized,dependence_upper,K1_only,0.0,3600,1.0,False
