shield_mm,window_duration,window_statistic,epsilon_analysis,risk_semantics,low_energy_model,theta_main,theta_published,delta_theta_published_minus_main
5.0,24h,p95,1e-06,dependence_upper,low_energy_conservative,2.0290556150350216e-06,2.021019151165022e-06,-8.036463869999814e-09
7.0,7d,median,1e-06,product_estimate,K1_only,2.400294857911359e-06,2.875110941030365e-06,4.748160831190057e-07
7.0,6h,p95,0.0001,dependence_upper,low_energy_conservative,0.002732097306348,0.0027340672274402,1.969921092200011e-06
1.0,5min,p95,1e-06,product_estimate,K1_only,8.485300604317705e-05,8.045117134120296e-05,-4.401834701974085e-06
2.0,24h,median,1e-05,product_estimate,low_energy_conservative,0.0001043812127541,0.0001113998064744,7.018593720300008e-06
10.0,5min,max,0.0001,product_estimate,low_energy_conservative,9.052678059682684e-05,7.737276408015846e-05,-1.315401651666838e-05
5.0,7d,max,0.01,dependence_upper,low_energy_conservative,2.4002846087067925e-05,3.2220508125508297e-06,-2.0780795274517096e-05
10.0,24h,p95,0.001,product_estimate,low_energy_conservative,0.0076017124218168,0.0076337297093869,3.2017287570099313e-05
7.0,7d,median,0.0001,dependence_upper,K1_only,0.0002400636535147,0.0002875448190763,4.748116556159998e-05
7.0,1h,median,1e-06,dependence_upper,low_energy_conservative,0.0003991796405444,0.0004748704012159,7.569076067149997e-05
7.0,24h,p99,0.1,product_estimate,low_energy_conservative,0.001789618087565,0.0016573721114961,-0.0001322459760688
2.0,6h,median,0.0001,product_estimate,low_energy_conservative,0.0042113158828615,0.0045044282227691,0.0002931123399075
10.0,6h,max,0.1,dependence_upper,low_energy_conservative,0.0058704332375191,0.0054047298488436,-0.0004657033886755
7.0,5min,max,0.1,dependence_upper,K1_only,0.0978916605382868,0.0987762573998532,0.0008845968615664
10.0,5min,p99,0.001,dependence_upper,K1_only,0.2018412825150711,0.2034253197834498,0.0015840372683786
7.0,5min,p95,1e-05,dependence_upper,K1_only,0.0316045856322953,0.0350240820711207,0.0034194964388254
10.0,5min,p95,1e-05,dependence_upper,K1_only,0.0410905268670128,0.0480823007217124,0.0069917738546996
5.0,5min,p99,0.01,dependence_upper,low_energy_conservative,0.2537555517666615,0.2384386258353344,-0.015316925931327
1.0,1h,p95,0.1,product_estimate,K1_only,0.794966344279123,0.7547168917721877,-0.0402494525069353
10.0,6h,median,0.01,dependence_upper,K1_only,0.6911184153621466,0.8286393243388137,0.1375209089766671
