case_label,sigma_model,shield_mm,low_energy_model,window_duration,window_statistic,epsilon_analysis,risk_semantics,theta_tolerance,theta_root,bracket_low,bracket_high
lowest,main_loglog,3.0,K1_only,24h,p95,1e-06,product_estimate,0.001,0.00048828125,0.0,0.0009765625
median,main_loglog,10.0,K1_only,7d,median,0.001,product_estimate,0.001,0.00244140625,0.001953125,0.0029296875
p90,published_rpp_fluka_digitized,10.0,K1_only,5min,max,0.1,dependence_upper,0.001,0.26318359375,0.2626953125,0.263671875
highest,main_loglog,3.0,K1_only,6h,p95,0.1,product_estimate,0.001,0.99951171875,0.9990234375,1.0
shield_1,main_loglog,1.0,low_energy_conservative,5min,p95,1e-06,dependence_upper,0.001,0.00048828125,0.0,0.0009765625
shield_10,main_loglog,10.0,K1_only,5min,p95,1e-06,dependence_upper,0.001,0.00439453125,0.00390625,0.0048828125
lowest,main_loglog,3.0,K1_only,24h,p95,1e-06,product_estimate,0.0001,3.0517578125e-05,0.0,6.103515625e-05
median,main_loglog,10.0,K1_only,7d,median,0.001,product_estimate,0.0001,0.002410888671875,0.00238037109375,0.00244140625
p90,published_rpp_fluka_digitized,10.0,K1_only,5min,max,0.1,dependence_upper,0.0001,0.262969970703125,0.262939453125,0.26300048828125
highest,main_loglog,3.0,K1_only,6h,p95,0.1,product_estimate,0.0001,0.999664306640625,0.9996337890625,0.99969482421875
shield_1,main_loglog,1.0,low_energy_conservative,5min,p95,1e-06,dependence_upper,0.0001,3.0517578125e-05,0.0,6.103515625e-05
shield_10,main_loglog,10.0,K1_only,5min,p95,1e-06,dependence_upper,0.0001,0.004119873046875,0.00408935546875,0.004150390625
lowest,main_loglog,3.0,K1_only,24h,p95,1e-06,product_estimate,1e-05,3.814697265625e-06,0.0,7.62939453125e-06
median,main_loglog,10.0,K1_only,7d,median,0.001,product_estimate,1e-05,0.002437591552734375,0.00243377685546875,0.00244140625
p90,published_rpp_fluka_digitized,10.0,K1_only,5min,max,0.1,dependence_upper,1e-05,0.2629432678222656,0.262939453125,0.26294708251953125
highest,main_loglog,3.0,K1_only,6h,p95,0.1,product_estimate,1e-05,0.9996757507324219,0.9996719360351562,0.9996795654296875
shield_1,main_loglog,1.0,low_energy_conservative,5min,p95,1e-06,dependence_upper,1e-05,4.1961669921875e-05,3.814697265625e-05,4.57763671875e-05
shield_10,main_loglog,10.0,K1_only,5min,p95,1e-06,dependence_upper,1e-05,0.004108428955078125,0.0041046142578125,0.00411224365234375
