sigma_model,multiplicity_variant,low_energy_scenario,shield_mm,regime,horizon,duration_s,hazard_upper,F_D_upper,window_start_utc,window_end_utc
main_loglog,nominal_logE_linear,K1_only,0.0,background_median_constant,5min,300,0.465868798768397,0.3724103808230353,,
main_loglog,nominal_logE_linear,K1_only,0.0,p95_constant,5min,300,13.06800025948804,0.9999978882641257,,
main_loglog,nominal_logE_linear,K1_only,0.0,p99_constant,5min,300,58.690143516338395,1.0,,
main_loglog,nominal_logE_linear,K1_only,0.0,max_actual_contiguous_window,5min,300,9168.400420851089,1.0,2026-01-19T19:30:00+00:00,2026-01-19T19:30:00+00:00
main_loglog,nominal_logE_linear,K1_only,0.0,background_median_constant,1h,3600,5.590425585220763,0.996266561369769,,
main_loglog,nominal_logE_linear,K1_only,0.0,p95_constant,1h,3600,156.81600311385648,1.0,,
main_loglog,nominal_logE_linear,K1_only,0.0,p99_constant,1h,3600,704.2817221960607,1.0,,
main_loglog,nominal_logE_linear,K1_only,0.0,max_actual_contiguous_window,1h,3600,93009.04049231188,1.0,2026-01-19T19:20:00+00:00,2026-01-19T20:15:00+00:00
main_loglog,nominal_logE_linear,K1_only,0.0,background_median_constant,6h,21600,33.542553511324584,0.9999999999999973,,
main_loglog,nominal_logE_linear,K1_only,0.0,p95_constant,6h,21600,940.8960186831389,1.0,,
main_loglog,nominal_logE_linear,K1_only,0.0,p99_constant,6h,21600,4225.690333176364,1.0,,
main_loglog,nominal_logE_linear,K1_only,0.0,max_actual_contiguous_window,6h,21600,169316.87806719434,1.0,2026-01-19T18:10:00+00:00,2026-01-20T00:05:00+00:00
main_loglog,nominal_logE_linear,K1_only,0.0,background_median_constant,24h,86400,134.17021404529834,1.0,,
main_loglog,nominal_logE_linear,K1_only,0.0,p95_constant,24h,86400,3763.5840747325556,1.0,,
main_loglog,nominal_logE_linear,K1_only,0.0,p99_constant,24h,86400,16902.761332705457,1.0,,
main_loglog,nominal_logE_linear,K1_only,0.0,max_actual_contiguous_window,24h,86400,180751.35538268046,1.0,2026-01-19T17:40:00+00:00,2026-01-20T17:35:00+00:00
main_loglog,nominal_logE_linear,K1_only,0.0,background_median_constant,7d,604800,939.1914983170883,1.0,,
main_loglog,nominal_logE_linear,K1_only,0.0,p95_constant,7d,604800,26345.088523127888,1.0,,
main_loglog,nominal_logE_linear,K1_only,0.0,p99_constant,7d,604800,118319.3293289382,1.0,,
main_loglog,nominal_logE_linear,K1_only,0.0,max_actual_contiguous_window,7d,604800,195108.08894095154,1.0,2026-01-16T12:40:00+00:00,2026-01-23T12:35:00+00:00
main_loglog,nominal_logE_linear,K1_only,0.0,background_median_constant,30d,2592000,4025.10642135895,1.0,,
main_loglog,nominal_logE_linear,K1_only,0.0,p95_constant,30d,2592000,112907.52224197667,1.0,,
main_loglog,nominal_logE_linear,K1_only,0.0,p99_constant,30d,2592000,507082.83998116374,1.0,,
main_loglog,nominal_logE_linear,K1_only,0.0,max_actual_contiguous_window,30d,2592000,nan,nan,,
main_loglog,nominal_logE_linear,K1_only,0.0,full_valid_Jan_Feb_exposure,Jan-Feb-valid,5091300,218428.18700289103,1.0,2026-01-01T00:00:00+00:00,2026-02-28T23:55:00+00:00
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,background_median_constant,5min,300,1.4454447952178364,0.7643587588547391,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,p95_constant,5min,300,40.10956045436534,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,p99_constant,5min,300,179.36263561827147,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,5min,300,27843.819286753278,1.0,2026-01-19T19:30:00+00:00,2026-01-19T19:30:00+00:00
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,background_median_constant,1h,3600,17.345337542614036,0.9999999706900135,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,p95_constant,1h,3600,481.3147254523841,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,p99_constant,1h,3600,2152.3516274192575,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,1h,3600,282650.077490332,1.0,2026-01-19T19:20:00+00:00,2026-01-19T20:15:00+00:00
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,background_median_constant,6h,21600,104.07202525568422,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,p95_constant,6h,21600,2887.8883527143043,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,p99_constant,6h,21600,12914.109764515546,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,6h,21600,514314.7923957386,1.0,2026-01-19T18:10:00+00:00,2026-01-20T00:05:00+00:00
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,background_median_constant,24h,86400,416.2881010227369,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,p95_constant,24h,86400,11551.553410857217,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,p99_constant,24h,86400,51656.439058062184,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,24h,86400,548918.7118415057,1.0,2026-01-19T17:40:00+00:00,2026-01-20T17:35:00+00:00
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,background_median_constant,7d,604800,2914.016707159158,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,p95_constant,7d,604800,80860.87387600052,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,p99_constant,7d,604800,361595.07340643526,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,7d,604800,592619.4542133083,1.0,2026-01-16T12:40:00+00:00,2026-01-23T12:35:00+00:00
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,background_median_constant,30d,2592000,12488.643030682108,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,p95_constant,30d,2592000,346546.6023257165,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,p99_constant,30d,2592000,1549693.1717418653,1.0,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,max_actual_contiguous_window,30d,2592000,nan,nan,,
main_loglog,nominal_logE_linear,low_energy_conservative,0.0,full_valid_Jan_Feb_exposure,Jan-Feb-valid,5091300,664960.7747076746,1.0,2026-01-01T00:00:00+00:00,2026-02-28T23:55:00+00:00
main_loglog,raw_nearest_observed,K1_only,0.0,background_median_constant,5min,300,0.47433896439464057,0.377703719468315,,
main_loglog,raw_nearest_observed,K1_only,0.0,p95_constant,5min,300,13.260673860133544,0.9999982583434548,,
