energy_mev,source_file,dt_class,registered_cluster_pairs_examined,cell_pair_opportunities,observed_w16_exact_cell_pairs,expected_independent_w16_exact_cell_pairs,observed_w16_multiple_cell_pairs,expected_independent_w16_multiple_cell_pairs,exact16_obs_over_expected,multiple16_obs_over_expected,diagnostic_status
0.9,clust_p0.9MeV.txt,same_bin,1100668,1116758,0,0.2652158094326144,32,33.947623607374645,0.0,0.9426285730659641,DIAGNOSTIC_ONLY_TIMESTAMP_IS_DETECTION_READOUT_SCALE_NOT_PARENT_TIME
0.9,clust_p0.9MeV.txt,adjacent_bin,0,0,0,0.0,0,0.0,,,DIAGNOSTIC_ONLY_TIMESTAMP_IS_DETECTION_READOUT_SCALE_NOT_PARENT_TIME
1.0,clust_p1MeV.txt,same_bin,413562,417000,0,0.09903219187451552,10,12.676120559937987,0.0,0.788884892086331,DIAGNOSTIC_ONLY_TIMESTAMP_IS_DETECTION_READOUT_SCALE_NOT_PARENT_TIME
1.0,clust_p1MeV.txt,adjacent_bin,0,0,0,0.0,0,0.0,,,DIAGNOSTIC_ONLY_TIMESTAMP_IS_DETECTION_READOUT_SCALE_NOT_PARENT_TIME
1.1,clust_p1.1MeV.txt,same_bin,1784573,1804221,1,0.42847952099767456,48,54.84537868770234,2.33383382634389,0.8751876848789588,DIAGNOSTIC_ONLY_TIMESTAMP_IS_DETECTION_READOUT_SCALE_NOT_PARENT_TIME
1.1,clust_p1.1MeV.txt,adjacent_bin,0,0,0,0.0,0,0.0,,,DIAGNOSTIC_ONLY_TIMESTAMP_IS_DETECTION_READOUT_SCALE_NOT_PARENT_TIME
1.5,clust_p1.5MeV.txt,same_bin,194647,195916,0,0.04652755612299181,4,5.9555271837429515,0.0,0.6716449907103044,DIAGNOSTIC_ONLY_TIMESTAMP_IS_DETECTION_READOUT_SCALE_NOT_PARENT_TIME
1.5,clust_p1.5MeV.txt,adjacent_bin,0,0,0,0.0,0,0.0,,,DIAGNOSTIC_ONLY_TIMESTAMP_IS_DETECTION_READOUT_SCALE_NOT_PARENT_TIME
2.5,clust_p2.5MeV.txt,same_bin,4179699,4245921,0,1.0083521898226255,135,129.06908029729607,0.0,1.0459515144064149,DIAGNOSTIC_ONLY_TIMESTAMP_IS_DETECTION_READOUT_SCALE_NOT_PARENT_TIME
2.5,clust_p2.5MeV.txt,adjacent_bin,0,0,0,0.0,0,0.0,,,DIAGNOSTIC_ONLY_TIMESTAMP_IS_DETECTION_READOUT_SCALE_NOT_PARENT_TIME
3.0,clust_p3MeV.txt,same_bin,6261836,6456614,4,1.5333636367090724,212,196.27054549876127,2.6086440973550533,1.0801416965610768,DIAGNOSTIC_ONLY_TIMESTAMP_IS_DETECTION_READOUT_SCALE_NOT_PARENT_TIME
3.0,clust_p3MeV.txt,adjacent_bin,85512,87612,0,0.020806734759016916,1,2.663262049154165,0.0,0.37547938638542666,DIAGNOSTIC_ONLY_TIMESTAMP_IS_DETECTION_READOUT_SCALE_NOT_PARENT_TIME
4.0,clust_p4MeV.txt,same_bin,344271,355610,2,0.08445284832732966,72,10.809964585898197,23.681853716149714,6.660521357667107,DIAGNOSTIC_ONLY_TIMESTAMP_IS_DETECTION_READOUT_SCALE_NOT_PARENT_TIME
4.0,clust_p4MeV.txt,adjacent_bin,0,0,0,0.0,0,0.0,,,DIAGNOSTIC_ONLY_TIMESTAMP_IS_DETECTION_READOUT_SCALE_NOT_PARENT_TIME
5.0,clust_p5MeV.txt,same_bin,73198,77591,0,0.018426874819509675,3,2.3586399768972384,0.0,1.2719194236444948,DIAGNOSTIC_ONLY_TIMESTAMP_IS_DETECTION_READOUT_SCALE_NOT_PARENT_TIME
5.0,clust_p5MeV.txt,adjacent_bin,0,0,0,0.0,0,0.0,,,DIAGNOSTIC_ONLY_TIMESTAMP_IS_DETECTION_READOUT_SCALE_NOT_PARENT_TIME
29.0,clust_p29MeV.txt,NA,0,0,0,0,0,0,,,NO_TIMESTAMP_DIAGNOSTIC
40.0,clust_p40MeV.txt,NA,0,0,0,0,0,0,,,NO_TIMESTAMP_DIAGNOSTIC
80.0,clust_p80MeV.txt,NA,0,0,0,0,0,0,,,NO_TIMESTAMP_DIAGNOSTIC
124.0,clust_p124MeV.txt,NA,0,0,0,0,0,0,,,NO_TIMESTAMP_DIAGNOSTIC
164.0,clust_p164MeV.txt,NA,0,0,0,0,0,0,,,NO_TIMESTAMP_DIAGNOSTIC
186.0,clust_p186MeV.txt,same_bin,605950,1459655,7,0.3466494820877601,61,44.37113370723329,20.19330869280755,1.3747676677022995,DIAGNOSTIC_ONLY_TIMESTAMP_IS_DETECTION_READOUT_SCALE_NOT_PARENT_TIME
186.0,clust_p186MeV.txt,adjacent_bin,0,0,0,0.0,0,0.0,,,DIAGNOSTIC_ONLY_TIMESTAMP_IS_DETECTION_READOUT_SCALE_NOT_PARENT_TIME
