sigma_model,shield_mm,budget,observability_domain,expected_count_valid_period,fraction_of_budget
main_loglog,0.0,parent_event,NO_GEOMETRY_LT0p9,34470920.356472716,0.44024894592037145
main_loglog,0.0,parent_event,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,43816371.99955425,0.5596053539439793
main_loglog,0.0,parent_event,UNOBSERVABLE_DISTANT_GT5_TO186,11398.777274533364,0.00014558066996758025
main_loglog,0.0,parent_event,NO_GEOMETRY_GT186,9.354007626750231,1.1946568165925506e-07
main_loglog,0.0,multi_upper,NO_GEOMETRY_LT0p9,446532.58770478354,0.6715171852070299
main_loglog,0.0,multi_upper,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,218098.35088653088,0.3279867913748894
main_loglog,0.0,multi_upper,UNOBSERVABLE_DISTANT_GT5_TO186,327.3666404356889,0.0004923097013949485
main_loglog,0.0,multi_upper,NO_GEOMETRY_GT186,2.4694759244388473,3.71371668580671e-06
main_loglog,0.0,bit_flip,NO_GEOMETRY_LT0p9,34917452.94417749,0.44219539564691884
main_loglog,0.0,bit_flip,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,44034616.90119612,0.5576553614581979
main_loglog,0.0,bit_flip,UNOBSERVABLE_DISTANT_GT5_TO186,11770.272933119002,0.00014905899650967166
main_loglog,0.0,bit_flip,NO_GEOMETRY_GT186,14.521324429655815,1.838983734510816e-07
published_rpp_fluka_digitized,0.0,parent_event,NO_GEOMETRY_LT0p9,39115065.607776,0.4480320190979603
published_rpp_fluka_digitized,0.0,parent_event,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,48186348.931422934,0.5519363669535148
published_rpp_fluka_digitized,0.0,parent_event,UNOBSERVABLE_DISTANT_GT5_TO186,2752.652118143753,3.1529444402134655e-05
published_rpp_fluka_digitized,0.0,parent_event,NO_GEOMETRY_GT186,7.377562696710139,8.450412289150634e-08
published_rpp_fluka_digitized,0.0,multi_upper,NO_GEOMETRY_LT0p9,506692.34483618673,0.6745839460445625
published_rpp_fluka_digitized,0.0,multi_upper,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,244311.25114680963,0.3252633467651489
published_rpp_fluka_digitized,0.0,multi_upper,UNOBSERVABLE_DISTANT_GT5_TO186,112.75347405339397,0.00015011413579133978
published_rpp_fluka_digitized,0.0,multi_upper,NO_GEOMETRY_GT186,1.947690678427784,2.5930544973060574e-06
published_rpp_fluka_digitized,0.0,bit_flip,NO_GEOMETRY_LT0p9,39621757.95261219,0.449964080990388
published_rpp_fluka_digitized,0.0,bit_flip,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,48430705.83983819,0.5500028058069012
published_rpp_fluka_digitized,0.0,bit_flip,UNOBSERVABLE_DISTANT_GT5_TO186,2904.3425771951142,3.298313618976354e-05
published_rpp_fluka_digitized,0.0,bit_flip,NO_GEOMETRY_GT186,11.453056881489218,1.30066521035576e-07
main_loglog,1.0,parent_event,NO_GEOMETRY_LT0p9,122827.11038067235,0.33019430370091574
main_loglog,1.0,parent_event,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,246572.13593120675,0.6628562251731016
main_loglog,1.0,parent_event,UNOBSERVABLE_DISTANT_GT5_TO186,2575.777735216277,0.006924425178872344
main_loglog,1.0,parent_event,NO_GEOMETRY_GT186,9.316700124268596,2.5045947110444953e-05
main_loglog,1.0,multi_upper,NO_GEOMETRY_LT0p9,1591.0891519983466,0.545324042959709
main_loglog,1.0,multi_upper,PARTIAL_DISTANT_TIMESTAMP_ENVELOPE_0p9_5,1228.3133771838952,0.42098760841033744
