window_duration,shield_mm,sigma_model,direction_scenario,direct_scenario,tau_scrub_s,valid_sliding_windows,F_total_product_median,F_total_product_p95,F_total_product_p99,F_total_product_max,F_total_upper_median,F_total_upper_p95,F_total_upper_p99,F_total_upper_max,F_total_lower_max,F_direct_max,F_acc_product_max,max_product_window_start_utc,max_product_minus_log_S
5min,1.0,main_loglog,central_mean,D0,60,16971,1.5978073724291055e-10,1.8093504480712175e-06,0.001863210140649561,1.0,1.597807441910959e-10,1.8093520849360445e-06,0.001864948093929842,1.0,0.00010752086923304649,0.0,1.0,2026-01-19T19:15:00+00:00,50.74101916900882
5min,1.0,main_loglog,central_mean,DCLUSTER_K1_ONLY,60,16971,0.00031282582020251515,0.011337377493642706,0.3113576478390805,1.0,0.0003128258202025336,0.011337377495274081,0.31135886120886286,1.0,1.0,1.0,1.0,2026-01-19T19:05:00+00:00,45.48876056627926
5min,1.0,main_loglog,central_mean,DCLUSTER_LOW_CONSERVATIVE,60,16971,0.00043435045858900836,0.024773755203835214,0.5551407243829027,1.0,0.0004343504585890834,0.024773755205334314,0.5551414613709014,1.0,1.0,1.0,1.0,2026-01-19T18:10:00+00:00,38.106356589004385
5min,1.0,main_loglog,central_mean,DREG,60,16971,1.597808671311696e-10,1.809350104369789e-06,0.0018632092107375591,1.0,1.5978085521339835e-10,1.809351741210996e-06,0.0018649471622849585,1.0,0.00010752085603249473,0.0,1.0,2026-01-19T19:15:00+00:00,50.741012675225676
24h,10.0,main_loglog,East,D0,60,15534,2.1200073042701047e-10,1.612913260957478e-07,0.01997354585191288,0.01998451294015874,2.120007502881549e-10,1.6129133912911892e-07,0.020175713265621936,0.020186903931467493,3.854521202217853e-08,0.0,0.01998451294015874,2026-01-19T07:30:00+00:00,0.02018690432010047
24h,10.0,main_loglog,East,DCLUSTER_K1_ONLY,60,15534,0.06203391624239244,0.09086726617587347,0.9999778629233408,0.9999812329729321,0.06203391624239246,0.090867266175886,0.9999778673339385,0.9999812367170879,0.9999808568495331,0.9999808568488078,0.019648245302656683,2026-01-19T04:05:00+00:00,10.88340910734241
24h,10.0,main_loglog,East,DCLUSTER_LOW_CONSERVATIVE,60,15534,0.0628573294266581,0.1279561414980476,0.999999999457187,0.9999999995934327,0.06285732942665812,0.1279561414980646,0.9999999994572915,0.999999999593511,0.9999999995854226,0.9999999995854226,0.019321326718947963,2026-01-19T04:15:00+00:00,21.623271618493458
24h,10.0,main_loglog,East,DREG,60,15534,2.1194648206914243e-10,1.6129028334074384e-07,0.01997352431806328,0.019984491374139414,2.1194646038225073e-10,1.6129029634104082e-07,0.020175691292900283,0.020186881925674194,3.85451700557482e-08,0.0,0.019984491374139414,2026-01-19T07:30:00+00:00,0.020186882314306303
24h,10.0,main_loglog,West,D0,60,15534,1.6073784861151628e-10,1.0465083306193879e-07,0.0173908897661371,0.017458542801533906,1.6073786746062524e-10,1.0465083852828564e-07,0.017543887444533626,0.017612740211244482,3.361130618273478e-08,0.0,0.017458542801533906,2026-01-19T02:30:00+00:00,0.01761274050708252
24h,10.0,main_loglog,West,DCLUSTER_K1_ONLY,60,15534,0.051114232526340814,0.07944186011754682,0.9999900636722159,0.9999937318034992,0.051114232526340786,0.07944186011755057,0.9999900651667445,0.9999937327515458,0.9999936224693081,0.9999936224690977,0.017143705069563468,2026-01-19T02:05:00+00:00,11.980021884119083
24h,10.0,main_loglog,West,DCLUSTER_LOW_CONSERVATIVE,60,15534,0.051859440080819365,0.11694621443760757,0.9999999997693105,0.9999999998980004,0.051859440080819386,0.11694621443761083,0.9999999997693437,0.9999999998980152,0.9999999998962513,0.9999999998962513,0.016858558913688454,2026-01-19T02:30:00+00:00,23.006051942388464
24h,10.0,main_loglog,West,DREG,60,15534,1.6069757435651573e-10,1.0465004916500056e-07,0.017390862015736905,0.01745851480730026,1.6069756636483135e-10,1.0465005466087023e-07,0.017543859202989148,0.017612711719589447,3.361125178180657e-08,0.0,0.01745851480730026,2026-01-19T02:30:00+00:00,0.017612712015426475
24h,10.0,main_loglog,central_mean,D0,60,15534,1.7920726049351686e-10,1.2583524451217951e-07,0.01836779343383331,0.0184037217475674,1.7920726014253319e-10,1.258352524180455e-07,0.01853857552089738,0.0185751767749468,3.545042792651998e-08,0.0,0.0184037217475674,2026-01-19T04:00:00+00:00,0.0185751771039999
24h,10.0,main_loglog,central_mean,DCLUSTER_K1_ONLY,60,15534,0.05660512025892768,0.08536756691996801,0.9999848345583471,0.9999891434641218,0.056605120258927666,0.08536756691998042,0.9999848371071413,0.9999891452940031,0.9999889435255479,0.9999889435251629,0.01808344633793736,2026-01-19T02:15:00+00:00,11.430743274253127
24h,10.0,main_loglog,central_mean,DCLUSTER_LOW_CONSERVATIVE,60,15534,0.05738582814960061,0.12332151732312817,0.9999999996307802,0.9999999997955786,0.05738582814960064,0.12332151732313308,0.9999999996308399,0.9999999997956119,0.9999999997918777,0.9999999997918777,0.017782556593183053,2026-01-19T02:15:00+00:00,22.310837637836794
24h,10.0,main_loglog,central_mean,DREG,60,15534,1.791607744200699e-10,1.258343261274915e-07,0.018367769095571168,0.018403697302470084,1.7916079730895262e-10,1.2583433402490616e-07,0.018538550727231526,0.018575151871535134,3.5450380408974524e-08,0.0,0.018403697302470084,2026-01-19T04:00:00+00:00,0.018575152200587416
