environment_scenario,shield_g_cm2,mapping_id,LET_support_MeV_cm2_mg,lambda_registered_event_s-1,lambda_direct_registered_s-1,lambda_residual_event_s-1,weight_fraction,event_rate_total_s-1,status
GCR_ONLY,2.0,W_00_01,5.2,0.31595571820404805,0.0,0.31595571820404805,0.999994822561072,0.31595735405395253,DIAGNOSTIC_ONLY; TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
GCR_ONLY,2.0,W_00_01,15.0,1.3093566729603243e-06,0.0,1.3093566729603243e-06,4.144093043445161e-06,0.31595735405395253,DIAGNOSTIC_ONLY; TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
GCR_ONLY,2.0,W_00_01,17.0,1.745931951367398e-07,0.0,1.745931951367398e-07,5.525846855488177e-07,0.31595735405395253,DIAGNOSTIC_ONLY; TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
GCR_ONLY,2.0,W_00_01,22.0,1.1668038940737623e-07,0.0,1.1668038940737623e-07,3.692915765697038e-07,0.31595735405395253,DIAGNOSTIC_ONLY; TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
GCR_ONLY,2.0,W_00_01,27.0,2.953234947608901e-08,0.0,2.953234947608901e-08,9.346941635372126e-08,0.31595735405395253,DIAGNOSTIC_ONLY; TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
GCR_ONLY,2.0,W_00_01,29.0,4.339619852612595e-09,0.0,4.339619852612595e-09,1.3734827808032493e-08,0.31595735405395253,DIAGNOSTIC_ONLY; TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
GCR_ONLY,2.0,W_00_01,33.0,1.2602461180568114e-09,0.0,1.2602461180568114e-09,3.988658918322291e-09,0.31595735405395253,DIAGNOSTIC_ONLY; TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
GCR_ONLY,2.0,W_00_01,42.0,6.855342945123793e-11,6.126311836571753e-14,6.849216633287221e-11,2.169705138103284e-10,0.31595735405395253,DIAGNOSTIC_ONLY; TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
GCR_ONLY,2.0,W_00_01,57.0,1.8878125921430832e-11,5.3428658268200466e-14,1.8824697263162633e-11,5.974896826806324e-11,0.31595735405395253,DIAGNOSTIC_ONLY; TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
GCR_ONLY,2.5,W_00_01,5.2,0.31715252204347794,0.0,0.31715252204347794,0.9999958682509223,0.3171538324435326,DIAGNOSTIC_ONLY; TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
GCR_ONLY,3.0,W_00_01,5.2,0.3179283476770362,0.0,0.3179283476770362,0.999996546945348,0.317929445504787,DIAGNOSTIC_ONLY; TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
