environment,threshold_MeV_cm2_mg,shield_count,max_absolute_relative_difference,mean_absolute_relative_difference,closure_status
GCR,0.15,9,0.7997141652042826,0.7541409462802684,SPECTRAL_OPERATOR_NOT_CLOSED
GCR,0.5,9,0.4267375239417053,0.33432254923915916,SPECTRAL_OPERATOR_NOT_CLOSED
GCR,1.0,9,0.29999460594227867,0.20952049071195197,SPECTRAL_OPERATOR_NOT_CLOSED
GCR,2.0,9,0.16349128814626124,0.11118264434039918,SPECTRAL_OPERATOR_NOT_CLOSED
GCR,3.0,9,0.02832424435985476,0.014216288460892124,PASS
GCR,5.0,9,0.221888226839806,0.21376384201984366,SPECTRAL_OPERATOR_NOT_CLOSED
GCR,10.0,9,0.5950891812088656,0.5933846179127513,SPECTRAL_OPERATOR_NOT_CLOSED
GCR,20.0,9,0.9146568691235264,0.911523912471892,SPECTRAL_OPERATOR_NOT_CLOSED
GCR,25.0,9,0.971289295679215,0.9687219336844568,SPECTRAL_OPERATOR_NOT_CLOSED
GCR,30.0,9,0.9900151659204879,0.988184387483793,SPECTRAL_OPERATOR_NOT_CLOSED
GCR,33.0,9,0.9915724828643783,0.9898472674404089,SPECTRAL_OPERATOR_NOT_CLOSED
GCR,40.0,9,0.9862125237984809,0.9836828954353563,SPECTRAL_OPERATOR_NOT_CLOSED
SEP,0.15,9,0.16299723130222876,0.15165399611221775,SPECTRAL_OPERATOR_NOT_CLOSED
SEP,0.5,9,0.392189348776086,0.35682699537153717,SPECTRAL_OPERATOR_NOT_CLOSED
SEP,1.0,9,0.30435438243927637,0.2641604995682636,SPECTRAL_OPERATOR_NOT_CLOSED
SEP,2.0,9,0.08698322332459701,0.04938747911554318,SPECTRAL_OPERATOR_NOT_CLOSED
SEP,3.0,9,0.10583202596574,0.08182004242803637,SPECTRAL_OPERATOR_NOT_CLOSED
SEP,5.0,9,0.2752397366055388,0.25834819664873804,SPECTRAL_OPERATOR_NOT_CLOSED
SEP,10.0,9,0.574459966890036,0.57036457493749,SPECTRAL_OPERATOR_NOT_CLOSED
SEP,20.0,9,0.8814742952858916,0.8809938490225497,SPECTRAL_OPERATOR_NOT_CLOSED
SEP,25.0,9,0.9487185024138265,0.9484308052557004,SPECTRAL_OPERATOR_NOT_CLOSED
SEP,30.0,9,0.9795982628424397,0.9795161616547051,SPECTRAL_OPERATOR_NOT_CLOSED
SEP,33.0,9,0.9878831125367857,0.987862939676471,SPECTRAL_OPERATOR_NOT_CLOSED
SEP,40.0,9,1.0,1.0,SPECTRAL_OPERATOR_NOT_CLOSED
