environment_scenario,shield_g_cm2,mapping_id,estimate_type,direct_model,nu_direct_HI_s-1,nu_direct_proton_registered_s-1,nu_direct_total_s-1,nu_accumulation_HI_bit_s-1,nu_accumulation_proton_bit_s-1,nu_accumulation_total_bit_s-1,rate_reconstruction_route
GCR_ONLY,1.5,W_01_02,POINT,REGISTERED-CLUSTER-ZERO-POINT,0.0,0.0,0.0,0.00016758536326633494,2.7955032829399787e-06,0.00017038086654927491,SPECTRAL_EXTERNAL_CONVOLUTION
GCR_ONLY,1.75,W_01_02,POINT,REGISTERED-CLUSTER-ZERO-POINT,0.0,0.0,0.0,0.00015770153538469643,2.8019164596246456e-06,0.00016050345184432106,SPECTRAL_EXTERNAL_CONVOLUTION
GCR_ONLY,2.0,W_01_02,POINT,REGISTERED-CLUSTER-ZERO-POINT,0.0,0.0,0.0,0.00014978639417311603,2.8106073830708874e-06,0.0001525970015561869,SPECTRAL_EXTERNAL_CONVOLUTION
GCR_ONLY,2.25,W_01_02,POINT,REGISTERED-CLUSTER-ZERO-POINT,0.0,0.0,0.0,0.00014300404965063586,2.818931372599311e-06,0.00014582298102323518,SPECTRAL_EXTERNAL_CONVOLUTION
GCR_ONLY,2.5,W_01_02,POINT,REGISTERED-CLUSTER-ZERO-POINT,0.0,0.0,0.0,0.00013734152778670705,2.826454740641535e-06,0.00014016798252734859,SPECTRAL_EXTERNAL_CONVOLUTION
GCR_ONLY,2.75,W_01_02,POINT,REGISTERED-CLUSTER-ZERO-POINT,0.0,0.0,0.0,0.00013217570148346783,2.8309901013807884e-06,0.00013500669158484862,SPECTRAL_EXTERNAL_CONVOLUTION
GCR_ONLY,3.0,W_01_02,POINT,REGISTERED-CLUSTER-ZERO-POINT,0.0,0.0,0.0,0.00012762147099896915,2.8385137978755953e-06,0.00013045998479684474,SPECTRAL_EXTERNAL_CONVOLUTION
GCR_ONLY,3.5,W_01_02,POINT,REGISTERED-CLUSTER-ZERO-POINT,0.0,0.0,0.0,0.00011946794116074035,2.850446583362693e-06,0.00012231838774410305,SPECTRAL_EXTERNAL_CONVOLUTION
GCR_ONLY,4.0,W_01_02,POINT,REGISTERED-CLUSTER-ZERO-POINT,0.0,0.0,0.0,0.00011259252436797102,2.8587492235363237e-06,0.00011545127359150735,SPECTRAL_EXTERNAL_CONVOLUTION
GCR_ONLY,1.5,W_00_01,POINT,POINT-DATA-INTERPOLATED,1.3811950020668296e-13,0.0,1.3811950020668296e-13,0.00016758535751275593,2.7955032829399787e-06,0.0001703808607956959,SPECTRAL_EXTERNAL_CONVOLUTION
GCR_ONLY,1.75,W_00_01,POINT,POINT-DATA-INTERPOLATED,1.265706865088183e-13,0.0,1.265706865088183e-13,0.00015770153010848445,2.8019164596246456e-06,0.0001605034465681091,SPECTRAL_EXTERNAL_CONVOLUTION
GCR_ONLY,2.0,W_00_01,POINT,POINT-DATA-INTERPOLATED,1.1711561902665597e-13,0.0,1.1711561902665597e-13,0.00014978638928872453,2.8106073830708874e-06,0.0001525969966717954,SPECTRAL_EXTERNAL_CONVOLUTION
GCR_ONLY,2.25,W_00_01,POINT,POINT-DATA-INTERPOLATED,1.0863444339222142e-13,0.0,1.0863444339222142e-13,0.0001430040451189371,2.818931372599311e-06,0.00014582297649153644,SPECTRAL_EXTERNAL_CONVOLUTION
GCR_ONLY,2.5,W_00_01,POINT,POINT-DATA-INTERPOLATED,1.0139542337585009e-13,0.0,1.0139542337585009e-13,0.00013734152355762501,2.826454740641535e-06,0.00014016797829826655,SPECTRAL_EXTERNAL_CONVOLUTION
GCR_ONLY,2.75,W_00_01,POINT,POINT-DATA-INTERPOLATED,9.488731098109793e-14,0.0,9.488731098109793e-14,0.0001321756975265824,2.8309901013807884e-06,0.00013500668762796318,SPECTRAL_EXTERNAL_CONVOLUTION
GCR_ONLY,3.0,W_00_01,POINT,POINT-DATA-INTERPOLATED,8.916258960396847e-14,0.0,8.916258960396847e-14,0.00012762146728076588,2.8385137978755953e-06,0.00013045998107864148,SPECTRAL_EXTERNAL_CONVOLUTION
