tau_s,scan_mode,reads_per_s,interface_fraction,interface_percent
0.2,R1,2621440,0.2359296,23.59296
0.2,R2,10485760,0.9437184,94.37184
0.5,R1,1048576,0.09437184,9.437184
0.5,R2,4194304,0.37748736,37.748736
1,R1,524288,0.04718592,4.718592
1,R2,2097152,0.18874368,18.874368
2,R1,262144,0.02359296,2.359296
2,R2,1048576,0.09437184,9.437184
5,R1,104857.6,0.009437184,0.9437184
5,R2,419430.4,0.037748736,3.7748736
10,R1,52428.8,0.004718592,0.4718592
10,R2,209715.2,0.018874368,1.8874368
20,R1,26214.4,0.002359296,0.2359296
20,R2,104857.6,0.009437184,0.9437184
45,R1,11650.844444,0.001048576,0.1048576
45,R2,46603.377778,0.004194304,0.4194304
100,R1,5242.88,0.0004718592,0.04718592
100,R2,20971.52,0.0018874368,0.18874368
300,R1,1747.626667,0.0001572864,0.01572864
300,R2,6990.506667,0.0006291456,0.06291456
1000,R1,524.288,0.00004718592,0.004718592
1000,R2,2097.152,0.00018874368,0.018874368
3600,R1,145.635556,0.0000131072,0.00131072
3600,R2,582.542222,0.0000524288,0.00524288
