shield_g_cm2,mapping_id,estimate_type,rate_reconstruction_route,tau_max_U_s,tau_max_ref_low_s,tau_max_ref_high_s,eta_tau_low,eta_tau_high,scrub_rate_penalty_low,scrub_rate_penalty_high,reference_comparison_status,reference_status
1.5,W_01_02,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,118.14342522138911,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
1.75,W_01_02,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,133.13199786575822,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.0,W_01_02,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,147.28523197464224,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.25,W_01_02,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,161.2869609885176,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.5,W_01_02,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,174.56354716152367,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.75,W_01_02,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,188.16576640270068,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
3.0,W_01_02,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,201.50997821901143,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
3.5,W_01_02,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,229.22802207653478,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
4.0,W_01_02,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,257.30827121464984,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
1.5,W_00_01,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,112.99350019027146,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
1.75,W_00_01,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,127.8139542686257,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.0,W_00_01,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,141.84133006260953,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.25,W_00_01,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,155.75724231929888,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.5,W_00_01,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,168.9774547885905,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.75,W_00_01,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,182.53088314438614,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
3.0,W_00_01,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,195.83955637220427,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
3.5,W_00_01,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,223.49997551821113,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
4.0,W_00_01,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,251.5490433952061,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
1.5,W_00_01,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
1.75,W_00_01,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.0,W_00_01,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.25,W_00_01,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,8.487053268740684,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.5,W_00_01,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,20.458626524826883,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.75,W_00_01,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,32.902349711040976,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
3.0,W_00_01,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,45.684928214485105,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
3.5,W_00_01,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,71.15912783561078,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
4.0,W_00_01,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,96.82285535275088,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
1.5,W_00_11,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,112.99350019027146,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
1.75,W_00_11,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,127.8139542686257,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.0,W_00_11,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,141.84133006260953,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.25,W_00_11,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,155.75724231929888,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.5,W_00_11,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,168.9774547885905,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.75,W_00_11,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,182.53088314438614,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
3.0,W_00_11,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,195.83955637220427,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
3.5,W_00_11,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,223.49997551821113,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
4.0,W_00_11,POINT,SPECTRAL_EXTERNAL_CONVOLUTION,251.5490433952061,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
1.5,W_00_11,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
1.75,W_00_11,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.0,W_00_11,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.25,W_00_11,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,8.487053268740684,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.5,W_00_11,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,20.458626524826883,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
2.75,W_00_11,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,32.902349711040976,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
3.0,W_00_11,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,45.684928214485105,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
3.5,W_00_11,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,71.15912783561078,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
4.0,W_00_11,ARTICLE_CONFIDENCE_STYLE,SPECTRAL_EXTERNAL_CONVOLUTION,96.82285535275088,,,,,,,REFERENCE-NOT-AVAILABLE,TAU_MAX_REFERENCE_BLOCKED_BY_COSRAD_OPERATOR_SEMANTICS
