quantity,shield_g_cm2,legacy_value,phase_B_value,absolute_difference,relative_difference,status,reproduction_route
Phi_L_ge_33_cm-2_s-1,2.0,2.983e-09,2.983423304620234e-09,4.2330462023396047e-13,0.00014190567222057004,REPRODUCED,SPECTRAL_EXTERNAL_CONVOLUTION
nu_D_s-1,2.0,3.253e-12,3.253378046625673e-12,3.7804662567313e-16,0.00011621476350234553,REPRODUCED,SPECTRAL_EXTERNAL_CONVOLUTION
nu_C_s-1,2.0,0.000153,0.0001525969966717954,-4.0300332820460377e-07,-0.0026340086810758417,REPRODUCED,SPECTRAL_EXTERNAL_CONVOLUTION
tau_max_s,2.0,NO_POSITIVE_PERIOD,DIRECT-BOUND-EXHAUSTED,,,REPRODUCED,SPECTRAL_EXTERNAL_CONVOLUTION
Phi_L_ge_33_cm-2_s-1,2.5,2.565e-09,2.56511182575943e-09,1.1182575943004872e-13,4.359678730216324e-05,REPRODUCED,SPECTRAL_EXTERNAL_CONVOLUTION
nu_D_s-1,2.5,2.797e-12,2.7972156978668894e-12,2.1569786688953202e-16,7.711757843744441e-05,REPRODUCED,SPECTRAL_EXTERNAL_CONVOLUTION
nu_C_s-1,2.5,0.00014,0.00014016797829826655,1.6797829826656102e-07,0.0011998449876182932,REPRODUCED,SPECTRAL_EXTERNAL_CONVOLUTION
tau_max_s,2.5,20.5,20.458626524826883,-0.04137347517311696,-0.0020182183011276567,REPRODUCED,SPECTRAL_EXTERNAL_CONVOLUTION
Phi_L_ge_33_cm-2_s-1,3.0,2.247e-09,2.2469017248686142e-09,-9.827513138595416e-14,-4.3736151039587964e-05,REPRODUCED,SPECTRAL_EXTERNAL_CONVOLUTION
nu_D_s-1,3.0,2.45e-12,2.450212389670736e-12,2.1238967073621583e-16,8.668966152498606e-05,REPRODUCED,SPECTRAL_EXTERNAL_CONVOLUTION
nu_C_s-1,3.0,0.00013,0.00013045998107864148,4.5998107864149364e-07,0.0035383159895499513,REPRODUCED,SPECTRAL_EXTERNAL_CONVOLUTION
tau_max_s,3.0,45.7,45.684928214485105,-0.015071785514898295,-0.0003297983701290655,REPRODUCED,SPECTRAL_EXTERNAL_CONVOLUTION
R2U_interface_percent_at_tau_20s,,0.9437184,0.9437184,0.0,0.0,REPRODUCED,FROZEN_PHASE_A_SERIAL_RESOURCE
R2U_interface_percent_at_tau_45s,,0.4194304,0.41943040000000004,5.551115123125783e-17,1.3234889800848443e-16,REPRODUCED,FROZEN_PHASE_A_SERIAL_RESOURCE
