mapping_id,bit_p,bit_q,word_definition,minimum_spacing,spacing_metric,retained,baseline_mapping
W_00_01,0,1,"pack(all A except p,q)",16,supplied-grid minimum,True,True
W_00_02,0,2,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_00_03,0,3,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_00_05,0,5,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_00_08,0,8,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_00_10,0,10,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_00_11,0,11,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_00_12,0,12,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_00_13,0,13,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_00_15,0,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_01_02,1,2,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_01_03,1,3,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_01_05,1,5,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_01_08,1,8,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_01_10,1,10,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_01_11,1,11,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_01_12,1,12,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_01_13,1,13,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_01_15,1,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_02_03,2,3,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_02_05,2,5,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_02_08,2,8,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_02_10,2,10,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_02_11,2,11,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_02_12,2,12,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_02_13,2,13,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_02_15,2,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_03_05,3,5,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_03_08,3,8,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_03_10,3,10,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_03_11,3,11,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_03_12,3,12,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_03_13,3,13,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_03_15,3,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_05_08,5,8,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_05_10,5,10,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_05_11,5,11,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_05_12,5,12,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_05_13,5,13,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_05_15,5,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_08_10,8,10,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_08_11,8,11,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_08_12,8,12,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_08_13,8,13,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_08_15,8,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_10_11,10,11,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_10_12,10,12,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_10_13,10,13,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_10_15,10,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_11_12,11,12,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_11_13,11,13,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_11_15,11,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_12_13,12,13,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_12_15,12,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
W_13_15,13,15,"pack(all A except p,q)",16,supplied-grid minimum,True,False
