mapping_id,radiation_type,particle,LET_MeV_cm2_mg,energy_MeV,source_file,N_events,N_direct,S_direct_event_cells,S_residual_cells
W_00_01,heavy_ion,Ar,5.2,,clust_Ar1050MeV.txt,637,0,0,1628
W_00_01,heavy_ion,Ar,,,clust_Ar548MeV.txt,1050,0,0,4368
W_00_01,heavy_ion,C,,,clust_C1080MeV.txt,1406,0,0,1478
W_00_01,heavy_ion,C,,,clust_C360MeV.txt,16871,0,0,17148
W_00_01,heavy_ion,C,,,clust_C720MeV.txt,5088,0,0,5122
W_00_01,heavy_ion,U,17.0,,clust_U142.8GeV.txt,950,0,0,6707
W_00_01,heavy_ion,U,15.0,,clust_U190.4GeV.txt,924,0,0,5484
W_00_01,heavy_ion,U,33.0,,clust_U35.7GeV.txt,476,0,0,6230
W_00_01,heavy_ion,U,29.0,,clust_U45.2GeV.txt,1050,0,0,12340
W_00_01,heavy_ion,U,22.0,,clust_U78.5GeV.txt,1026,0,0,9822
W_00_01,heavy_ion,Xe,,,clust_Xe2700MeV.txt,1041,0,0,16735
W_00_01,heavy_ion,Xe,27.0,,clust_XeLET27.txt,998,0,0,10876
W_00_01,heavy_ion,Xe,42.0,,clust_XeLET42.txt,1119,1,43,16969
W_00_01,heavy_ion,Xe,57.0,,clust_XeLET57.txt,1060,3,127,21058
W_00_01,proton,p,,0.9,clust_p0.9MeV.txt,7455,0,0,7507
W_00_01,proton,p,,1.1,clust_p1.1MeV.txt,14012,0,0,14090
W_00_01,proton,p,,1.5,clust_p1.5MeV.txt,3214,0,0,3224
W_00_01,proton,p,,124.0,clust_p124MeV.txt,9403,0,0,13631
W_00_01,proton,p,,164.0,clust_p164MeV.txt,8667,0,0,13353
W_00_01,proton,p,,186.0,clust_p186MeV.txt,8356,0,0,12969
W_00_01,proton,p,,1.0,clust_p1MeV.txt,4690,0,0,4710
W_00_01,proton,p,,2.5,clust_p2.5MeV.txt,28782,0,0,29008
W_00_01,proton,p,,29.0,clust_p29MeV.txt,1164,0,0,1182
W_00_01,proton,p,,3.0,clust_p3MeV.txt,24703,0,0,25040
W_00_01,proton,p,,40.0,clust_p40MeV.txt,12441,0,0,16398
W_00_01,proton,p,,4.0,clust_p4MeV.txt,4336,0,0,4406
W_00_01,proton,p,,5.0,clust_p5MeV.txt,1994,0,0,2053
W_00_01,proton,p,,80.0,clust_p80MeV.txt,10889,0,0,15320
W_00_11,heavy_ion,Ar,5.2,,clust_Ar1050MeV.txt,637,0,0,1628
W_00_11,heavy_ion,Ar,,,clust_Ar548MeV.txt,1050,0,0,4368
W_00_11,heavy_ion,C,,,clust_C1080MeV.txt,1406,0,0,1478
W_00_11,heavy_ion,C,,,clust_C360MeV.txt,16871,0,0,17148
W_00_11,heavy_ion,C,,,clust_C720MeV.txt,5088,0,0,5122
W_00_11,heavy_ion,U,17.0,,clust_U142.8GeV.txt,950,0,0,6707
W_00_11,heavy_ion,U,15.0,,clust_U190.4GeV.txt,924,0,0,5484
W_00_11,heavy_ion,U,33.0,,clust_U35.7GeV.txt,476,0,0,6230
W_00_11,heavy_ion,U,29.0,,clust_U45.2GeV.txt,1050,0,0,12340
W_00_11,heavy_ion,U,22.0,,clust_U78.5GeV.txt,1026,0,0,9822
W_00_11,heavy_ion,Xe,,,clust_Xe2700MeV.txt,1041,0,0,16735
W_00_11,heavy_ion,Xe,27.0,,clust_XeLET27.txt,998,0,0,10876
W_00_11,heavy_ion,Xe,42.0,,clust_XeLET42.txt,1119,1,43,16969
W_00_11,heavy_ion,Xe,57.0,,clust_XeLET57.txt,1060,3,127,21058
W_00_11,proton,p,,0.9,clust_p0.9MeV.txt,7455,0,0,7507
W_00_11,proton,p,,1.1,clust_p1.1MeV.txt,14012,0,0,14090
W_00_11,proton,p,,1.5,clust_p1.5MeV.txt,3214,0,0,3224
W_00_11,proton,p,,124.0,clust_p124MeV.txt,9403,0,0,13631
W_00_11,proton,p,,164.0,clust_p164MeV.txt,8667,1,29,13324
W_00_11,proton,p,,186.0,clust_p186MeV.txt,8356,0,0,12969
W_00_11,proton,p,,1.0,clust_p1MeV.txt,4690,0,0,4710
W_00_11,proton,p,,2.5,clust_p2.5MeV.txt,28782,0,0,29008
W_00_11,proton,p,,29.0,clust_p29MeV.txt,1164,0,0,1182
W_00_11,proton,p,,3.0,clust_p3MeV.txt,24703,0,0,25040
W_00_11,proton,p,,40.0,clust_p40MeV.txt,12441,0,0,16398
W_00_11,proton,p,,4.0,clust_p4MeV.txt,4336,0,0,4406
W_00_11,proton,p,,5.0,clust_p5MeV.txt,1994,0,0,2053
W_00_11,proton,p,,80.0,clust_p80MeV.txt,10889,0,0,15320
W_01_02,heavy_ion,Ar,5.2,,clust_Ar1050MeV.txt,637,0,0,1628
W_01_02,heavy_ion,Ar,,,clust_Ar548MeV.txt,1050,0,0,4368
W_01_02,heavy_ion,C,,,clust_C1080MeV.txt,1406,0,0,1478
W_01_02,heavy_ion,C,,,clust_C360MeV.txt,16871,0,0,17148
W_01_02,heavy_ion,C,,,clust_C720MeV.txt,5088,0,0,5122
