mapping_id,bit_p,bit_q,minimum_spacing,N_direct_all_series,N_direct_heavy_ion,N_direct_proton,baseline_mapping,retained_55
W_00_01,0,1,16,4,4,0,True,True
W_00_02,0,2,16,4,4,0,False,True
W_00_03,0,3,16,4,4,0,False,True
W_00_05,0,5,16,4,4,0,False,True
W_00_08,0,8,16,4,4,0,False,True
W_00_10,0,10,16,4,4,0,False,True
W_00_11,0,11,16,5,4,1,False,True
W_00_12,0,12,16,4,4,0,False,True
W_00_13,0,13,16,4,4,0,False,True
W_00_15,0,15,16,4,4,0,False,True
W_01_02,1,2,16,0,0,0,False,True
W_01_03,1,3,16,0,0,0,False,True
W_01_05,1,5,16,0,0,0,False,True
W_01_08,1,8,16,0,0,0,False,True
W_01_10,1,10,16,0,0,0,False,True
W_01_11,1,11,16,0,0,0,False,True
W_01_12,1,12,16,0,0,0,False,True
W_01_13,1,13,16,0,0,0,False,True
W_01_15,1,15,16,0,0,0,False,True
W_02_03,2,3,16,0,0,0,False,True
W_02_05,2,5,16,0,0,0,False,True
W_02_08,2,8,16,0,0,0,False,True
W_02_10,2,10,16,0,0,0,False,True
W_02_11,2,11,16,0,0,0,False,True
W_02_12,2,12,16,0,0,0,False,True
W_02_13,2,13,16,0,0,0,False,True
W_02_15,2,15,16,0,0,0,False,True
W_03_05,3,5,16,0,0,0,False,True
W_03_08,3,8,16,0,0,0,False,True
W_03_10,3,10,16,0,0,0,False,True
W_03_11,3,11,16,0,0,0,False,True
W_03_12,3,12,16,0,0,0,False,True
W_03_13,3,13,16,0,0,0,False,True
W_03_15,3,15,16,0,0,0,False,True
W_05_08,5,8,16,0,0,0,False,True
W_05_10,5,10,16,0,0,0,False,True
W_05_11,5,11,16,0,0,0,False,True
W_05_12,5,12,16,0,0,0,False,True
W_05_13,5,13,16,0,0,0,False,True
W_05_15,5,15,16,0,0,0,False,True
W_08_10,8,10,16,0,0,0,False,True
W_08_11,8,11,16,0,0,0,False,True
W_08_12,8,12,16,0,0,0,False,True
W_08_13,8,13,16,0,0,0,False,True
W_08_15,8,15,16,0,0,0,False,True
W_10_11,10,11,16,0,0,0,False,True
W_10_12,10,12,16,0,0,0,False,True
W_10_13,10,13,16,0,0,0,False,True
W_10_15,10,15,16,0,0,0,False,True
W_11_12,11,12,16,0,0,0,False,True
W_11_13,11,13,16,0,0,0,False,True
W_11_15,11,15,16,0,0,0,False,True
W_12_13,12,13,16,0,0,0,False,True
W_12_15,12,15,16,0,0,0,False,True
W_13_15,13,15,16,0,0,0,False,True
