source_file,radiation_type,particle,LET_MeV_cm2_mg,energy_MeV,raw_cluster_count,raw_cell_record_count,S_raw,ordinary_eligible_cells,S_ordinary,service_records,ambiguous_records,event_local_duplicate_cells,deduplicated_cells,S_dedup,clusters_used_mapping_sweep,cells_used_mapping_sweep,clusters_used_heavy_ion_xs,cells_used_heavy_ion_xs
clust_Ar1050MeV.txt,heavy_ion,Ar,5.2,,638,1629,1629,1628,1628,0,1,0,1628,1628,637,1628,637,1628
clust_Ar548MeV.txt,heavy_ion,Ar,,,1051,4369,4369,4368,4368,0,1,0,4368,4368,1050,4368,0,0
clust_C1080MeV.txt,heavy_ion,C,,,1407,1479,1479,1478,1478,0,1,0,1478,1478,1406,1478,0,0
clust_C360MeV.txt,heavy_ion,C,,,16872,17149,17149,17148,17148,0,1,0,17148,17148,16871,17148,0,0
clust_C720MeV.txt,heavy_ion,C,,,5089,5123,5123,5122,5122,1,0,0,5122,5122,5088,5122,0,0
clust_U142.8GeV.txt,heavy_ion,U,17.0,,951,6711,6711,6710,6710,0,1,3,6707,6707,950,6707,950,6707
clust_U190.4GeV.txt,heavy_ion,U,15.0,,925,5485,5485,5484,5484,0,1,0,5484,5484,924,5484,924,5484
clust_U35.7GeV.txt,heavy_ion,U,33.0,,477,6231,6231,6230,6230,0,1,0,6230,6230,476,6230,476,6230
clust_U45.2GeV.txt,heavy_ion,U,29.0,,1051,12354,12354,12353,12353,0,1,13,12340,12340,1050,12340,1050,12340
clust_U78.5GeV.txt,heavy_ion,U,22.0,,1027,9823,9823,9822,9822,0,1,0,9822,9822,1026,9822,1026,9822
clust_Xe2700MeV.txt,heavy_ion,Xe,,,1042,16757,16757,16756,16756,0,1,21,16735,16735,1041,16735,0,0
clust_XeLET27.txt,heavy_ion,Xe,27.0,,999,10878,10878,10877,10877,0,1,1,10876,10876,998,10876,998,10876
clust_XeLET42.txt,heavy_ion,Xe,42.0,,1120,17022,17022,17021,17021,0,1,9,17012,17012,1119,17012,1119,17012
clust_XeLET57.txt,heavy_ion,Xe,57.0,,1061,21220,21220,21219,21219,0,1,34,21185,21185,1060,21185,1060,21185
clust_p0.9MeV.txt,proton,p,,0.9,7456,7508,7508,7507,7507,1,0,0,7507,7507,7455,7507,0,0
clust_p1.1MeV.txt,proton,p,,1.1,14014,14092,14092,14090,14090,2,0,0,14090,14090,14012,14090,0,0
clust_p1.5MeV.txt,proton,p,,1.5,3215,3225,3225,3224,3224,1,0,0,3224,3224,3214,3224,0,0
clust_p124MeV.txt,proton,p,,124.0,9404,13632,13632,13631,13631,0,1,0,13631,13631,9403,13631,0,0
clust_p164MeV.txt,proton,p,,164.0,8668,13358,13358,13357,13357,0,1,4,13353,13353,8667,13353,0,0
clust_p186MeV.txt,proton,p,,186.0,8357,12973,12973,12972,12972,1,0,3,12969,12969,8356,12969,0,0
clust_p1MeV.txt,proton,p,,1.0,4691,4711,4711,4710,4710,1,0,0,4710,4710,4690,4710,0,0
clust_p2.5MeV.txt,proton,p,,2.5,28786,29012,29012,29008,29008,4,0,0,29008,29008,28782,29008,0,0
clust_p29MeV.txt,proton,p,,29.0,1165,1183,1183,1182,1182,0,1,0,1182,1182,1164,1182,0,0
clust_p3MeV.txt,proton,p,,3.0,24705,25042,25042,25040,25040,2,0,0,25040,25040,24703,25040,0,0
clust_p40MeV.txt,proton,p,,40.0,12442,16402,16402,16401,16401,0,1,3,16398,16398,12441,16398,0,0
clust_p4MeV.txt,proton,p,,4.0,4337,4407,4407,4406,4406,1,0,0,4406,4406,4336,4406,0,0
clust_p5MeV.txt,proton,p,,5.0,1995,2054,2054,2053,2053,1,0,0,2053,2053,1994,2053,0,0
clust_p80MeV.txt,proton,p,,80.0,10890,15325,15325,15324,15324,0,1,4,15320,15320,10889,15320,0,0
