source_file,segment_id,cluster_id,radiation_type,particle,LET_MeV_cm2_mg,energy_MeV,mapping_id,K,number_of_failing_words,max_same_word_data_cells,addresses,coordinate_summary
clust_XeLET42.txt,1,458,heavy_ion,Xe,42.0,,W_00_01,43,3,2,"[669133,603469,603597,734541,734669,554317,996812,816588,882124,1013196,931149,210892,161612,161740,96076,96204,79821,210765,210893,30541,30669,292684,292812,423756,423884,358348,489292,489420,276301,407501,341837,341965,473037,292813,735180,554828,686028,620492,538573,669517,669645,603981,735181]","x=[442,446];y=[1479,1497]"
clust_XeLET57.txt,1,252,heavy_ion,Xe,57.0,,W_00_01,58,7,2,"[713328,713456,778864,778992,565873,385648,303729,303857,434929,369393,500465,58096,189040,189168,123504,254576,254704,41585,41713,107121,57969,58097,189041,843888,974960,975088,909424,1040496,958577,893041,843889,974961,975089,712816,647280,778480,565489,696433,581745,712817,712945,647281,450672,385136,516208,516336,303217,434289,368753,368881,319601,450801,106609,106737,237681,237809,57457,57585]","x=[1697,1703];y=[648,668]"
clust_XeLET57.txt,1,425,heavy_ion,Xe,57.0,,W_00_01,24,1,2,"[141027,75491,206563,26339,157411,403171,337635,468707,288483,419555,354019,681698,616034,616162,747234,534243,599779,550499,550627,681699,943714,943842,992995,812771]","x=[1884,1887];y=[3466,3485]"
clust_XeLET57.txt,1,952,heavy_ion,Xe,57.0,,W_00_01,45,1,2,"[1921638,1921766,1593958,1725030,1725158,1659622,1790566,1577703,1331942,1462886,1463014,1397478,1528550,1315559,1118950,1069798,1200870,1135334,1053415,1839206,1839334,1970406,1904870,2035814,2035942,1855718,1986790,1921254,2052198,2052326,1839335,1577062,1708134,1708262,1642598,1642726,1773798,1724646,1577191,1380582,1511654,1462374,1396838,1527910,1528038]","x=[3264,3270];y=[3136,3153]"
clust_XeLET42.txt,1,458,heavy_ion,Xe,42.0,,W_00_02,43,3,2,"[669133,603469,603597,734541,734669,554317,996812,816588,882124,1013196,931149,210892,161612,161740,96076,96204,79821,210765,210893,30541,30669,292684,292812,423756,423884,358348,489292,489420,276301,407501,341837,341965,473037,292813,735180,554828,686028,620492,538573,669517,669645,603981,735181]","x=[442,446];y=[1479,1497]"
clust_XeLET57.txt,1,252,heavy_ion,Xe,57.0,,W_00_02,58,7,2,"[713328,713456,778864,778992,565873,385648,303729,303857,434929,369393,500465,58096,189040,189168,123504,254576,254704,41585,41713,107121,57969,58097,189041,843888,974960,975088,909424,1040496,958577,893041,843889,974961,975089,712816,647280,778480,565489,696433,581745,712817,712945,647281,450672,385136,516208,516336,303217,434289,368753,368881,319601,450801,106609,106737,237681,237809,57457,57585]","x=[1697,1703];y=[648,668]"
clust_XeLET57.txt,1,425,heavy_ion,Xe,57.0,,W_00_02,24,1,2,"[141027,75491,206563,26339,157411,403171,337635,468707,288483,419555,354019,681698,616034,616162,747234,534243,599779,550499,550627,681699,943714,943842,992995,812771]","x=[1884,1887];y=[3466,3485]"
clust_XeLET57.txt,1,952,heavy_ion,Xe,57.0,,W_00_02,45,1,2,"[1921638,1921766,1593958,1725030,1725158,1659622,1790566,1577703,1331942,1462886,1463014,1397478,1528550,1315559,1118950,1069798,1200870,1135334,1053415,1839206,1839334,1970406,1904870,2035814,2035942,1855718,1986790,1921254,2052198,2052326,1839335,1577062,1708134,1708262,1642598,1642726,1773798,1724646,1577191,1380582,1511654,1462374,1396838,1527910,1528038]","x=[3264,3270];y=[3136,3153]"
clust_XeLET42.txt,1,458,heavy_ion,Xe,42.0,,W_00_03,43,3,2,"[669133,603469,603597,734541,734669,554317,996812,816588,882124,1013196,931149,210892,161612,161740,96076,96204,79821,210765,210893,30541,30669,292684,292812,423756,423884,358348,489292,489420,276301,407501,341837,341965,473037,292813,735180,554828,686028,620492,538573,669517,669645,603981,735181]","x=[442,446];y=[1479,1497]"
clust_XeLET57.txt,1,252,heavy_ion,Xe,57.0,,W_00_03,58,7,2,"[713328,713456,778864,778992,565873,385648,303729,303857,434929,369393,500465,58096,189040,189168,123504,254576,254704,41585,41713,107121,57969,58097,189041,843888,974960,975088,909424,1040496,958577,893041,843889,974961,975089,712816,647280,778480,565489,696433,581745,712817,712945,647281,450672,385136,516208,516336,303217,434289,368753,368881,319601,450801,106609,106737,237681,237809,57457,57585]","x=[1697,1703];y=[648,668]"
