shield_g_cm2,mapping_id,estimate_type,period_source,tau_s,scan_mode,write_policy,reads_per_cycle,writes_per_cycle_or_expected,t_read_effective_s,t_write_effective_s,tau_min_arch_s,resource_margin,period_feasible,architecture_status,reads_per_s,writes_per_s,interface_fraction,interface_percent
1.5,W_00_01,POINT,TAU_MAX_U,112.994,R1,U,524288,524288,4.5e-08,4.5e-08,0.0471859,2394.64,True,ARCHITECTURALLY-FEASIBLE,4639.98,4639.983708,0.000417599,0.0417599
1.5,W_00_01,POINT,TAU_MAX_U,112.994,R2,U,2097152,2097152,4.5e-08,4.5e-08,0.188744,598.661,True,ARCHITECTURALLY-FEASIBLE,18559.9,18559.93483,0.00167039,0.167039
1.75,W_00_01,POINT,TAU_MAX_U,127.814,R1,U,524288,524288,4.5e-08,4.5e-08,0.0471859,2708.73,True,ARCHITECTURALLY-FEASIBLE,4101.96,4101.962129,0.000369177,0.0369177
1.75,W_00_01,POINT,TAU_MAX_U,127.814,R2,U,2097152,2097152,4.5e-08,4.5e-08,0.188744,677.183,True,ARCHITECTURALLY-FEASIBLE,16407.8,16407.84852,0.00147671,0.147671
2,W_00_01,POINT,TAU_MAX_U,141.841,R1,U,524288,524288,4.5e-08,4.5e-08,0.0471859,3006.01,True,ARCHITECTURALLY-FEASIBLE,3696.3,3696.299236,0.000332667,0.0332667
2,W_00_01,POINT,TAU_MAX_U,141.841,R2,U,2097152,2097152,4.5e-08,4.5e-08,0.188744,751.502,True,ARCHITECTURALLY-FEASIBLE,14785.2,14785.19695,0.00133067,0.133067
2.25,W_00_01,POINT,TAU_MAX_U,155.757,R1,U,524288,524288,4.5e-08,4.5e-08,0.0471859,3300.93,True,ARCHITECTURALLY-FEASIBLE,3366.06,3366.058568,0.000302945,0.0302945
2.25,W_00_01,POINT,TAU_MAX_U,155.757,R2,U,2097152,2097152,4.5e-08,4.5e-08,0.188744,825.232,True,ARCHITECTURALLY-FEASIBLE,13464.2,13464.23427,0.00121178,0.121178
2.5,W_00_01,POINT,TAU_MAX_U,168.977,R1,U,524288,524288,4.5e-08,4.5e-08,0.0471859,3581.1,True,ARCHITECTURALLY-FEASIBLE,3102.71,3102.709771,0.000279244,0.0279244
2.5,W_00_01,POINT,TAU_MAX_U,168.977,R2,U,2097152,2097152,4.5e-08,4.5e-08,0.188744,895.275,True,ARCHITECTURALLY-FEASIBLE,12410.8,12410.83908,0.00111698,0.111698
2.75,W_00_01,POINT,TAU_MAX_U,182.531,R1,U,524288,524288,4.5e-08,4.5e-08,0.0471859,3868.33,True,ARCHITECTURALLY-FEASIBLE,2872.32,2872.324896,0.000258509,0.0258509
2.75,W_00_01,POINT,TAU_MAX_U,182.531,R2,U,2097152,2097152,4.5e-08,4.5e-08,0.188744,967.083,True,ARCHITECTURALLY-FEASIBLE,11489.3,11489.29959,0.00103404,0.103404
3,W_00_01,POINT,TAU_MAX_U,195.84,R1,U,524288,524288,4.5e-08,4.5e-08,0.0471859,4150.38,True,ARCHITECTURALLY-FEASIBLE,2677.13,2677.130247,0.000240942,0.0240942
3,W_00_01,POINT,TAU_MAX_U,195.84,R2,U,2097152,2097152,4.5e-08,4.5e-08,0.188744,1037.6,True,ARCHITECTURALLY-FEASIBLE,10708.5,10708.52099,0.000963767,0.0963767
3.5,W_00_01,POINT,TAU_MAX_U,223.5,R1,U,524288,524288,4.5e-08,4.5e-08,0.0471859,4736.58,True,ARCHITECTURALLY-FEASIBLE,2345.81,2345.807863,0.000211123,0.0211123
3.5,W_00_01,POINT,TAU_MAX_U,223.5,R2,U,2097152,2097152,4.5e-08,4.5e-08,0.188744,1184.15,True,ARCHITECTURALLY-FEASIBLE,9383.23,9383.231453,0.000844491,0.0844491
4,W_00_01,POINT,TAU_MAX_U,251.549,R1,U,524288,524288,4.5e-08,4.5e-08,0.0471859,5331.02,True,ARCHITECTURALLY-FEASIBLE,2084.24,2084.237701,0.000187581,0.0187581
4,W_00_01,POINT,TAU_MAX_U,251.549,R2,U,2097152,2097152,4.5e-08,4.5e-08,0.188744,1332.75,True,ARCHITECTURALLY-FEASIBLE,8336.95,8336.950806,0.000750326,0.0750326
