rate_reconstruction_route,mapping_id,estimate_type,last_direct_bound_exhausted_shield,first_positive_period_shield,first_R1U_arch_feasible_shield,first_R2U_arch_feasible_shield,fD_equals_1_grid_low,fD_equals_1_grid_high,fD_equals_1_interp,boundary_status
BASIS_RESPONSE_RECONSTRUCTION_STABILITY_GATED,W_00_01,ARTICLE_CONFIDENCE_STYLE,nan,1.5,1.5,1.5,nan,nan,nan,BELOW_GRID
BASIS_RESPONSE_RECONSTRUCTION_STABILITY_GATED,W_00_01,POINT,nan,1.5,1.5,1.5,nan,nan,nan,BELOW_GRID
BASIS_RESPONSE_RECONSTRUCTION_STABILITY_GATED,W_00_11,ARTICLE_CONFIDENCE_STYLE,nan,1.5,1.5,1.5,nan,nan,nan,BELOW_GRID
BASIS_RESPONSE_RECONSTRUCTION_STABILITY_GATED,W_00_11,POINT,nan,1.5,1.5,1.5,nan,nan,nan,BELOW_GRID
BASIS_RESPONSE_RECONSTRUCTION_STABILITY_GATED,W_01_02,POINT,nan,1.5,1.5,1.5,nan,nan,nan,BELOW_GRID
SPECTRAL_EXTERNAL_CONVOLUTION,W_00_01,ARTICLE_CONFIDENCE_STYLE,2.0,2.25,2.25,2.25,2.0,2.25,2.084290039155888,GRID_BRACKET_AND_LINEAR_INTERPOLATION
SPECTRAL_EXTERNAL_CONVOLUTION,W_00_01,POINT,nan,1.5,1.5,1.5,nan,nan,nan,BELOW_GRID
SPECTRAL_EXTERNAL_CONVOLUTION,W_00_11,ARTICLE_CONFIDENCE_STYLE,2.0,2.25,2.25,2.25,2.0,2.25,2.084290039155888,GRID_BRACKET_AND_LINEAR_INTERPOLATION
SPECTRAL_EXTERNAL_CONVOLUTION,W_00_11,POINT,nan,1.5,1.5,1.5,nan,nan,nan,BELOW_GRID
SPECTRAL_EXTERNAL_CONVOLUTION,W_01_02,POINT,nan,1.5,1.5,1.5,nan,nan,nan,BELOW_GRID
