energy_mev,segment_id,N1,N2_observed,N_bitflips,false_N2_MD3_pooled,false_N2_IND3_pooled,false_N2_MD3_temporal,false_N2_IND3_temporal,false_N3_MD3_lo,false_N3_MD3_hi,false_N3_IND3_lo,false_N3_IND3_hi,temporal_status
0.9,1,7403,52,7507,39.193872928619385,78.38774585723877,4.304779529571533,8.609559059143066,0.8209097113515611,1.3154708523469196,1.7807844128847705,3.460849656653579,same+adjacent observed timestamp bins; approximate
1.0,1,4670,20,4710,15.595600605010986,31.191201210021973,1.676429271697998,3.352858543395996,0.20027967419935067,0.3224853314969778,0.43658464711256784,0.8532538879319418,same+adjacent observed timestamp bins; approximate
1.1,1,6577,37,6651,30.935062408447266,61.87012481689453,3.3459219932556152,6.6918439865112305,0.5280885063154983,0.8590289838741683,1.1631241107293135,2.299984414669325,same+adjacent observed timestamp bins; approximate
1.1,2,7357,41,7439,38.70827579498291,77.41655158996582,4.102705478668213,8.205410957336426,0.6694677566460427,1.1094549581324031,1.5025721914843189,3.0334413430915674,same+adjacent observed timestamp bins; approximate
1.5,1,3204,10,3224,7.340249061584473,14.680498123168945,0.7855467796325684,1.5710935592651367,0.06803234383244217,0.10861039056715072,0.14702095358666156,0.2844647696344964,same+adjacent observed timestamp bins; approximate
2.5,1,9833,75,9993,69.14953422546387,138.29906845092773,7.61738920211792,15.23477840423584,1.629359694964137,2.6902323146058507,3.6432942285384797,7.325413982345481,same+adjacent observed timestamp bins; approximate
2.5,2,9192,64,9324,60.42743110656738,120.85486221313477,6.4441680908203125,12.888336181640625,1.305708609282874,2.163890964567372,2.9306311733666917,5.916588344318825,same+adjacent observed timestamp bins; approximate
2.5,3,9314,72,9464,62.04219961166382,124.08439922332764,3.354550838470459,6.709101676940918,1.4631483980820121,2.3908776130692786,3.2374415894682897,6.434673935274986,same+adjacent observed timestamp bins; approximate
2.5,4,225,1,227,0.03604888916015625,0.0720977783203125,0.002032756805419922,0.004065513610839844,0.000406004880915134,0.0005474623890222574,0.0007392099860226153,0.001117924261961889,same+adjacent observed timestamp bins; approximate
3.0,1,16088,249,16616,185.11366081237793,370.22732162475586,19.301583766937256,38.60316753387451,8.523862799009521,13.633040308954833,18.454892410751654,35.785458367814044,same+adjacent observed timestamp bins; approximate
3.0,2,8295,60,8424,49.20868635177612,98.41737270355225,5.275235652923584,10.550471305847168,1.0764403268903777,1.7460593954355375,2.3640719607678307,4.659666882517115,same+adjacent observed timestamp bins; approximate
4.0,1,4269,64,4406,13.032025337219238,26.064050674438477,1.4118189811706543,2.8236379623413086,0.5139592488332596,0.7276306151521226,0.9832404315214944,1.614355999154327,same+adjacent observed timestamp bins; approximate
5.0,1,1936,57,2053,2.679462432861328,5.358924865722656,0.29155540466308594,0.5831108093261719,0.1996928025869238,0.27020381974807606,0.36486267154305096,0.5552336902883326,same+adjacent observed timestamp bins; approximate
29.0,1,1147,18,1183,0.9401764869689941,1.8803529739379883,,,0.037409852897809515,0.0506996838917928,0.06846275320236828,0.10447926493242221,not computable: timestamps absent
40.0,1,9972,1588,16402,71.11845874786377,142.23691749572754,,,28.640159244844767,38.726902829138794,52.29329326091852,79.48241693790692,not computable: timestamps absent
80.0,1,8489,1360,15325,51.53748893737793,103.07497787475586,,,20.844017850916885,28.125153146866865,37.976343529412816,57.50171392258903,not computable: timestamps absent
124.0,1,7177,1250,13632,36.837209701538086,73.67441940307617,,,16.162625164409405,21.75146702116706,29.368944090271043,44.25912237663283,not computable: timestamps absent
164.0,1,6446,1176,13358,29.71492052078247,59.42984104156494,,,13.642484899366423,18.33581613303579,24.756585540306105,37.21946937421421,not computable: timestamps absent
186.0,1,6150,1169,12972,27.04836130142212,54.09672260284424,1.3946585655212402,2.7893171310424805,12.931550472606546,17.368718772021907,23.45057870102778,35.21320656397506,same+adjacent observed timestamp bins; approximate
