energy_mev,K,N_events,P_K_given_E,bbox_dx_mean,bbox_dy_mean,max_pairwise_dM_mean,max_pairwise_dM_max,max_pairwise_dInf_mean,max_pairwise_dInf_max,fraction_connected_MD3,fraction_connected_square3,K2_orientation_counts,K2_top_abs_offsets,note
0.9,1,7403,0.9930248155600269,0.0,0.0,,,,,,,,,coordinates/timestamps preserved by parser; summary only in this CSV
0.9,2,52,0.006975184439973172,1.6730769230769231,1.7115384615384615,3.3846153846153846,6,2.2115384615384617,3,0.46153846153846156,1.0,"{""diagonal"":39,""same_y_horizontal"":5,""same_x_vertical"":8}","[[[0,1],7],[[2,2],6],[[3,1],6],[[1,2],5],[[2,3],5]]",coordinates/timestamps preserved by parser; summary only in this CSV
1.0,1,4670,0.9957356076759062,0.0,0.0,,,,,,,,,coordinates/timestamps preserved by parser; summary only in this CSV
1.0,2,20,0.0042643923240938165,1.6,1.65,3.25,6,2.35,3,0.6,1.0,"{""diagonal"":13,""same_y_horizontal"":3,""same_x_vertical"":4}","[[[2,3],2],[[3,1],2],[[3,0],2],[[2,1],2],[[1,1],2]]",coordinates/timestamps preserved by parser; summary only in this CSV
1.1,1,13934,0.9944333428489865,0.0,0.0,,,,,,,,,coordinates/timestamps preserved by parser; summary only in this CSV
1.1,2,78,0.005566657151013417,1.6153846153846154,1.705128205128205,3.3205128205128207,6,2.217948717948718,3,0.5384615384615384,1.0,"{""same_x_vertical"":8,""diagonal"":62,""same_y_horizontal"":8}","[[[1,2],12],[[1,3],9],[[1,1],7],[[2,1],7],[[3,2],7]]",coordinates/timestamps preserved by parser; summary only in this CSV
1.5,1,3204,0.9968886123210952,0.0,0.0,,,,,,,,,coordinates/timestamps preserved by parser; summary only in this CSV
1.5,2,10,0.0031113876789047915,1.8,1.1,2.9,5,2.2,3,0.7,1.0,"{""diagonal"":5,""same_y_horizontal"":4,""same_x_vertical"":1}","[[[3,0],2],[[1,1],1],[[2,2],1],[[3,2],1],[[1,3],1]]",coordinates/timestamps preserved by parser; summary only in this CSV
2.5,1,28564,0.9924258216941144,0.0,0.0,,,,,,,,,coordinates/timestamps preserved by parser; summary only in this CSV
2.5,2,212,0.007365714682787854,1.8867924528301887,1.580188679245283,3.4669811320754715,6,2.3537735849056602,3,0.5141509433962265,1.0,"{""same_x_vertical"":24,""same_y_horizontal"":32,""diagonal"":156}","[[[3,1],24],[[2,1],23],[[2,3],21],[[3,2],18],[[3,0],17]]",coordinates/timestamps preserved by parser; summary only in this CSV
2.5,3,4,0.0001389757487318463,1.75,3.75,5.5,9,3.75,6,0.25,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
2.5,4,2,6.948787436592315e-05,0.5,3.5,4.0,4,3.5,4,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
3.0,1,24383,0.9870461077601911,0.0,0.0,,,,,,,,,coordinates/timestamps preserved by parser; summary only in this CSV
3.0,2,309,0.012508602194065499,1.6343042071197411,1.6407766990291262,3.2750809061488675,6,2.203883495145631,3,0.5469255663430421,1.0,"{""same_y_horizontal"":36,""diagonal"":219,""same_x_vertical"":54}","[[[0,1],35],[[2,1],30],[[1,3],28],[[3,2],26],[[1,1],26]]",coordinates/timestamps preserved by parser; summary only in this CSV
3.0,3,9,0.00036432821924462617,2.6666666666666665,3.3333333333333335,5.666666666666667,8,3.6666666666666665,5,0.3333333333333333,0.8888888888888888,,,coordinates/timestamps preserved by parser; summary only in this CSV
3.0,4,1,4.0480913249402905e-05,0.0,3.0,3.0,3,3.0,3,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
3.0,8,1,4.0480913249402905e-05,0.0,10.0,10.0,10,10.0,10,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
4.0,1,4269,0.9845479704797048,0.0,0.0,,,,,,,,,coordinates/timestamps preserved by parser; summary only in this CSV
4.0,2,64,0.014760147601476014,0.515625,1.15625,1.671875,6,1.359375,3,0.859375,1.0,"{""same_x_vertical"":47,""diagonal"":12,""same_y_horizontal"":5}","[[[0,1],45],[[1,0],4],[[3,3],2],[[2,3],2],[[3,1],2]]",coordinates/timestamps preserved by parser; summary only in this CSV
4.0,3,3,0.0006918819188191881,2.3333333333333335,2.6666666666666665,4.666666666666667,7,4.0,6,0.3333333333333333,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
5.0,1,1936,0.970912738214644,0.0,0.0,,,,,,,,,coordinates/timestamps preserved by parser; summary only in this CSV
5.0,2,57,0.028585757271815445,0.2631578947368421,1.1578947368421053,1.4210526315789473,6,1.2280701754385965,3,0.9122807017543859,1.0,"{""same_x_vertical"":50,""diagonal"":6,""same_y_horizontal"":1}","[[[0,1],47],[[0,2],3],[[3,2],2],[[2,1],1],[[2,2],1]]",coordinates/timestamps preserved by parser; summary only in this CSV
5.0,3,1,0.0005015045135406219,0.0,2.0,2.0,2,2.0,2,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
29.0,1,1147,0.984549356223176,0.0,0.0,,,,,,,,,coordinates/timestamps preserved by parser; summary only in this CSV
29.0,2,18,0.015450643776824034,0.2777777777777778,1.1666666666666667,1.4444444444444444,5,1.1666666666666667,3,0.9444444444444444,1.0,"{""diagonal"":4,""same_x_vertical"":14}","[[[0,1],14],[[1,1],2],[[2,3],1],[[1,2],1]]",coordinates/timestamps preserved by parser; summary only in this CSV
40.0,1,9972,0.8014788619193056,0.0,0.0,,,,,,,,,coordinates/timestamps preserved by parser; summary only in this CSV
40.0,2,1588,0.12763221347050313,0.2877833753148615,1.1612090680100755,1.448992443324937,6,1.3003778337531486,3,0.9653652392947103,1.0,"{""same_x_vertical"":1215,""same_y_horizontal"":181,""diagonal"":192}","[[[0,1],975],[[1,0],175],[[0,2],157],[[1,1],86],[[0,3],83]]",coordinates/timestamps preserved by parser; summary only in this CSV
40.0,3,509,0.04090982157209452,0.4636542239685658,2.3202357563850686,2.7524557956777995,8,2.3536345776031435,6,0.9489194499017681,0.9960707269155207,,,coordinates/timestamps preserved by parser; summary only in this CSV
40.0,4,238,0.01912875743449606,0.7016806722689075,2.991596638655462,3.5840336134453783,10,3.0168067226890756,8,0.9495798319327731,0.9873949579831933,,,coordinates/timestamps preserved by parser; summary only in this CSV
40.0,5,78,0.006269088570969298,0.8333333333333334,3.717948717948718,4.410256410256411,9,3.7435897435897436,7,0.9615384615384616,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
40.0,6,36,0.0028934254942935217,1.4444444444444444,4.972222222222222,6.222222222222222,14,5.055555555555555,9,0.7777777777777778,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
40.0,7,10,0.0008037293039704227,1.0,5.9,6.8,10,5.9,9,0.9,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
40.0,8,6,0.00048223758238225364,1.6666666666666667,6.5,8.0,10,6.5,10,0.6666666666666666,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
40.0,9,1,8.037293039704228e-05,3.0,6.0,9.0,9,6.0,6,0.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
40.0,10,2,0.00016074586079408456,1.0,6.0,7.0,8,6.0,7,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
40.0,11,2,0.00016074586079408456,0.5,10.0,10.0,13,10.0,13,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
80.0,1,8489,0.7795224977043159,0.0,0.0,,,,,,,,,coordinates/timestamps preserved by parser; summary only in this CSV
80.0,2,1360,0.1248852157943067,0.29044117647058826,1.1227941176470588,1.4132352941176471,6,1.2720588235294117,3,0.9691176470588235,1.0,"{""same_x_vertical"":1027,""diagonal"":166,""same_y_horizontal"":167}","[[[0,1],843],[[1,0],159],[[0,2],123],[[1,1],88],[[0,3],61]]",coordinates/timestamps preserved by parser; summary only in this CSV
80.0,3,541,0.04967860422405877,0.44731977818853974,2.354898336414048,2.7578558225508316,9,2.3752310536044363,6,0.9593345656192237,0.9981515711645101,,,coordinates/timestamps preserved by parser; summary only in this CSV
80.0,4,257,0.023599632690541782,0.6731517509727627,2.88715953307393,3.4513618677042803,10,2.914396887159533,6,0.9610894941634242,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
80.0,5,111,0.010192837465564738,0.972972972972973,3.945945945945946,4.7657657657657655,10,3.945945945945946,8,0.8918918918918919,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
80.0,6,70,0.006427915518824609,1.1428571428571428,4.414285714285715,5.271428571428571,11,4.414285714285715,10,0.9,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
80.0,7,30,0.0027548209366391185,1.1333333333333333,4.5,5.333333333333333,14,4.5,11,0.9666666666666667,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
80.0,8,19,0.0017447199265381084,1.4736842105263157,4.631578947368421,5.842105263157895,9,4.7368421052631575,7,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
80.0,9,7,0.0006427915518824609,1.2857142857142858,5.857142857142857,7.0,11,5.857142857142857,10,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
80.0,10,3,0.0002754820936639118,2.3333333333333335,6.666666666666667,8.333333333333334,9,6.666666666666667,9,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
80.0,11,1,9.182736455463728e-05,0.0,12.0,12.0,12,12.0,12,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
80.0,12,2,0.00018365472910927456,2.5,11.5,14.0,14,11.5,12,0.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
124.0,1,7177,0.7631858783496385,0.0,0.0,,,,,,,,,coordinates/timestamps preserved by parser; summary only in this CSV
124.0,2,1250,0.13292216078264568,0.284,1.2096,1.4936,6,1.3416,3,0.9696,1.0,"{""same_x_vertical"":932,""same_y_horizontal"":144,""diagonal"":174}","[[[0,1],715],[[1,0],143],[[0,2],116],[[0,3],101],[[1,1],97]]",coordinates/timestamps preserved by parser; summary only in this CSV
124.0,3,468,0.049766056997022544,0.4636752136752137,2.3696581196581197,2.8141025641025643,8,2.391025641025641,5,0.9551282051282052,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
124.0,4,257,0.027328796256911952,0.6342412451361867,3.066147859922179,3.5642023346303504,9,3.077821011673152,7,0.953307392996109,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
124.0,5,129,0.013717566992769034,0.9147286821705426,3.8449612403100777,4.511627906976744,12,3.852713178294574,9,0.9689922480620154,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
124.0,6,60,0.0063802637175669925,1.15,4.25,5.166666666666667,12,4.25,9,0.9333333333333333,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
124.0,7,30,0.0031901318587834963,1.0666666666666667,4.7,5.533333333333333,9,4.733333333333333,9,0.9666666666666667,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
124.0,8,15,0.0015950659293917481,1.4,5.733333333333333,6.733333333333333,13,5.733333333333333,12,0.8666666666666667,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
124.0,9,6,0.0006380263717566993,1.6666666666666667,5.666666666666667,6.833333333333333,9,5.666666666666667,8,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
124.0,10,6,0.0006380263717566993,2.0,5.666666666666667,7.166666666666667,10,5.666666666666667,8,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
124.0,11,2,0.0002126754572522331,1.5,5.5,6.5,7,5.5,6,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
124.0,12,2,0.0002126754572522331,3.5,10.0,13.5,14,10.0,11,0.0,0.5,,,coordinates/timestamps preserved by parser; summary only in this CSV
124.0,13,1,0.00010633772862611655,1.0,10.0,11.0,11,10.0,10,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
124.0,15,1,0.00010633772862611655,2.0,10.0,12.0,12,10.0,10,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
164.0,1,6446,0.7436548223350253,0.0,0.0,,,,,,,,,coordinates/timestamps preserved by parser; summary only in this CSV
164.0,2,1176,0.13567143516382096,0.3163265306122449,1.1581632653061225,1.4744897959183674,6,1.2950680272108843,3,0.9617346938775511,1.0,"{""same_x_vertical"":855,""same_y_horizontal"":139,""diagonal"":182}","[[[0,1],692],[[1,0],132],[[1,1],105],[[0,2],102],[[0,3],61]]",coordinates/timestamps preserved by parser; summary only in this CSV
164.0,3,463,0.0534148592524227,0.4838012958963283,2.31317494600432,2.777537796976242,11,2.326133909287257,6,0.9676025917926566,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
164.0,4,232,0.0267651130595293,0.8318965517241379,2.896551724137931,3.603448275862069,11,2.9439655172413794,7,0.9525862068965517,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
164.0,5,149,0.01718966312874942,0.9395973154362416,3.7651006711409396,4.557046979865772,9,3.7986577181208054,8,0.959731543624161,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
164.0,6,91,0.010498384863867097,1.1538461538461537,4.450549450549451,5.329670329670329,20,4.461538461538462,13,0.9340659340659341,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
164.0,7,43,0.0049607752653437935,1.3953488372093024,4.837209302325581,5.8604651162790695,10,4.837209302325581,9,0.9534883720930233,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
164.0,8,22,0.0025380710659898475,1.4090909090909092,5.045454545454546,6.2727272727272725,10,5.181818181818182,9,0.9545454545454546,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
164.0,9,25,0.002884171665897554,1.44,7.36,8.36,15,7.36,15,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
164.0,10,13,0.0014997692662667283,2.076923076923077,7.3076923076923075,8.846153846153847,14,7.461538461538462,14,0.9230769230769231,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
164.0,11,1,0.00011536686663590217,1.0,10.0,10.0,10,10.0,10,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
164.0,12,3,0.00034610059990770653,1.0,8.333333333333334,8.666666666666666,12,8.333333333333334,11,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
164.0,13,1,0.00011536686663590217,7.0,11.0,18.0,18,11.0,11,0.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
164.0,14,1,0.00011536686663590217,2.0,9.0,10.0,10,9.0,9,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
164.0,17,1,0.00011536686663590217,3.0,7.0,9.0,9,7.0,7,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
164.0,29,1,0.00011536686663590217,1.0,21.0,22.0,22,21.0,21,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
186.0,1,6150,0.7359980852082336,0.0,0.0,,,,,,,,,coordinates/timestamps preserved by parser; summary only in this CSV
186.0,2,1169,0.13989947343226425,0.2831479897348161,1.1599657827202738,1.4431137724550898,6,1.2857142857142858,3,0.9726261762189906,1.0,"{""same_x_vertical"":870,""same_y_horizontal"":134,""diagonal"":165}","[[[0,1],694],[[1,0],132],[[0,2],110],[[1,1],102],[[0,3],66]]",coordinates/timestamps preserved by parser; summary only in this CSV
186.0,3,469,0.05612733365246529,0.4904051172707889,2.300639658848614,2.7590618336886994,8,2.3176972281449895,6,0.9680170575692963,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
186.0,4,250,0.029918621349928197,0.732,2.988,3.576,8,3.032,7,0.956,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
186.0,5,124,0.014839636189564385,0.9193548387096774,3.7580645161290325,4.548387096774194,9,3.782258064516129,9,0.967741935483871,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
186.0,6,82,0.009813307802776448,1.1341463414634145,4.548780487804878,5.390243902439025,13,4.548780487804878,11,0.926829268292683,0.9878048780487805,,,coordinates/timestamps preserved by parser; summary only in this CSV
186.0,7,42,0.005026328386787937,1.2142857142857142,5.0,6.0,13,5.0,12,0.9523809523809523,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
186.0,8,27,0.003231211105792245,1.3333333333333333,5.407407407407407,6.407407407407407,10,5.407407407407407,9,0.9629629629629629,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
186.0,9,18,0.00215414073719483,1.5,5.888888888888889,7.055555555555555,11,5.888888888888889,11,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
186.0,10,11,0.0013164193393968406,2.1818181818181817,6.363636363636363,7.818181818181818,11,6.363636363636363,9,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
186.0,11,5,0.0005983724269985639,1.8,7.0,8.0,10,7.0,9,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
186.0,12,4,0.0004786979415988511,2.0,7.75,9.25,14,7.75,11,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
186.0,14,2,0.00023934897079942556,1.5,11.5,12.5,14,11.5,13,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
186.0,16,1,0.00011967448539971278,1.0,9.0,10.0,10,9.0,9,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
186.0,17,1,0.00011967448539971278,1.0,9.0,10.0,10,9.0,9,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
186.0,19,1,0.00011967448539971278,3.0,9.0,11.0,11,9.0,9,1.0,1.0,,,coordinates/timestamps preserved by parser; summary only in this CSV
