energy_mev,source_file,N_events,N_bitflips,max_K,multiplicity_counts,P_K,scope
0.9,clust_p0.9MeV.txt,7455,7507,2,"{""1"":7403,""2"":52}","{""1"":0.9930248156,""2"":0.0069751844}",retained Zenodo clusters; strict service records excluded
1.0,clust_p1MeV.txt,4690,4710,2,"{""1"":4670,""2"":20}","{""1"":0.9957356077,""2"":0.0042643923}",retained Zenodo clusters; strict service records excluded
1.1,clust_p1.1MeV.txt,14012,14090,2,"{""1"":13934,""2"":78}","{""1"":0.9944333428,""2"":0.0055666572}",retained Zenodo clusters; strict service records excluded
1.5,clust_p1.5MeV.txt,3214,3224,2,"{""1"":3204,""2"":10}","{""1"":0.9968886123,""2"":0.0031113877}",retained Zenodo clusters; strict service records excluded
2.5,clust_p2.5MeV.txt,28782,29008,4,"{""1"":28564,""2"":212,""3"":4,""4"":2}","{""1"":0.9924258217,""2"":0.0073657147,""3"":0.0001389757,""4"":6.94879e-05}",retained Zenodo clusters; strict service records excluded
3.0,clust_p3MeV.txt,24703,25040,8,"{""1"":24383,""2"":309,""3"":9,""4"":1,""8"":1}","{""1"":0.9870461078,""2"":0.0125086022,""3"":0.0003643282,""4"":4.04809e-05,""8"":4.04809e-05}",retained Zenodo clusters; strict service records excluded
4.0,clust_p4MeV.txt,4336,4406,3,"{""1"":4269,""2"":64,""3"":3}","{""1"":0.9845479705,""2"":0.0147601476,""3"":0.0006918819}",retained Zenodo clusters; strict service records excluded
5.0,clust_p5MeV.txt,1994,2053,3,"{""1"":1936,""2"":57,""3"":1}","{""1"":0.9709127382,""2"":0.0285857573,""3"":0.0005015045}",retained Zenodo clusters; strict service records excluded
29.0,clust_p29MeV.txt,1165,1183,2,"{""1"":1147,""2"":18}","{""1"":0.9845493562,""2"":0.0154506438}",retained Zenodo clusters; strict service records excluded
40.0,clust_p40MeV.txt,12442,16402,11,"{""1"":9972,""2"":1588,""3"":509,""4"":238,""5"":78,""6"":36,""7"":10,""8"":6,""9"":1,""10"":2,""11"":2}","{""1"":0.8014788619,""2"":0.1276322135,""3"":0.0409098216,""4"":0.0191287574,""5"":0.0062690886,""6"":0.0028934255,""7"":0.0008037293,""8"":0.0004822376,""9"":8.03729e-05,""10"":0.0001607459,""11"":0.0001607459}",retained Zenodo clusters; strict service records excluded
80.0,clust_p80MeV.txt,10890,15325,12,"{""1"":8489,""2"":1360,""3"":541,""4"":257,""5"":111,""6"":70,""7"":30,""8"":19,""9"":7,""10"":3,""11"":1,""12"":2}","{""1"":0.7795224977,""2"":0.1248852158,""3"":0.0496786042,""4"":0.0235996327,""5"":0.0101928375,""6"":0.0064279155,""7"":0.0027548209,""8"":0.0017447199,""9"":0.0006427916,""10"":0.0002754821,""11"":9.18274e-05,""12"":0.0001836547}",retained Zenodo clusters; strict service records excluded
124.0,clust_p124MeV.txt,9404,13632,15,"{""1"":7177,""2"":1250,""3"":468,""4"":257,""5"":129,""6"":60,""7"":30,""8"":15,""9"":6,""10"":6,""11"":2,""12"":2,""13"":1,""15"":1}","{""1"":0.7631858783,""2"":0.1329221608,""3"":0.049766057,""4"":0.0273287963,""5"":0.013717567,""6"":0.0063802637,""7"":0.0031901319,""8"":0.0015950659,""9"":0.0006380264,""10"":0.0006380264,""11"":0.0002126755,""12"":0.0002126755,""13"":0.0001063377,""15"":0.0001063377}",retained Zenodo clusters; strict service records excluded
164.0,clust_p164MeV.txt,8668,13358,29,"{""1"":6446,""2"":1176,""3"":463,""4"":232,""5"":149,""6"":91,""7"":43,""8"":22,""9"":25,""10"":13,""11"":1,""12"":3,""13"":1,""14"":1,""17"":1,""29"":1}","{""1"":0.7436548223,""2"":0.1356714352,""3"":0.0534148593,""4"":0.0267651131,""5"":0.0171896631,""6"":0.0104983849,""7"":0.0049607753,""8"":0.0025380711,""9"":0.0028841717,""10"":0.0014997693,""11"":0.0001153669,""12"":0.0003461006,""13"":0.0001153669,""14"":0.0001153669,""17"":0.0001153669,""29"":0.0001153669}",retained Zenodo clusters; strict service records excluded
186.0,clust_p186MeV.txt,8356,12972,19,"{""1"":6150,""2"":1169,""3"":469,""4"":250,""5"":124,""6"":82,""7"":42,""8"":27,""9"":18,""10"":11,""11"":5,""12"":4,""14"":2,""16"":1,""17"":1,""19"":1}","{""1"":0.7359980852,""2"":0.1398994734,""3"":0.0561273337,""4"":0.0299186213,""5"":0.0148396362,""6"":0.0098133078,""7"":0.0050263284,""8"":0.0032312111,""9"":0.0021541407,""10"":0.0013164193,""11"":0.0005983724,""12"":0.0004786979,""14"":0.000239349,""16"":0.0001196745,""17"":0.0001196745,""19"":0.0001196745}",retained Zenodo clusters; strict service records excluded
