energy_mev,source_file,sigma_bit_cm2_per_bit,value_type,facility,source,uncertainty,raw_alignment
0.9,clust_p0.9MeV.txt,9.410000e-10,experimental marker-centre digitization,CNA,REDW2020 Fig.6 digitized experimental CNA marker,source: 95% CL from counts + ~10% fluence; digitization uncertainty not invented,energy label aligned; exact publication run identity not proven
1.0,clust_p1MeV.txt,1.270000e-09,experimental marker-centre digitization,CNA,REDW2020 Fig.6 digitized experimental CNA marker,source: 95% CL from counts + ~10% fluence; digitization uncertainty not invented,energy label aligned; exact publication run identity not proven
1.1,clust_p1.1MeV.txt,4.020000e-10,experimental marker-centre digitization,CNA,REDW2020 Fig.6 digitized experimental CNA marker,source: 95% CL from counts + ~10% fluence; digitization uncertainty not invented,energy label aligned; exact publication run identity not proven
1.5,clust_p1.5MeV.txt,5.580000e-11,experimental marker-centre digitization,CNA,REDW2020 Fig.6 digitized experimental CNA marker,source: 95% CL from counts + ~10% fluence; digitization uncertainty not invented,energy label aligned; exact publication run identity not proven
2.5,clust_p2.5MeV.txt,1.610000e-12,experimental marker-centre digitization,CNA,REDW2020 Fig.6 digitized experimental CNA marker,source: 95% CL from counts + ~10% fluence; digitization uncertainty not invented,energy label aligned; exact publication run identity not proven
3.0,clust_p3MeV.txt,6.130000e-13,experimental marker-centre digitization,CNA,REDW2020 Fig.6 digitized experimental CNA marker,source: 95% CL from counts + ~10% fluence; digitization uncertainty not invented,energy label aligned; exact publication run identity not proven
4.0,clust_p4MeV.txt,1.490000e-13,experimental marker-centre digitization,CNA,REDW2020 Fig.6 digitized experimental CNA marker,source: 95% CL from counts + ~10% fluence; digitization uncertainty not invented,energy label aligned; exact publication run identity not proven
5.0,clust_p5MeV.txt,6.820000e-14,experimental marker-centre digitization,CNA,REDW2020 Fig.6 digitized experimental CNA marker,source: 95% CL from counts + ~10% fluence; digitization uncertainty not invented,energy label aligned; exact publication run identity not proven
29.0,clust_p29MeV.txt,,unresolved,TOP-IMPLART,same-device 29-MeV campaign exists; no uniquely alignable raw point recovered,,package/run configuration unresolved
40.0,clust_p40MeV.txt,1.000000e-13,experimental marker-centre digitization,KVI-CART,PDI2021 Fig.3 digitized experimental KVI marker,source: 95% CL from counts + ~10% fluence; digitization uncertainty not invented,energy label aligned; exact publication run identity not proven
80.0,clust_p80MeV.txt,9.000000e-14,experimental marker-centre digitization,KVI-CART,PDI2021 Fig.3 digitized experimental KVI marker,source: 95% CL from counts + ~10% fluence; digitization uncertainty not invented,energy label aligned; exact publication run identity not proven
124.0,clust_p124MeV.txt,8.000000e-14,experimental marker-centre digitization,KVI-CART,PDI2021 Fig.3 digitized experimental KVI marker,source: 95% CL from counts + ~10% fluence; digitization uncertainty not invented,energy label aligned; exact publication run identity not proven
164.0,clust_p164MeV.txt,7.800000e-14,experimental marker-centre digitization,KVI-CART,PDI2021 Fig.3 digitized experimental KVI marker,source: 95% CL from counts + ~10% fluence; digitization uncertainty not invented,energy label aligned; exact publication run identity not proven
186.0,clust_p186MeV.txt,8.200000e-14,experimental marker-centre digitization,KVI-CART,PDI2021 Fig.3 digitized experimental KVI marker,source: 95% CL from counts + ~10% fluence; digitization uncertainty not invented,energy label aligned; exact publication run identity not proven
184,,7.730000e-14,exact published literature anchor,KVI-CART,Cecchetto et al. 10.1109/TNS.2021.3064666,published exact table/point; retained at 184 MeV,adjacent anchor only; Zenodo raw is labelled 186 MeV and is not relabelled
