energy_mev,source_file,N_events,N_bitflips,N_k,fluence_cm2,sigma_k_cm2,status,note
0.9,clust_p0.9MeV.txt,7455,7507,"{""1"":7403,""2"":52}",,,NOT_COMPUTABLE_MISSING_ALIGNED_FLUENCE,N_k available; do not back-calculate fluence from sigma_bit
1.0,clust_p1MeV.txt,4690,4710,"{""1"":4670,""2"":20}",,,NOT_COMPUTABLE_MISSING_ALIGNED_FLUENCE,N_k available; do not back-calculate fluence from sigma_bit
1.1,clust_p1.1MeV.txt,14012,14090,"{""1"":13934,""2"":78}",,,NOT_COMPUTABLE_MISSING_ALIGNED_FLUENCE,N_k available; do not back-calculate fluence from sigma_bit
1.5,clust_p1.5MeV.txt,3214,3224,"{""1"":3204,""2"":10}",,,NOT_COMPUTABLE_MISSING_ALIGNED_FLUENCE,N_k available; do not back-calculate fluence from sigma_bit
2.5,clust_p2.5MeV.txt,28782,29008,"{""1"":28564,""2"":212,""3"":4,""4"":2}",,,NOT_COMPUTABLE_MISSING_ALIGNED_FLUENCE,N_k available; do not back-calculate fluence from sigma_bit
3.0,clust_p3MeV.txt,24703,25040,"{""1"":24383,""2"":309,""3"":9,""4"":1,""8"":1}",,,NOT_COMPUTABLE_MISSING_ALIGNED_FLUENCE,N_k available; do not back-calculate fluence from sigma_bit
4.0,clust_p4MeV.txt,4336,4406,"{""1"":4269,""2"":64,""3"":3}",,,NOT_COMPUTABLE_MISSING_ALIGNED_FLUENCE,N_k available; do not back-calculate fluence from sigma_bit
5.0,clust_p5MeV.txt,1994,2053,"{""1"":1936,""2"":57,""3"":1}",,,NOT_COMPUTABLE_MISSING_ALIGNED_FLUENCE,N_k available; do not back-calculate fluence from sigma_bit
29.0,clust_p29MeV.txt,1165,1183,"{""1"":1147,""2"":18}",,,NOT_COMPUTABLE_MISSING_ALIGNED_FLUENCE,N_k available; do not back-calculate fluence from sigma_bit
40.0,clust_p40MeV.txt,12442,16402,"{""1"":9972,""2"":1588,""3"":509,""4"":238,""5"":78,""6"":36,""7"":10,""8"":6,""9"":1,""10"":2,""11"":2}",,,NOT_COMPUTABLE_MISSING_ALIGNED_FLUENCE,N_k available; do not back-calculate fluence from sigma_bit
80.0,clust_p80MeV.txt,10890,15325,"{""1"":8489,""2"":1360,""3"":541,""4"":257,""5"":111,""6"":70,""7"":30,""8"":19,""9"":7,""10"":3,""11"":1,""12"":2}",,,NOT_COMPUTABLE_MISSING_ALIGNED_FLUENCE,N_k available; do not back-calculate fluence from sigma_bit
124.0,clust_p124MeV.txt,9404,13632,"{""1"":7177,""2"":1250,""3"":468,""4"":257,""5"":129,""6"":60,""7"":30,""8"":15,""9"":6,""10"":6,""11"":2,""12"":2,""13"":1,""15"":1}",,,NOT_COMPUTABLE_MISSING_ALIGNED_FLUENCE,N_k available; do not back-calculate fluence from sigma_bit
164.0,clust_p164MeV.txt,8668,13358,"{""1"":6446,""2"":1176,""3"":463,""4"":232,""5"":149,""6"":91,""7"":43,""8"":22,""9"":25,""10"":13,""11"":1,""12"":3,""13"":1,""14"":1,""17"":1,""29"":1}",,,NOT_COMPUTABLE_MISSING_ALIGNED_FLUENCE,N_k available; do not back-calculate fluence from sigma_bit
186.0,clust_p186MeV.txt,8356,12972,"{""1"":6150,""2"":1169,""3"":469,""4"":250,""5"":124,""6"":82,""7"":42,""8"":27,""9"":18,""10"":11,""11"":5,""12"":4,""14"":2,""16"":1,""17"":1,""19"":1}",,,NOT_COMPUTABLE_MISSING_ALIGNED_FLUENCE,N_k available; do not back-calculate fluence from sigma_bit
