energy_mev,source_file,segment_id,records,bitflips,cluster_id_first,cluster_id_last,timestamp_available,timestamp_min,timestamp_max,facility,beam_environment,external_vdd_v,core_voltage_v,memory_mode,pattern,ecc,fluence_cm2,fluence_status,package_state,read_correction,boundary_basis,condition_source
0.9,clust_p0.9MeV.txt,1,7455,7507,0,7454,True,11:27:10,11:30:09,CNA,vacuum,3.3,1.1,unresolved,checkerboard (campaign),disabled,,missing file/segment-aligned fluence,lid-off (campaign-level),unresolved for proton raw segment,cluster-ID reset; strict sentinel excluded,REDW2020/PDI2021; Cecchetto thesis for facility attribution
1.0,clust_p1MeV.txt,1,4690,4710,0,4689,True,11:11:41,11:14:40,CNA,vacuum,3.3,1.1,unresolved,checkerboard (campaign),disabled,,missing file/segment-aligned fluence,lid-off (campaign-level),unresolved for proton raw segment,cluster-ID reset; strict sentinel excluded,REDW2020/PDI2021; Cecchetto thesis for facility attribution
1.1,clust_p1.1MeV.txt,1,6614,6651,0,6613,True,12:57:37,13:00:36,CNA,vacuum,3.3,1.1,unresolved,checkerboard (campaign),disabled,,missing file/segment-aligned fluence,lid-off (campaign-level),unresolved for proton raw segment,cluster-ID reset; strict sentinel excluded,REDW2020/PDI2021; Cecchetto thesis for facility attribution
1.1,clust_p1.1MeV.txt,2,7398,7439,0,7397,True,13:03:06,13:06:04,CNA,vacuum,3.3,1.1,unresolved,checkerboard (campaign),disabled,,missing file/segment-aligned fluence,lid-off (campaign-level),unresolved for proton raw segment,cluster-ID reset; strict sentinel excluded,REDW2020/PDI2021; Cecchetto thesis for facility attribution
1.5,clust_p1.5MeV.txt,1,3214,3224,0,3213,True,10:52:53,10:55:52,CNA,vacuum,3.3,1.1,unresolved,checkerboard (campaign),disabled,,missing file/segment-aligned fluence,lid-off (campaign-level),unresolved for proton raw segment,cluster-ID reset; strict sentinel excluded,REDW2020/PDI2021; Cecchetto thesis for facility attribution
2.5,clust_p2.5MeV.txt,1,9911,9993,0,9910,True,09:42:55,09:45:53,CNA,vacuum,3.3,1.1,unresolved,checkerboard (campaign),disabled,,missing file/segment-aligned fluence,lid-off (campaign-level),unresolved for proton raw segment,cluster-ID reset; strict sentinel excluded,REDW2020/PDI2021; Cecchetto thesis for facility attribution
2.5,clust_p2.5MeV.txt,2,9257,9324,0,9256,True,09:52:57,09:55:56,CNA,vacuum,3.3,1.1,unresolved,checkerboard (campaign),disabled,,missing file/segment-aligned fluence,lid-off (campaign-level),unresolved for proton raw segment,cluster-ID reset; strict sentinel excluded,REDW2020/PDI2021; Cecchetto thesis for facility attribution
2.5,clust_p2.5MeV.txt,3,9388,9464,0,9387,True,10:01:58,10:08:02,CNA,vacuum,3.3,1.1,unresolved,checkerboard (campaign),disabled,,missing file/segment-aligned fluence,lid-off (campaign-level),unresolved for proton raw segment,cluster-ID reset; strict sentinel excluded,REDW2020/PDI2021; Cecchetto thesis for facility attribution
2.5,clust_p2.5MeV.txt,4,226,227,0,225,True,10:14:24,10:20:17,CNA,vacuum,3.3,1.1,unresolved,checkerboard (campaign),disabled,,missing file/segment-aligned fluence,lid-off (campaign-level),unresolved for proton raw segment,cluster-ID reset; strict sentinel excluded,REDW2020/PDI2021; Cecchetto thesis for facility attribution
3.0,clust_p3MeV.txt,1,16345,16616,0,16344,True,09:15:40,09:18:40,CNA,vacuum,3.3,1.1,unresolved,checkerboard (campaign),disabled,,missing file/segment-aligned fluence,lid-off (campaign-level),unresolved for proton raw segment,cluster-ID reset; strict sentinel excluded,REDW2020/PDI2021; Cecchetto thesis for facility attribution
