rate_anchor,lambda_s,window_s,expected_arrivals,p_any_arrival,constant_rate_t95_s,status
mean,0.000532094930886647,1,0.000532094930886647,0.0005319533934838007,5630.071063751923,homogeneous_Poisson_arrival_proxy_not_count_likelihood
mean,0.000532094930886647,5,0.0026604746544332354,0.002656938728182276,5630.071063751923,homogeneous_Poisson_arrival_proxy_not_count_likelihood
mean,0.000532094930886647,30,0.01596284792659941,0.01583611689509232,5630.071063751923,homogeneous_Poisson_arrival_proxy_not_count_likelihood
mean,0.000532094930886647,60,0.03192569585319882,0.031421451191869613,5630.071063751923,homogeneous_Poisson_arrival_proxy_not_count_likelihood
mean,0.000532094930886647,300,0.1596284792659941,0.14753956313084488,5630.071063751923,homogeneous_Poisson_arrival_proxy_not_count_likelihood
mean,0.000532094930886647,3600,1.9155417511919295,0.8527379684091687,5630.071063751923,homogeneous_Poisson_arrival_proxy_not_count_likelihood
p95,0.0009953530407309638,1,0.0009953530407309638,0.0009948578412061957,3009.718311960946,homogeneous_Poisson_arrival_proxy_not_count_likelihood
p95,0.0009953530407309638,5,0.004976765203654819,0.004964401626419041,3009.718311960946,homogeneous_Poisson_arrival_proxy_not_count_likelihood
p95,0.0009953530407309638,30,0.02986059122192891,0.02941916839482603,3009.718311960946,homogeneous_Poisson_arrival_proxy_not_count_likelihood
p95,0.0009953530407309638,60,0.05972118244385782,0.05797284932060892,3009.718311960946,homogeneous_Poisson_arrival_proxy_not_count_likelihood
p95,0.0009953530407309638,300,0.2986059122192891,0.2581482934714865,3009.718311960946,homogeneous_Poisson_arrival_proxy_not_count_likelihood
p95,0.0009953530407309638,3600,3.5832709466314694,0.9722153327061901,3009.718311960946,homogeneous_Poisson_arrival_proxy_not_count_likelihood
peak,0.08982367522396904,1,0.08982367522396904,0.08590765180913085,33.351254734170496,homogeneous_Poisson_arrival_proxy_not_count_likelihood
peak,0.08982367522396904,5,0.44911837611984523,0.36180945229861844,33.351254734170496,homogeneous_Poisson_arrival_proxy_not_count_likelihood
peak,0.08982367522396904,30,2.6947102567190715,0.9324380454390737,33.351254734170496,homogeneous_Poisson_arrival_proxy_not_count_likelihood
peak,0.08982367522396904,60,5.389420513438143,0.9954353822959073,33.351254734170496,homogeneous_Poisson_arrival_proxy_not_count_likelihood
peak,0.08982367522396904,300,26.94710256719071,0.9999999999980184,33.351254734170496,homogeneous_Poisson_arrival_proxy_not_count_likelihood
peak,0.08982367522396904,3600,323.36523080628854,1.0,33.351254734170496,homogeneous_Poisson_arrival_proxy_not_count_likelihood
