D,policy,F,passes_own_survival,busy_own_survival_s,busy_percent,completed_reads,completed_writes,stop_reads,stop_writes,stop_busy_s,guarantee,scope
30,learning,0.0708,2407.2886891950066,454.3605260210418,12.621125722806717,5048450289.122686,5048450289.122686,4897089812.02845,4897089812.02285,440.73808308255246,uniform_continuum_certificate,retained_RES004_R2U_only
30,frozen_uncertainty,0.0713,2420.1370733283084,456.7855773244147,12.688488259011518,5075395303.604609,5075395303.604609,4922437755.34895,4922437755.3434,443.0193979813896,uniform_continuum_certificate,retained_RES004_R2U_only
30,Fixed,0.0613,3600.0,679.4772480000001,18.874368000000004,7549747200.0,7549747200.0,7313043872.44015,7313043872.4347,658.173948519605,uniform_continuum_certificate,retained_RES004_R2U_only
30,Precomputed,0.09005,2700.0,509.607936,14.155776000000001,5662310400.0,5662310400.0,5318385087.301,5318385087.295,478.6546578570701,uniform_continuum_certificate,retained_RES004_R2U_only
30,PA_DOM_one_setting,0.0872,3083.884092900964,582.0712934327081,16.16864703979745,6467373693.195442,6467373693.195442,6177670690.8573,6177670690.77265,555.9903621763551,finite_point_MC_only,retained_RES004_R2U_only
30,known_D_RES003_diagnostic,0.0825,2053.7229972752043,387.62723620635205,10.767423227954223,4306969291.181689,4306969291.181689,4157702315.55935,4157702315.55375,374.19320840033186,known_parameter_diagnostic,retained_RES004_R2U_only
100,learning,0.0684,2283.715543151567,431.0368756876255,11.973246546878487,4789298618.751395,4789298618.751395,4651442070.37345,4651442070.3678,418.62978633361803,uniform_continuum_certificate,retained_RES004_R2U_only
100,frozen_uncertainty,0.06595,2411.6048391413738,455.1751720453509,12.643754779037526,5057501911.61501,5057501911.61501,4913187464.38085,4913187464.37515,442.1868717942815,uniform_continuum_certificate,retained_RES004_R2U_only
100,Fixed,0.06085,3600.0,679.477248,18.874368,7549747200.0,7549747200.0,7318538762.2251,7318538762.2195,658.6684886002674,uniform_continuum_certificate,retained_RES004_R2U_only
100,Precomputed,0.0896,2700.0,509.6079359999999,14.155775999999998,5662310400.0,5662310400.0,5321011322.4837,5321011322.4771,478.8910190235017,uniform_continuum_certificate,retained_RES004_R2U_only
100,PA_DOM_one_setting,0.0734,3216.5078782646233,607.1037223227455,16.86399228674293,6745505929.918411,6745505929.918411,6491558428.34705,6491558428.25475,584.24025855035,finite_point_MC_only,retained_RES004_R2U_only
100,known_D_RES003_diagnostic,0.0823,1918.6702081290182,362.1368757886368,10.059357660795468,4023743064.3181868,4023743064.3181868,3893296663.46975,3893296663.46405,350.3966997122905,known_parameter_diagnostic,retained_RES004_R2U_only
300,learning,0.06465,2143.895867856952,404.64679563611486,11.240188767669858,4496075507.067943,4496075507.067943,4377123995.1961,4377123995.19035,393.94115956763596,uniform_continuum_certificate,retained_RES004_R2U_only
300,frozen_uncertainty,0.06275,2397.6999733262205,452.5507165014927,12.570853236152574,5028341294.46103,5028341294.46103,4896206580.8735,4896206580.86755,440.6585922785992,uniform_continuum_certificate,retained_RES004_R2U_only
300,Fixed,0.05875,3600.0,679.477248,18.874368,7549747200.0,7549747200.0,7322640922.1649,7322640922.15905,659.0376829948273,uniform_continuum_certificate,retained_RES004_R2U_only
300,Precomputed,0.08755,2700.0,509.6079359999999,14.155775999999998,5662310400.0,5662310400.0,5324199038.5249,5324199038.51925,479.1779134672158,uniform_continuum_certificate,retained_RES004_R2U_only
300,PA_DOM_one_setting,0.0708,3210.616444253121,605.9915470138958,16.833098528163774,6733150697.298321,6733150697.298321,6497872690.4579,6497872690.3694,584.8085421403864,finite_point_MC_only,retained_RES004_R2U_only
300,known_D_RES003_diagnostic,0.07865,1814.7443968090301,342.52153571311663,9.514487103142129,3805794841.256851,3805794841.256851,3692781922.0126,3692781922.00685,332.35037298112235,known_parameter_diagnostic,retained_RES004_R2U_only
1000,learning,0.068,2065.6521995708154,389.8787977470901,10.829966604085836,4331986641.634335,4331986641.634335,4235560811.07435,4235560811.0686,381.2004729966741,uniform_continuum_certificate,retained_RES004_R2U_only
1000,frozen_uncertainty,0.06665,2385.128301280334,450.177892855799,12.504941468216638,5001976587.286655,5001976587.286655,4881891275.2566,4881891275.2507,439.37021477307064,uniform_continuum_certificate,retained_RES004_R2U_only
1000,Fixed,0.0622,3600.0,679.477248,18.874368,7549747200.0,7549747200.0,7316699926.13875,7316699926.13305,658.5029933524681,uniform_continuum_certificate,retained_RES004_R2U_only
1000,Precomputed,0.0925,2700.0,509.6079359999999,14.155775999999998,5662310400.0,5662310400.0,5311269949.38815,5311269949.38305,478.0142954449277,uniform_continuum_certificate,retained_RES004_R2U_only
1000,PA_DOM_one_setting,0.071,3091.8886975242194,583.5826852647406,16.210630146242792,6484160565.790312,6484160565.790312,6271669189.51695,6271669189.42505,564.4502270556673,finite_point_MC_only,retained_RES004_R2U_only
1000,known_D_RES003_diagnostic,0.0832,1728.6962805410121,326.28049759162303,9.063347155322862,3625338862.1291447,3625338862.1291447,3534518863.3714,3534518863.36585,318.10669770341394,known_parameter_diagnostic,retained_RES004_R2U_only
3000,learning,0.06445,2016.1938966383411,380.5438556450601,10.570662656807226,4228265062.7228904,4228265062.7228904,4168307754.6921,4168307754.6871,375.14769792230453,uniform_continuum_certificate,retained_RES004_R2U_only
