rate_anchor,epsilon,period_s,Q_pair,rmw_no_event_guard,upper_with_guard,passes,screen_passes,physical_transfer,certificate
mean,0.001,1,9.720326001271788e-10,6.895950304290946e-07,6.905670630292217e-07,3600,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.001,2,1.9440652002543576e-09,3.447975152145473e-07,3.467415804148017e-07,1800,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.001,5,4.860163000635894e-09,1.3791900608581892e-07,1.4277916908645482e-07,720,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.001,10,9.720326001271789e-09,6.895950304290946e-08,7.867982904418124e-08,360,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.001,20,1.9440652002543577e-08,3.447975152145473e-08,5.3920403523998307e-08,180,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.001,30,2.9160978003815366e-08,2.298650101430315e-08,5.214747901811851e-08,120,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.001,60,5.832195600763073e-08,1.1493250507151575e-08,6.98152065147823e-08,60,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.001,100,9.720326001271789e-08,6.895950304290945e-09,1.0409921031700884e-07,36,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.001,120,1.1664391201526146e-07,5.746625253575787e-09,1.2239053726883726e-07,30,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.001,150,1.4580489001907682e-07,4.59730020286063e-09,1.5040219022193746e-07,24,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.001,300,2.9160978003815364e-07,2.298650101430315e-09,2.93908430139584e-07,12,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.001,600,5.832195600763073e-07,1.1493250507151575e-09,5.843688851270224e-07,6,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.001,1200,1.1664391201526146e-06,5.746625253575787e-10,1.1670137826779722e-06,3,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.001,1800,1.7496586802289219e-06,3.831083502383859e-10,1.7500417885791602e-06,2,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.001,3600,3.4993173604578437e-06,1.9155417511919294e-10,3.499508914632963e-06,1,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.01,1,9.720326001271788e-10,6.895950304290946e-07,6.905670630292217e-07,3600,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.01,2,1.9440652002543576e-09,3.447975152145473e-07,3.467415804148017e-07,1800,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.01,5,4.860163000635894e-09,1.3791900608581892e-07,1.4277916908645482e-07,720,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.01,10,9.720326001271789e-09,6.895950304290946e-08,7.867982904418124e-08,360,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.01,20,1.9440652002543577e-08,3.447975152145473e-08,5.3920403523998307e-08,180,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.01,30,2.9160978003815366e-08,2.298650101430315e-08,5.214747901811851e-08,120,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.01,60,5.832195600763073e-08,1.1493250507151575e-08,6.98152065147823e-08,60,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.01,100,9.720326001271789e-08,6.895950304290945e-09,1.0409921031700884e-07,36,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.01,120,1.1664391201526146e-07,5.746625253575787e-09,1.2239053726883726e-07,30,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
mean,0.01,150,1.4580489001907682e-07,4.59730020286063e-09,1.5040219022193746e-07,24,True,UNCONFIRMED,conditional_single_arrival_uniform_word_bound
