Q,comparator,epsilon,occupancy_percent,occupied_s,passes,reads,shield,status,tau1,tau2,u0,u1,writes
,Fixed,1e-8,,,,,d1,UN-CERTIFIED,,,,,
,Precomputed,1e-8,,,,,d1,UN-CERTIFIED,,,,,
,Fixed,1e-7,,,,,d1,UN-CERTIFIED,,,,,
,Precomputed,1e-7,,,,,d1,UN-CERTIFIED,,,,,
,Fixed,1e-6,,,,,d1,UN-CERTIFIED,,,,,
,Precomputed,1e-6,,,,,d1,UN-CERTIFIED,,,,,
,Fixed,1e-5,,,,,d1,UN-CERTIFIED,,,,,
,Precomputed,1e-5,,,,,d1,UN-CERTIFIED,,,,,
,Fixed,1e-4,,,,,d1,UN-CERTIFIED,,,,,
,Precomputed,1e-4,,,,,d1,UN-CERTIFIED,,,,,
,Fixed,1e-3,,,,,d1,UN-CERTIFIED,,,,,
,Precomputed,1e-3,,,,,d1,UN-CERTIFIED,,,,,
,Fixed,1e-2,,,,,d1,UN-CERTIFIED,,,,,
,Precomputed,1e-2,,,,,d1,UN-CERTIFIED,,,,,
,Fixed,1e-1,,,,,d1,UN-CERTIFIED,,,,,
,Precomputed,1e-1,,,,,d1,UN-CERTIFIED,,,,,
,Fixed,1e-8,,,,,d3,UN-CERTIFIED,,,,,
,Precomputed,1e-8,,,,,d3,UN-CERTIFIED,,,,,
,Fixed,1e-7,,,,,d3,UN-CERTIFIED,,,,,
,Precomputed,1e-7,,,,,d3,UN-CERTIFIED,,,,,
,Fixed,1e-6,,,,,d3,UN-CERTIFIED,,,,,
,Precomputed,1e-6,,,,,d3,UN-CERTIFIED,,,,,
,Fixed,1e-5,,,,,d3,UN-CERTIFIED,,,,,
,Precomputed,1e-5,,,,,d3,UN-CERTIFIED,,,,,
,Fixed,1e-4,,,,,d3,UN-CERTIFIED,,,,,
,Precomputed,1e-4,,,,,d3,UN-CERTIFIED,,,,,
,Fixed,1e-3,,,,,d3,UN-CERTIFIED,,,,,
,Precomputed,1e-3,,,,,d3,UN-CERTIFIED,,,,,
0.004158577054645932,Fixed,1e-2,94.37184000,566.23104000,3000,6291456000,d3,CERTIFIED,0.2,0.2,6.1249308,6.1249308,6291456000
0.007275911256837670,Precomputed,1e-2,66.06028800,396.36172800,2100,4404019200,d3,CERTIFIED,0.5,0.2,6.1249308,6.1249308,4404019200
0.04157836240921440,Fixed,1e-1,9.43718400,56.62310400,300,629145600,d3,CERTIFIED,2,2,6.1249308,6.1249308,629145600
0.07275170443113178,Precomputed,1e-1,6.606028800,39.63617280,210,440401920,d3,CERTIFIED,5,2,6.1249308,6.1249308,440401920
,Fixed,1e-8,,,,,d5,UN-CERTIFIED,,,,,
,Precomputed,1e-8,,,,,d5,UN-CERTIFIED,,,,,
,Fixed,1e-7,,,,,d5,UN-CERTIFIED,,,,,
,Precomputed,1e-7,,,,,d5,UN-CERTIFIED,,,,,
,Fixed,1e-6,,,,,d5,UN-CERTIFIED,,,,,
,Precomputed,1e-6,,,,,d5,UN-CERTIFIED,,,,,
,Fixed,1e-5,,,,,d5,UN-CERTIFIED,,,,,
,Precomputed,1e-5,,,,,d5,UN-CERTIFIED,,,,,
,Fixed,1e-4,,,,,d5,UN-CERTIFIED,,,,,
,Precomputed,1e-4,,,,,d5,UN-CERTIFIED,,,,,
0.0006536346794312027,Fixed,1e-3,37.74873600,226.49241600,1200,2516582400,d5,CERTIFIED,0.5,0.5,1.5358618,1.5358618,2516582400
0.0009803233088303951,Precomputed,1e-3,28.31155200,169.86931200,900,1887436800,d5,CERTIFIED,1,0.5,1.5358618,1.5358618,1887436800
0.006535880982041804,Fixed,1e-2,3.774873600,22.64924160,120,251658240,d5,CERTIFIED,5,5,1.5358618,1.5358618,251658240
0.009802767276033728,Precomputed,1e-2,2.831155200,16.98693120,90,188743680,d5,CERTIFIED,10,5,1.5358618,1.5358618,188743680
0.07843000245839359,Fixed,1e-1,0.314572800,1.88743680,10,20971520,d5,CERTIFIED,60,60,1.5358618,1.5358618,20971520
0.07843000245839359,Precomputed,1e-1,0.314572800,1.88743680,10,20971520,d5,CERTIFIED,60,60,1.5358618,1.5358618,20971520
