label,shield,epsilon,L_s,precomputed_passes,delayed_passes,ideal_passes,pre_minus_delayed_passes,pre_minus_delayed_occupied_s,pre_minus_delayed_occupancy_pp,delayed_minus_ideal_passes,retention
LOWER_MEDIAN,d3,0.01,0,2100,1200,2,900,169.869312,28.311552,1198,0.428979980934223
LOWER_MEDIAN,d3,0.01,300,2100,2100,2,0,0.0,0.0,2098,0.0
LOWER_MEDIAN,d3,0.01,900,2100,2100,2,0,0.0,0.0,2098,0.0
LOWER_MEDIAN,d3,0.01,1800,2100,2100,2,0,0.0,0.0,2098,0.0
LOWER_MEDIAN,d3,0.1,0,210,120,2,90,16.9869312,2.8311552,118,0.4326923076923077
LOWER_MEDIAN,d3,0.1,300,210,210,2,0,0.0,0.0,208,0.0
LOWER_MEDIAN,d3,0.1,900,210,210,2,0,0.0,0.0,208,0.0
LOWER_MEDIAN,d3,0.1,1800,210,210,2,0,0.0,0.0,208,0.0
LOWER_MEDIAN,d5,0.001,0,900,600,2,300,56.623104,9.437184,598,0.3340757238307349
LOWER_MEDIAN,d5,0.001,300,900,900,2,0,0.0,0.0,898,0.0
LOWER_MEDIAN,d5,0.001,900,900,900,2,0,0.0,0.0,898,0.0
LOWER_MEDIAN,d5,0.001,1800,900,900,2,0,0.0,0.0,898,0.0
LOWER_MEDIAN,d5,0.01,0,90,60,2,30,5.6623104,0.9437184,58,0.3409090909090909
LOWER_MEDIAN,d5,0.01,300,90,90,2,0,0.0,0.0,88,0.0
LOWER_MEDIAN,d5,0.01,900,90,90,2,0,0.0,0.0,88,0.0
LOWER_MEDIAN,d5,0.01,1800,90,90,2,0,0.0,0.0,88,0.0
LOWER_MEDIAN,d5,0.1,0,10,7,2,3,0.56623104,0.09437184,5,0.375
LOWER_MEDIAN,d5,0.1,300,10,10,2,0,0.0,0.0,8,0.0
LOWER_MEDIAN,d5,0.1,900,10,10,2,0,0.0,0.0,8,0.0
LOWER_MEDIAN,d5,0.1,1800,10,10,2,0,0.0,0.0,8,0.0
MAX_DECREASE,d3,0.01,0,2100,1200,900,900,169.869312,28.311552,300,0.75
MAX_DECREASE,d3,0.01,300,2100,2100,900,0,0.0,0.0,1200,0.0
MAX_DECREASE,d3,0.01,900,2100,2100,900,0,0.0,0.0,1200,0.0
MAX_DECREASE,d3,0.01,1800,2100,2100,900,0,0.0,0.0,1200,0.0
MAX_DECREASE,d3,0.1,0,210,120,90,90,16.9869312,2.8311552,30,0.75
MAX_DECREASE,d3,0.1,300,210,210,90,0,0.0,0.0,120,0.0
MAX_DECREASE,d3,0.1,900,210,210,90,0,0.0,0.0,120,0.0
MAX_DECREASE,d3,0.1,1800,210,210,90,0,0.0,0.0,120,0.0
MAX_DECREASE,d5,0.001,0,900,900,450,0,0.0,0.0,450,0.0
MAX_DECREASE,d5,0.001,300,900,900,450,0,0.0,0.0,450,0.0
MAX_DECREASE,d5,0.001,900,900,900,450,0,0.0,0.0,450,0.0
MAX_DECREASE,d5,0.001,1800,900,900,450,0,0.0,0.0,450,0.0
MAX_DECREASE,d5,0.01,0,90,90,45,0,0.0,0.0,45,0.0
MAX_DECREASE,d5,0.01,300,90,90,45,0,0.0,0.0,45,0.0
MAX_DECREASE,d5,0.01,900,90,90,45,0,0.0,0.0,45,0.0
MAX_DECREASE,d5,0.01,1800,90,90,45,0,0.0,0.0,45,0.0
MAX_DECREASE,d5,0.1,0,10,8,4,2,0.37748736,0.06291456,4,0.3333333333333333
MAX_DECREASE,d5,0.1,300,10,10,4,0,0.0,0.0,6,0.0
MAX_DECREASE,d5,0.1,900,10,10,4,0,0.0,0.0,6,0.0
MAX_DECREASE,d5,0.1,1800,10,10,4,0,0.0,0.0,6,0.0
MAX_FALLBACK,d3,0.01,0,2100,2100,2,0,0.0,0.0,2098,0.0
MAX_FALLBACK,d3,0.01,300,2100,2100,2,0,0.0,0.0,2098,0.0
MAX_FALLBACK,d3,0.01,900,2100,2100,2,0,0.0,0.0,2098,0.0
MAX_FALLBACK,d3,0.01,1800,2100,2100,2,0,0.0,0.0,2098,0.0
MAX_FALLBACK,d3,0.1,0,210,210,2,0,0.0,0.0,208,0.0
MAX_FALLBACK,d3,0.1,300,210,210,2,0,0.0,0.0,208,0.0
MAX_FALLBACK,d3,0.1,900,210,210,2,0,0.0,0.0,208,0.0
MAX_FALLBACK,d3,0.1,1800,210,210,2,0,0.0,0.0,208,0.0
MAX_FALLBACK,d5,0.001,0,900,900,2,0,0.0,0.0,898,0.0
MAX_FALLBACK,d5,0.001,300,900,900,2,0,0.0,0.0,898,0.0
MAX_FALLBACK,d5,0.001,900,900,900,2,0,0.0,0.0,898,0.0
MAX_FALLBACK,d5,0.001,1800,900,900,2,0,0.0,0.0,898,0.0
