label,shield,kind,L_s,decision_s,anchor_count,g_min
LOWER_MEDIAN,d1,REPLAY,,,14,0.000001434045132920264
LOWER_MEDIAN,d1,Delayed,0,0,11,0.000001434045132920264
LOWER_MEDIAN,d1,Delayed,0,300,12,0.000001434045132920264
LOWER_MEDIAN,d1,Delayed,300,0,10,0.000001434045132920264
LOWER_MEDIAN,d1,Delayed,300,300,11,0.000001434045132920264
LOWER_MEDIAN,d1,Delayed,900,0,8,0.000001434045132920264
LOWER_MEDIAN,d1,Delayed,900,300,9,0.000001434045132920264
LOWER_MEDIAN,d1,Delayed,1800,0,6,0.000001434045132920264
LOWER_MEDIAN,d1,Delayed,1800,300,7,0.000001434045132920264
LOWER_MEDIAN,d1,Ideal,,0,13,0.000001434045132920264
LOWER_MEDIAN,d1,Ideal,,300,14,0.000001434045132920264
LOWER_MEDIAN,d3,REPLAY,,,14,0.000003604010350614900
LOWER_MEDIAN,d3,Delayed,0,0,11,0.000003604010350614900
LOWER_MEDIAN,d3,Delayed,0,300,12,0.000003604010350614900
LOWER_MEDIAN,d3,Delayed,300,0,10,0.000003604010350614900
LOWER_MEDIAN,d3,Delayed,300,300,11,0.000003604010350614900
LOWER_MEDIAN,d3,Delayed,900,0,8,0.000003604010350614900
LOWER_MEDIAN,d3,Delayed,900,300,9,0.000003604010350614900
LOWER_MEDIAN,d3,Delayed,1800,0,6,0.000002592465207933451
LOWER_MEDIAN,d3,Delayed,1800,300,7,0.000002592465207933451
LOWER_MEDIAN,d3,Ideal,,0,13,0.000003604010350614900
LOWER_MEDIAN,d3,Ideal,,300,14,0.000003604010350614900
LOWER_MEDIAN,d5,REPLAY,,,14,0.000004435350758772697
LOWER_MEDIAN,d5,Delayed,0,0,11,0.000004435350758772697
LOWER_MEDIAN,d5,Delayed,0,300,12,0.000004435350758772697
LOWER_MEDIAN,d5,Delayed,300,0,10,0.000004435350758772697
LOWER_MEDIAN,d5,Delayed,300,300,11,0.000004435350758772697
LOWER_MEDIAN,d5,Delayed,900,0,8,0.000004435350758772697
LOWER_MEDIAN,d5,Delayed,900,300,9,0.000004435350758772697
LOWER_MEDIAN,d5,Delayed,1800,0,6,0.000004435350758772697
LOWER_MEDIAN,d5,Delayed,1800,300,7,0.000004435350758772697
LOWER_MEDIAN,d5,Ideal,,0,13,0.000004435350758772697
LOWER_MEDIAN,d5,Ideal,,300,14,0.000004435350758772697
MAX_MEAN,d1,REPLAY,,,14,0.3821264782714922
MAX_MEAN,d1,Delayed,0,0,11,0.3821264782714922
MAX_MEAN,d1,Delayed,0,300,12,0.3821264782714922
MAX_MEAN,d1,Delayed,300,0,10,0.08084666092452324
MAX_MEAN,d1,Delayed,300,300,11,0.3821264782714922
MAX_MEAN,d1,Delayed,900,0,8,0.04246264983703568
MAX_MEAN,d1,Delayed,900,300,9,0.08063216516006940
MAX_MEAN,d1,Delayed,1800,0,5,0.04246264983703568
MAX_MEAN,d1,Delayed,1800,300,6,0.04246264983703568
MAX_MEAN,d1,Ideal,,0,13,0.3821264782714922
MAX_MEAN,d1,Ideal,,300,14,0.3821264782714922
MAX_MEAN,d3,REPLAY,,,14,0.3274298543911712
MAX_MEAN,d3,Delayed,0,0,11,0.3274298543911712
MAX_MEAN,d3,Delayed,0,300,12,0.3274298543911712
MAX_MEAN,d3,Delayed,300,0,10,0.09953756538767752
MAX_MEAN,d3,Delayed,300,300,11,0.3274298543911712
MAX_MEAN,d3,Delayed,900,0,8,0.05550079031096972
MAX_MEAN,d3,Delayed,900,300,9,0.07815758506202225
MAX_MEAN,d3,Delayed,1800,0,5,0.05010118644932282
MAX_MEAN,d3,Delayed,1800,300,6,0.05010118644932282
MAX_MEAN,d3,Ideal,,0,13,0.3274298543911712
MAX_MEAN,d3,Ideal,,300,14,0.3274298543911712
MAX_MEAN,d5,REPLAY,,,14,0.3122530295369023
MAX_MEAN,d5,Delayed,0,0,11,0.3122530295369023
MAX_MEAN,d5,Delayed,0,300,12,0.3122530295369023
MAX_MEAN,d5,Delayed,300,0,10,0.1310038767811010
MAX_MEAN,d5,Delayed,300,300,11,0.3122530295369023
MAX_MEAN,d5,Delayed,900,0,8,0.04354051907534910
MAX_MEAN,d5,Delayed,900,300,9,0.08564960076486048
MAX_MEAN,d5,Delayed,1800,0,5,0.04313393952502758
MAX_MEAN,d5,Delayed,1800,300,6,0.04313393952502758
MAX_MEAN,d5,Ideal,,0,13,0.3122530295369023
MAX_MEAN,d5,Ideal,,300,14,0.3122530295369023
MAX_INCREASE,d1,REPLAY,,,14,0.3821264782714922
MAX_INCREASE,d1,Delayed,0,0,10,0.08063216516006940
MAX_INCREASE,d1,Delayed,0,300,11,0.08084666092452324
MAX_INCREASE,d1,Delayed,300,0,9,0.04246264983703568
MAX_INCREASE,d1,Delayed,300,300,10,0.08063216516006940
MAX_INCREASE,d1,Delayed,900,0,7,0.04246264983703568
MAX_INCREASE,d1,Delayed,900,300,8,0.04246264983703568
MAX_INCREASE,d1,Delayed,1800,0,4,0.01204429571738843
MAX_INCREASE,d1,Delayed,1800,300,5,0.02564771827469166
MAX_INCREASE,d1,Ideal,,0,13,0.08084666092452324
MAX_INCREASE,d1,Ideal,,300,14,0.3821264782714922
MAX_INCREASE,d3,REPLAY,,,14,0.3274298543911712
MAX_INCREASE,d3,Delayed,0,0,10,0.07815758506202225
MAX_INCREASE,d3,Delayed,0,300,11,0.09953756538767752
MAX_INCREASE,d3,Delayed,300,0,9,0.05550079031096972
MAX_INCREASE,d3,Delayed,300,300,10,0.07815758506202225
MAX_INCREASE,d3,Delayed,900,0,7,0.05010118644932282
MAX_INCREASE,d3,Delayed,900,300,8,0.05550079031096972
MAX_INCREASE,d3,Delayed,1800,0,4,0.008930255995708556
MAX_INCREASE,d3,Delayed,1800,300,5,0.02052775845238937
MAX_INCREASE,d3,Ideal,,0,13,0.09953756538767752
MAX_INCREASE,d3,Ideal,,300,14,0.3274298543911712
MAX_INCREASE,d5,REPLAY,,,14,0.3122530295369023
MAX_INCREASE,d5,Delayed,0,0,10,0.08564960076486048
MAX_INCREASE,d5,Delayed,0,300,11,0.1310038767811010
MAX_INCREASE,d5,Delayed,300,0,9,0.04354051907534910
MAX_INCREASE,d5,Delayed,300,300,10,0.08564960076486048
MAX_INCREASE,d5,Delayed,900,0,7,0.04313393952502758
MAX_INCREASE,d5,Delayed,900,300,8,0.04354051907534910
MAX_INCREASE,d5,Delayed,1800,0,4,0.006053252968463699
MAX_INCREASE,d5,Delayed,1800,300,5,0.01239619997059631
MAX_INCREASE,d5,Ideal,,0,13,0.1310038767811010
MAX_INCREASE,d5,Ideal,,300,14,0.3122530295369023
MAX_DECREASE,d1,REPLAY,,,14,0.3821264782714922
MAX_DECREASE,d1,Delayed,0,0,12,0.3821264782714922
MAX_DECREASE,d1,Delayed,0,300,13,0.3821264782714922
MAX_DECREASE,d1,Delayed,300,0,11,0.3821264782714922
MAX_DECREASE,d1,Delayed,300,300,12,0.3821264782714922
MAX_DECREASE,d1,Delayed,900,0,9,0.3821264782714922
MAX_DECREASE,d1,Delayed,900,300,10,0.3821264782714922
MAX_DECREASE,d1,Delayed,1800,0,6,0.08063216516006940
MAX_DECREASE,d1,Delayed,1800,300,7,0.08084666092452324
MAX_DECREASE,d1,Ideal,,0,13,0.3821264782714922
MAX_DECREASE,d1,Ideal,,300,14,0.3821264782714922
MAX_DECREASE,d3,REPLAY,,,14,0.3274298543911712
MAX_DECREASE,d3,Delayed,0,0,12,0.3274298543911712
MAX_DECREASE,d3,Delayed,0,300,13,0.3274298543911712
MAX_DECREASE,d3,Delayed,300,0,11,0.3274298543911712
MAX_DECREASE,d3,Delayed,300,300,12,0.3274298543911712
MAX_DECREASE,d3,Delayed,900,0,9,0.3274298543911712
MAX_DECREASE,d3,Delayed,900,300,10,0.3274298543911712
MAX_DECREASE,d3,Delayed,1800,0,6,0.07815758506202225
MAX_DECREASE,d3,Delayed,1800,300,7,0.09953756538767752
MAX_DECREASE,d3,Ideal,,0,13,0.3274298543911712
MAX_DECREASE,d3,Ideal,,300,14,0.3274298543911712
MAX_DECREASE,d5,REPLAY,,,14,0.3122530295369023
MAX_DECREASE,d5,Delayed,0,0,12,0.3122530295369023
MAX_DECREASE,d5,Delayed,0,300,13,0.3122530295369023
MAX_DECREASE,d5,Delayed,300,0,11,0.3122530295369023
MAX_DECREASE,d5,Delayed,300,300,12,0.3122530295369023
MAX_DECREASE,d5,Delayed,900,0,9,0.3122530295369023
MAX_DECREASE,d5,Delayed,900,300,10,0.3122530295369023
MAX_DECREASE,d5,Delayed,1800,0,6,0.08564960076486048
MAX_DECREASE,d5,Delayed,1800,300,7,0.1310038767811010
MAX_DECREASE,d5,Ideal,,0,13,0.3122530295369023
MAX_DECREASE,d5,Ideal,,300,14,0.3122530295369023
MAX_FALLBACK,d1,REPLAY,,,14,0.0007352090070711212
MAX_FALLBACK,d1,Delayed,0,0,9,0.0005690338087430197
MAX_FALLBACK,d1,Delayed,0,300,9,0.0005690338087430197
MAX_FALLBACK,d1,Delayed,300,0,8,0.0005690338087430197
