shield_mm,sigma_model,energy_band_mev,mean_rate_s-1,median_rate_s-1,p99_rate_s-1,total_expected_flips,fraction_of_total_expected_flips
0.0,main_loglog,0-3,15.503653555649235,0.5681969207189015,70.9433718795998,78933751.34787697,0.9996187712480404
0.0,main_loglog,3-20,0.005594255775771824,3.998153026921743e-06,0.0282876788855033,28482.03443118709,0.00036069711339664325
0.0,main_loglog,>20,0.00031843680848108027,4.832457600048673e-06,0.0018040478222639282,1621.257323019724,2.053163856322221e-05
0.0,published_rpp_fluka_digitized,0-3,17.294144018558285,0.6398424633556329,79.20940654544493,88049675.4416858,0.9999352209209097
0.0,published_rpp_fluka_digitized,3-20,0.0009071707939730986,7.994807646042982e-07,0.004866430107474695,4618.6786633552365,5.2451976074159476e-05
0.0,published_rpp_fluka_digitized,>20,0.00021320050582616923,3.885149147184956e-06,0.001217853622951361,1085.4677353127754,1.232710301619845e-05
1.0,main_loglog,0-3,0.07295814464748701,9.59190140563674e-05,0.3422336955591135,371451.8018437505,0.9907051112177717
1.0,main_loglog,3-20,0.0004989420451796415,1.1845498853125745e-06,0.0024818007217954773,2540.2636346231084,0.0067751782443105915
1.0,main_loglog,>20,0.00018555814824580536,4.438764391018494e-06,0.0010640758282575878,944.7322001638686,0.002519710537918077
1.0,published_rpp_fluka_digitized,0-3,0.08036995571508433,0.00010552572171953288,0.3769399288928087,409187.555532209,0.9971041585506258
1.0,published_rpp_fluka_digitized,3-20,0.00010316309908242601,2.657127094080455e-07,0.0005223364003224274,525.2342863583557,0.0012798856760443753
1.0,published_rpp_fluka_digitized,>20,0.00013025148157922546,3.654798309489088e-06,0.0007616462674244338,663.1493681643104,0.0016159557733294889
2.0,main_loglog,0-3,0.01790678012311249,5.6049918425333653e-05,0.09156908322234679,91168.7896408026,0.9826103614644635
2.0,main_loglog,3-20,0.00019745243303598257,5.489769860654606e-07,0.0010683626699426786,1005.289572316098,0.0108349354414143
2.0,main_loglog,>20,0.0001194508339030691,4.281795479520246e-06,0.0007246996444087722,608.1600306506957,0.006554703094121921
2.0,published_rpp_fluka_digitized,0-3,0.019712417822275133,6.170687562036462e-05,0.10079661314922235,100361.83285854942,0.993397502246243
2.0,published_rpp_fluka_digitized,3-20,4.420879186174738e-05,1.1560054221276481e-07,0.00024033204528157973,225.08022200571443,0.002227880101199841
2.0,published_rpp_fluka_digitized,>20,8.680743688696344e-05,3.560870649887022e-06,0.0005278653513233093,441.962703422597,0.004374617652557194
3.0,main_loglog,0-3,0.009015424927063781,2.4453782313172662e-05,0.0488399011159523,45900.23293115984,0.9800046736089025
3.0,main_loglog,3-20,9.76794382482248e-05,2.0423158948086377e-07,0.0005612334918177572,497.31532395318703,0.01061805813627128
3.0,main_loglog,>20,8.62649538812919e-05,4.235058580018079e-06,0.000521856119861078,439.2007596958215,0.009377268254826031
3.0,published_rpp_fluka_digitized,0-3,0.00992488380646137,2.6925647905813805e-05,0.05376614799900948,50530.56092383679,0.9915732911860492
3.0,published_rpp_fluka_digitized,3-20,2.1916953401673136e-05,4.0701634906664714e-08,0.0001273383019026659,111.58578485393846,0.0021896745635571076
3.0,published_rpp_fluka_digitized,>20,6.242790198396068e-05,3.5258319040353614e-06,0.0003811685567077656,317.83917737093907,0.00623703425039356
5.0,main_loglog,0-3,0.00240237002476876,2.8888810514016325e-06,0.014424448696892729,12231.186507105189,0.9663623122045083
5.0,main_loglog,3-20,3.853079818839345e-05,5.834471034525126e-08,0.0002329173983953859,196.17185281656762,0.01549915743391995
5.0,main_loglog,>20,4.509226103260551e-05,4.158683547422001e-06,0.0002703417062616186,229.5782285953044,0.018138530361571696
5.0,published_rpp_fluka_digitized,0-3,0.0026439822069116692,3.179021199417e-06,0.015875071438161734,13461.306610049383,0.9845674595051882
5.0,published_rpp_fluka_digitized,3-20,9.542633268138023e-06,1.5201766985346318e-08,5.779505403805166e-05,48.58440875807112,0.0035534907039993656
5.0,published_rpp_fluka_digitized,>20,3.1900298937069004e-05,3.4597461698272532e-06,0.0001954730168285485,162.41399197829944,0.011879049790812519
7.0,main_loglog,0-3,0.0013823444155425973,2.613331587260617e-06,0.008432021969494418,7037.9301228520235,0.9692174871128765
7.0,main_loglog,3-20,2.1495696926495426e-05,5.024310252428908e-08,0.00013252624137403477,109.44104176186613,0.015071501085104123
7.0,main_loglog,>20,2.24077977500583e-05,4.085825768360533e-06,0.00013724526081776607,114.08482068487179,0.015711011802019195
7.0,published_rpp_fluka_digitized,0-3,0.0015213975667770646,2.875679916592692e-06,0.009280140686830052,7745.891431732067,0.9862017631425867
7.0,published_rpp_fluka_digitized,3-20,5.325425921453411e-06,1.3107046380496715e-08,3.290925055185785e-05,27.113340993895747,0.00345205260472996
7.0,published_rpp_fluka_digitized,>20,1.596089171175369e-05,3.3946986770106286e-06,0.00010012418977675297,81.26168797205158,0.010346184252683195
10.0,main_loglog,0-3,0.0005151464945878107,2.1708568076939232e-06,0.003239439023960002,2622.7653478949205,0.9706131200231463
10.0,main_loglog,3-20,6.729832263627753e-06,4.021043484717825e-08,4.3287168164967886e-05,34.263595003807986,0.012680011529261657
10.0,main_loglog,>20,8.867059942597383e-06,3.98649483585133e-06,5.2614898653838194e-05,45.14486228574604,0.016706868447591974
10.0,published_rpp_fluka_digitized,0-3,0.0005670276598549271,2.3885667397902267e-06,0.0035656570543442356,2886.907924619391,0.9846609311517215
10.0,published_rpp_fluka_digitized,3-20,1.5572739173751249e-06,1.0352916928182843e-08,1.0062247468900765e-05,7.928548695531975,0.002704253944037216
10.0,published_rpp_fluka_digitized,>20,7.275894981912564e-06,3.3159606425986196e-06,4.365354630345427e-05,37.043764121411435,0.012634814904241409
