timestamp_utc,algorithm_version,east_valid,west_valid,east_quality_flag,west_quality_flag,d0_lambda_E_s-1,d0_lambda_W_s-1,d0_lambda_central_s-1,d0_lambda_central_h-1,d0_m5_central_bits,d0_primary_central_s-1,d0_secondary_central_s-1,d1_lambda_E_s-1,d1_lambda_W_s-1,d1_lambda_central_s-1,d1_lambda_central_h-1,d1_m5_central_bits,d1_primary_central_s-1,d1_secondary_central_s-1,d2_lambda_E_s-1,d2_lambda_W_s-1,d2_lambda_central_s-1,d2_lambda_central_h-1,d2_m5_central_bits,d2_primary_central_s-1,d2_secondary_central_s-1,d3_lambda_E_s-1,d3_lambda_W_s-1,d3_lambda_central_s-1,d3_lambda_central_h-1,d3_m5_central_bits,d3_primary_central_s-1,d3_secondary_central_s-1,d5_lambda_E_s-1,d5_lambda_W_s-1,d5_lambda_central_s-1,d5_lambda_central_h-1,d5_m5_central_bits,d5_primary_central_s-1,d5_secondary_central_s-1,d7_lambda_E_s-1,d7_lambda_W_s-1,d7_lambda_central_s-1,d7_lambda_central_h-1,d7_m5_central_bits,d7_primary_central_s-1,d7_secondary_central_s-1,d10_lambda_E_s-1,d10_lambda_W_s-1,d10_lambda_central_s-1,d10_lambda_central_h-1,d10_m5_central_bits,d10_primary_central_s-1,d10_secondary_central_s-1,d0_measured_support_central_s-1,d0_low_gamma0_central_s-1,d0_low_gamma4_central_s-1
2026-01-01T00:00:00+00:00,3.2,1,1,0,0,2.1610964e-02,2.1664340e-03,1.1888699e-02,4.2799317e+01,3.5666097e+00,1.1888699e-02,0.0000000e+00,1.0446948e-04,5.2840364e-05,7.8654923e-05,2.8315772e-01,2.3596477e-02,7.8646199e-05,8.7246770e-09,4.9174031e-05,3.4045315e-05,4.1609673e-05,1.4979482e-01,1.2482902e-02,4.1598391e-05,1.1281831e-08,2.7284178e-05,2.0077330e-05,2.3680754e-05,8.5250714e-02,7.1042262e-03,2.3667641e-05,1.3112919e-08,1.1361225e-05,1.0114065e-05,1.0737645e-05,3.8655522e-02,3.2212935e-03,1.0729654e-05,7.9905504e-09,9.3992396e-06,9.4827452e-06,9.4409924e-06,3.3987573e-02,2.8322977e-03,9.4361382e-06,4.8542055e-09,7.6877335e-06,8.7152595e-06,8.2014965e-06,2.9525387e-02,2.4604490e-03,8.1978985e-06,3.5979813e-09,6.5441670e-03,1.0627096e-02,1.3793954e-02
2026-01-01T00:05:00+00:00,3.2,1,1,0,0,1.9447977e-02,1.2833374e-04,9.7881554e-03,3.5237360e+01,2.9364466e+00,9.7881554e-03,0.0000000e+00,6.5912750e-05,6.9482382e-05,6.7697566e-05,2.4371124e-01,2.0309270e-02,6.7687918e-05,9.6478324e-09,6.1687488e-05,3.3133062e-05,4.7410275e-05,1.7067699e-01,1.4223082e-02,4.7398982e-05,1.1292807e-08,3.1620111e-05,1.9170064e-05,2.5395087e-05,9.1422314e-02,7.6185262e-03,2.5382196e-05,1.2891135e-08,1.0088230e-05,8.4648823e-06,9.2765563e-06,3.3395603e-02,2.7829669e-03,9.2697077e-06,6.8486363e-09,7.7484833e-06,6.3469523e-06,7.0477178e-06,2.5371784e-02,2.1143153e-03,7.0451159e-06,2.6018765e-09,5.7823342e-06,4.5648982e-06,5.1736162e-06,1.8625018e-02,1.5520849e-03,5.1728525e-06,7.6364802e-10,5.4156358e-03,8.7560236e-03,1.1346867e-02
2026-01-01T00:10:00+00:00,3.2,1,1,0,0,2.3772132e-02,2.1651321e-03,1.2968632e-02,4.6687075e+01,3.8905896e+00,1.2968632e-02,0.0000000e+00,5.2129847e-05,3.9924951e-06,2.8061171e-05,1.0102022e-01,8.4183513e-03,2.8055745e-05,5.4257028e-09,3.1373277e-05,7.9316495e-06,1.9652463e-05,7.0748868e-02,5.8957390e-03,1.9645728e-05,6.7357383e-09,1.5010336e-05,1.2736533e-05,1.3873434e-05,4.9944363e-02,4.1620303e-03,1.3865937e-05,7.4970382e-09,4.3504654e-06,1.3218519e-05,8.7844922e-06,3.1624172e-02,2.6353477e-03,8.7789462e-06,5.5460252e-09,4.7288922e-06,9.3588887e-06,7.0438905e-06,2.5358006e-02,2.1131671e-03,7.0405201e-06,3.3703933e-09,4.9877615e-06,6.0488760e-06,5.5183188e-06,1.9865948e-02,1.6554956e-03,5.5164537e-06,1.8650668e-09,7.1385797e-03,1.1592414e-02,1.5046977e-02
2026-01-01T00:15:00+00:00,3.2,1,1,0,0,1.0807516e-02,6.4892705e-03,8.6483934e-03,3.1134216e+01,2.5945180e+00,8.6483934e-03,0.0000000e+00,5.3826957e-05,8.2288874e-05,6.8057916e-05,2.4500850e-01,2.0417375e-02,6.8048013e-05,9.9024875e-09,3.7421842e-05,5.8324408e-05,4.7873125e-05,1.7234325e-01,1.4361938e-02,4.7861207e-05,1.1918636e-08,2.6373988e-05,2.5592792e-05,2.5983390e-05,9.3540204e-02,7.7950170e-03,2.5969447e-05,1.3942579e-08,1.6416961e-05,4.4424056e-06,1.0429684e-05,3.7546861e-02,3.1289051e-03,1.0420721e-05,8.9622357e-09,1.2878836e-05,5.5550594e-06,9.2169475e-06,3.3181011e-02,2.7650843e-03,9.2114914e-06,5.4561970e-09,9.7198433e-06,6.3182800e-06,8.0190616e-06,2.8868622e-02,2.4057185e-03,8.0148388e-06,4.2228312e-09,4.7612423e-03,7.7308181e-03,1.0034103e-02
2026-01-01T00:20:00+00:00,3.2,1,1,0,0,1.7287983e-02,4.3286532e-03,1.0808318e-02,3.8909945e+01,3.2424954e+00,1.0808318e-02,0.0000000e+00,8.3158479e-05,1.1523696e-04,9.9197719e-05,3.5711179e-01,2.9759316e-02,9.9186629e-05,1.1090008e-08,6.1376701e-05,7.2112280e-05,6.6744491e-05,2.4028017e-01,2.0023347e-02,6.6731529e-05,1.2961240e-08,3.1307289e-05,3.1199441e-05,3.1253365e-05,1.1251211e-01,9.3760095e-03,3.1237774e-05,1.5591300e-08,9.9616249e-06,4.8088812e-06,7.3852531e-06,2.6586911e-02,2.2155759e-03,7.3775655e-06,7.6875701e-09,7.9997394e-06,6.2954696e-06,7.1476045e-06,2.5731376e-02,2.1442814e-03,7.1439682e-06,3.6362628e-09,6.2898045e-06,7.3168438e-06,6.8033242e-06,2.4491967e-02,2.0409972e-03,6.8000732e-06,3.2509841e-09,5.9495267e-03,9.6613982e-03,1.2540381e-02
2026-01-01T00:25:00+00:00,3.2,1,1,0,0,8.6446085e-03,5.6649918e-06,4.3251367e-03,1.5570492e+01,1.2975410e+00,4.3251367e-03,0.0000000e+00,3.7000138e-05,9.7175332e-05,6.7087735e-05,2.4151585e-01,2.0126321e-02,6.7078049e-05,9.6860313e-09,2.0022487e-05,7.3581424e-05,4.6801956e-05,1.6848704e-01,1.4040587e-02,4.6790510e-05,1.1445665e-08,1.4496313e-05,3.5070371e-05,2.4783342e-05,8.9220031e-02,7.4350026e-03,2.4770117e-05,1.3225454e-08,9.4249328e-06,8.4603292e-06,8.9426310e-06,3.2193471e-02,2.6827893e-03,8.9348358e-06,7.7951570e-09,7.4651800e-06,7.0837163e-06,7.2744482e-06,2.6188013e-02,2.1823345e-03,7.2704891e-06,3.9590435e-09,5.7545763e-06,5.8094525e-06,5.7820144e-06,2.0815252e-02,1.7346043e-03,5.7795506e-06,2.4638573e-09,2.3819719e-03,3.8664521e-03,5.0178360e-03
2026-01-01T00:30:00+00:00,3.2,1,1,0,0,1.9447058e-02,6.4889172e-03,1.2967988e-02,4.6684755e+01,3.8903963e+00,1.2967988e-02,0.0000000e+00,9.7691601e-05,9.7938213e-05,9.7814907e-05,3.5213367e-01,2.9344472e-02,9.7803019e-05,1.1888052e-08,7.2134520e-05,7.4345903e-05,7.3240212e-05,2.6366476e-01,2.1972063e-02,7.3226938e-05,1.3274066e-08,3.1235390e-05,3.5833396e-05,3.3534393e-05,1.2072382e-01,1.0060318e-02,3.3518474e-05,1.5919450e-08,4.2995567e-06,9.2224534e-06,6.7610050e-06,2.4339618e-02,2.0283015e-03,6.7537261e-06,7.2788965e-09,4.6768296e-06,7.8463317e-06,6.2615807e-06,2.2541690e-02,1.8784742e-03,6.2589687e-06,2.6119119e-09,4.9393193e-06,6.5730281e-06,5.7561737e-06,2.0722225e-02,1.7268521e-03,5.7540972e-06,2.0765290e-09,7.1377138e-03,1.1591729e-02,1.5046394e-02
2026-01-01T00:35:00+00:00,3.2,1,1,0,0,6.4863404e-03,4.4505396e-03,5.4684400e-03,1.9686384e+01,1.6405320e+00,5.4684400e-03,0.0000000e+00,5.3013104e-05,1.0243573e-04,7.7724416e-05,2.7980790e-01,2.3317325e-02,7.7713899e-05,1.0516451e-08,3.6609114e-05,4.6926187e-05,4.1767650e-05,1.5036354e-01,1.2530295e-02,4.1754378e-05,1.3272754e-08,2.5555806e-05,2.4781492e-05,2.5168649e-05,9.0607136e-02,7.5505946e-03,2.5153829e-05,1.4820099e-08,1.5032996e-05,8.6498994e-06,1.1841448e-05,4.2629212e-02,3.5524343e-03,1.1832791e-05,8.6571048e-09,1.0351632e-05,6.5321904e-06,8.4419112e-06,3.0390880e-02,2.5325734e-03,8.4379543e-06,3.9569786e-09,6.4082442e-06,4.7513751e-06,5.5798097e-06,2.0087315e-02,1.6739429e-03,5.5786753e-06,1.1343463e-09,3.0390075e-03,4.8949796e-03,6.3344721e-03
2026-01-01T00:40:00+00:00,3.2,1,1,0,0,4.3268977e-03,5.7711859e-06,2.1663344e-03,7.7988040e+00,6.4990033e-01,2.1663344e-03,0.0000000e+00,7.3043345e-05,8.2419425e-05,7.7731385e-05,2.7983299e-01,2.3319416e-02,7.7722686e-05,8.6993778e-09,2.0956584e-05,6.0425799e-05,4.0691191e-05,1.4648829e-01,1.2207357e-02,4.0680033e-05,1.1158724e-08,1.5430685e-05,3.0097231e-05,2.2763958e-05,8.1950250e-02,6.8291875e-03,2.2751101e-05,1.2857390e-08,1.0359019e-05,8.9094296e-06,9.6342243e-06,3.4683207e-02,2.8902673e-03,9.6268599e-06,7.3644374e-09,8.4004422e-06,7.5335479e-06,7.9669950e-06,2.8681182e-02,2.3900985e-03,7.9630387e-06,3.9563448e-09,6.6912214e-06,6.2594922e-06,6.4753568e-06,2.3311285e-02,1.9426070e-03,6.4729019e-06,2.4549641e-09,1.1945291e-03,1.9369671e-03,2.5127219e-03
2026-01-01T00:45:00+00:00,3.2,1,1,0,0,8.6452746e-03,4.4512891e-03,6.5482818e-03,2.3573815e+01,1.9644846e+00,6.5482818e-03,0.0000000e+00,2.0076929e-05,1.2766315e-04,7.3870041e-05,2.6593215e-01,2.2161012e-02,7.3860018e-05,1.0022913e-08,2.0651184e-05,9.8898106e-05,5.9774645e-05,2.1518872e-01,1.7932394e-02,5.9763566e-05,1.1078905e-08,1.5124524e-05,4.1624419e-05,2.8374471e-05,1.0214810e-01,8.5123414e-03,2.8361260e-05,1.3211332e-08,1.0243272e-05,3.8267202e-06,7.0349962e-06,2.5325986e-02,2.1104989e-03,7.0283580e-06,6.6382744e-09,8.6634632e-06,4.1926086e-06,6.4280359e-06,2.3140929e-02,1.9284108e-03,6.4252893e-06,2.7466118e-09,7.2117989e-06,4.4466453e-06,5.8292221e-06,2.0985200e-02,1.7487666e-03,5.8271013e-06,2.1208438e-09,3.6331062e-03,5.8601524e-03,7.5874855e-03
