comparator,point_id,energy_mev,sigma_cm2_per_bit,x_pixel_crop,y_pixel_crop,pixel_center_uncertainty_px,energy_digitization_rel_error,sigma_digitization_rel_error,source_model_relative_uncertainty,source_doi,source_figure,source_pdf_page,source_printed_page,curve_semantics
published_rpp_fluka_digitized,curve_01,0.804918275,7.378374012e-10,326.4,76.7,3.0,0.0162323,0.0624434,0.35,10.1109/TNS.2021.3061209,Fig. 3,3,939,FLUKA/nested-RPP simulated proton cross section; not experimental
published_rpp_fluka_digitized,curve_02,0.901437971,1.264976068e-09,347.5,50.0,5.0,0.0272,0.106224,0.35,10.1109/TNS.2021.3061209,Fig. 3,3,939,FLUKA/nested-RPP simulated proton cross section; not experimental
published_rpp_fluka_digitized,curve_03,0.974395614,1.143508257e-09,362.0,55.0,5.0,0.0272,0.106224,0.35,10.1109/TNS.2021.3061209,Fig. 3,3,939,FLUKA/nested-RPP simulated proton cross section; not experimental
published_rpp_fluka_digitized,curve_04,1.0988785,7.289529628e-10,384.4,77.3,3.0,0.0162323,0.0624434,0.35,10.1109/TNS.2021.3061209,Fig. 3,3,939,FLUKA/nested-RPP simulated proton cross section; not experimental
published_rpp_fluka_digitized,curve_05,1.5050335,2.824585756e-11,443.0,238.3,3.0,0.0162323,0.0624434,0.35,10.1109/TNS.2021.3061209,Fig. 3,3,939,FLUKA/nested-RPP simulated proton cross section; not experimental
published_rpp_fluka_digitized,curve_06,2.0088794,1.965619489e-12,496.8,370.3,3.0,0.0162323,0.0624434,0.35,10.1109/TNS.2021.3061209,Fig. 3,3,939,FLUKA/nested-RPP simulated proton cross section; not experimental
published_rpp_fluka_digitized,curve_07,2.49665934,4.094295288e-13,537.3,448.0,3.0,0.0162323,0.0624434,0.35,10.1109/TNS.2021.3061209,Fig. 3,3,939,FLUKA/nested-RPP simulated proton cross section; not experimental
published_rpp_fluka_digitized,curve_08,2.99006635,1.329744164e-13,570.9,503.7,3.0,0.0162323,0.0624434,0.35,10.1109/TNS.2021.3061209,Fig. 3,3,939,FLUKA/nested-RPP simulated proton cross section; not experimental
published_rpp_fluka_digitized,curve_09,4.00393596,1.695785056e-14,625.3,605.7,3.0,0.0162323,0.0624434,0.35,10.1109/TNS.2021.3061209,Fig. 3,3,939,FLUKA/nested-RPP simulated proton cross section; not experimental
published_rpp_fluka_digitized,curve_10,4.97881106,5.452245901e-15,665.9,661.9,3.0,0.0162323,0.0624434,0.35,10.1109/TNS.2021.3061209,Fig. 3,3,939,FLUKA/nested-RPP simulated proton cross section; not experimental
published_rpp_fluka_digitized,curve_11,39.8676386,1.000301271e-13,1053.5,517.8,3.0,0.0162323,0.0624434,0.35,10.1109/TNS.2021.3061209,Fig. 3,3,939,FLUKA/nested-RPP simulated proton cross section; not experimental
published_rpp_fluka_digitized,curve_12,79.6744857,9.115809830e-14,1182.5,522.4,3.0,0.0162323,0.0624434,0.35,10.1109/TNS.2021.3061209,Fig. 3,3,939,FLUKA/nested-RPP simulated proton cross section; not experimental
published_rpp_fluka_digitized,curve_13,185.048672,6.467389864e-14,1339.5,539.4,3.0,0.0162323,0.0624434,0.35,10.1109/TNS.2021.3061209,Fig. 3,3,939,FLUKA/nested-RPP simulated proton cross section; not experimental
