dwell,policy,epsilon,trials,failures,F_estimate,F_CI95_low,F_CI95_high,F_family95_upper,complete_passes_stop_mean,passes_given_survival,passes_given_survival_CI95_low,passes_given_survival_CI95_high,busy_seconds_stop_mean,busy_seconds_given_survival,reads_stop_mean,writes_stop_mean,updates_given_survival,guarantee
30,proposed,0.1,20000,1563,0.07815,0.07446664723455516,0.0819565252287104,0.08343555986620001,1987.73675,2053.8936920323263,2052.2839639038425,2055.50342016081,375.17351871727016,387.659453762968,4168594652.41435,4168594652.40815,2053.8936920323263,analytic_plus_controlled_error
30,count_disabled,0.1,20000,1604,0.0802,0.07647206975103922,0.084050491498342,0.08554628520874775,2846.4084,2929.0,2929.0,2929.0,537.2422497945364,552.8302387199999,5969358331.05065,5969358331.0447,2929.0,analytic_plus_controlled_error
30,Fixed,0.1,20000,1181,0.05905,0.055822454975297114,0.06240645089949448,0.06371381584683801,3492.371,3600.0,3600.0,3600.0,659.1637040331344,679.477248,7324041155.92395,7324041155.91795,0.0,deterministic_bracket
30,Precomputed,0.1,20000,1750,0.0875,0.08361906650963644,0.09150132296502773,0.09305459483351775,2540.2878,2700.0,2700.0,2700.0,479.4639979111853,509.60793599999994,5327377754.5689,5327377754.56335,0.0,deterministic_bracket
30,PA_DOM_adaptation,0.1,20000,1696,0.0848,0.08097465076694521,0.08874654115973314,0.09027893991657407,2821.43545,2948.703562062937,2945.762155477237,2951.6449686486376,532.5355620319853,556.5564679536362,5917061800.3637,5917061800.2833,2948.619536713287,heldout_binomial_only
300,proposed,0.1,20000,1589,0.07945,0.07573829291009557,0.0832844918807444,0.08477418708875434,1767.07055,1823.70170007061,1817.5448224005702,1829.85857774065,333.5241992883653,344.2121700935832,3705824436.53715,3705824436.5322,1823.70170007061,analytic_plus_controlled_error
300,count_disabled,0.1,20000,1606,0.0803,0.07656991404053823,0.08415261740957101,0.08564922142360461,2859.6237,2945.0,2945.0,2945.0,539.7367052425873,555.8501376,5997074502.6952,5997074502.6902,2945.0,analytic_plus_controlled_error
300,Fixed,0.1,20000,1201,0.06005,0.05679651552686177,0.06343208796865801,0.06474923662877209,3488.57245,3600.0,3600.0,3600.0,658.4468288395572,679.477248,7316075875.99485,7316075875.98985,0.0,deterministic_bracket
300,Precomputed,0.1,20000,1769,0.08845,0.08454977781811011,0.09247032952026402,0.09403084253091198,2537.4705,2700.0,2700.0,2700.0,478.93233015282846,509.60793599999994,5321470335.03115,5321470335.02625,0.0,deterministic_bracket
300,PA_DOM_adaptation,0.1,20000,1743,0.08715,0.08327620770162385,0.0911442857446692,0.09269487646027497,2362.48425,2472.757462890946,2465.9911856106196,2479.5237401712725,445.91058918413705,466.72365747657113,4954562102.05335,4954562101.9826,2472.688886454511,heldout_binomial_only
3000,proposed,0.1,20000,1624,0.0812,0.0774505899863063,0.0850716733354166,0.08657554041335978,1618.155,1640.041303874619,1623.3549253233741,1656.7276824258638,305.4173196400337,309.5474310452939,3393525773.7779,3393525773.772,1640.041303874619,analytic_plus_controlled_error
3000,count_disabled,0.1,20000,1600,0.08,0.07627638636325074,0.08384623448906543,0.085340405600815,2865.1916,2949.0,2949.0,2949.0,540.7875856308566,556.60511232,6008750951.4537,6008750951.448,2949.0,analytic_plus_controlled_error
3000,Fixed,0.1,20000,1197,0.05985,0.056601682548811164,0.06322698139826674,0.06454218131665164,3490.27315,3600.0,3600.0,3600.0,658.7678288410182,679.477248,7319642542.6778,7319642542.6717,0.0,deterministic_bracket
3000,Precomputed,0.1,20000,1724,0.0862,0.08234568658895423,0.09017508914001335,0.0917183657431604,2543.23255,2700.0,2700.0,2700.0,480.0198603599733,509.6079359999998,5333554003.99925,5333554003.9938,0.0,deterministic_bracket
3000,PA_DOM_adaptation,0.1,20000,1497,0.07485,0.0712400001329543,0.07858415763093468,0.08003560279553908,2370.14595,2437.488839647625,2419.931930558977,2455.045748736273,447.3564413023318,460.06669510762134,4970627125.5881,4970627125.5197,2437.4202561746743,heldout_binomial_only
