dwell,comparator,joint_survivors,passes_saved_mean,passes_saved_CLT95_low,passes_saved_CLT95_high,proposed_minus_comparator_F,risk_difference_CLT95_low,risk_difference_CLT95_high
30,count_disabled,18095,875.2191213042277,873.5932975669017,876.8449450415536,-0.00205,-0.0045349292801760725,0.00043492928017607214
30,Fixed,18437,1546.1063079676737,1544.4965798391902,1547.7160360961573,0.0191,0.017202940370741646,0.020997059629258352
30,Precomputed,17899,646.5642773339292,644.9326245329544,648.1959301349041,-0.00935,-0.012269176247796335,-0.006430823752203666
30,PA_DOM_adaptation,17711,894.7018801874541,892.3314556037667,897.0723047711415,-0.00665,-0.010208063340208637,-0.003091936659791362
300,count_disabled,18074,1123.6985725351333,1117.4825807186937,1129.9145643515728,-0.00085,-0.0033619722774019863,0.0016619722774019862
300,Fixed,18411,1776.29829992939,1770.14142225935,1782.4551775994298,0.0194,0.017488392434788416,0.021311607565211586
300,Precomputed,17867,880.5924329769967,874.3437374559815,886.841128498012,-0.009,-0.011950476026921633,-0.0060495239730783655
300,PA_DOM_adaptation,17623,649.9962548941724,644.9970976220566,654.9954121662881,-0.0077,-0.011394073887443821,-0.00400592611255618
3000,count_disabled,18110,1319.8622308117062,1303.0455251911515,1336.678936432261,0.0012,-0.0011108038418523923,0.0035108038418523923
3000,Fixed,18376,1959.958696125381,1943.2723175741362,1976.6450746766259,0.02135,0.019346614292774705,0.023353385707225296
3000,Precomputed,17869,1084.656891823829,1067.7482715013418,1101.5655121463162,-0.005,-0.007962041978877786,-0.0020379580211222145
3000,PA_DOM_adaptation,17801,799.0512330767934,791.9232234458112,806.1792427077756,0.00635,0.0028489750482200713,0.009851024951779929
