dwell,source_row_zero_based,time_start,period,time_end,own_correction_count,posterior_high_probability,posterior_pending_mean,slack_after,expected_value_increment,interval_pair_reward,potential_before,next_period
30,0,0.0,1.0,1.0,3.0,0.9600018371558935,0.556045684896154,0.02316497513112553,2.7755575615628914e-17,1.7692950193962235e-05,0.09878831429762686,1.0
30,1,1.0,1.0,2.0,5.0,0.9774527304926881,0.5661599152847667,0.023164975131125504,2.7755575615628914e-17,3.999033835069985e-05,0.0990649630869562,1.0
30,2,2.0,1.0,3.0,4.0,0.9668856909955386,0.5600378839644169,0.02316497513112549,1.3877787807814457e-17,4.0710516063434656e-05,0.09905512203032771,1.0
30,11,11.0,1.0,12.0,3.0,0.944207898574931,0.5468857233302645,0.023164975131125254,2.7755575615628914e-17,4.094404108546375e-05,0.0988696763742427,1.0
30,12,12.0,1.0,13.0,0.0,0.042242871765113786,0.02337174516071805,0.02316497513112524,1.3877787807814457e-17,3.9338601024660306e-05,0.09882377559782994,2.0
30,13,13.0,2.0,15.0,0.0,0.008247884685385933,0.003638987504715719,0.023161214512021966,3.7606191032740766e-06,9.213746254336008e-06,0.0982256277685825,2.0
30,21,29.0,2.0,31.0,0.0,0.008247716341595603,0.003638889787743223,0.0231494071315389,1.475921146146253e-06,4.213781138066229e-06,0.09785366474513027,2.0
30,22,31.0,2.0,33.0,13.0,0.9845604138597682,0.5702558953792983,0.02314793121039277,1.4759211461323751e-06,4.213781138066229e-06,0.09781017401641741,1.0
30,23,33.0,1.0,34.0,7.0,0.9864905536705494,0.5713830813248907,0.023147931210392755,1.3877787807814457e-17,4.100382309493604e-05,0.09839139658495409,1.0
30,34,44.0,1.0,45.0,7.0,0.9864906137679803,0.5713831158167116,0.023147931210392547,0.0,4.094406123124777e-05,0.09815938844103919,1.0
30,35,45.0,1.0,46.0,0.0,0.12844296165487032,0.07340751895674677,0.023147931210392547,0.0,4.10834784992772e-05,0.0981405428197782,2.0
30,36,46.0,2.0,48.0,10.0,0.96540547059836,0.5591627998452782,0.02313837737849686,9.553831895686704e-06,2.1891948106883907e-05,0.09757049638561649,1.0
30,37,48.0,1.0,49.0,8.0,0.9886793772687451,0.5726425123007577,0.023138377378496847,1.3877787807814457e-17,4.0213359051507895e-05,0.09805447501222028,1.0
30,2025,3591.0,5.0,3596.0,21.0,0.7570981700313555,0.43825983541841623,0.0005886295083003124,0.0006332805988861791,0.0008269739498415171,0.0015520882875682104,300.0
300,0,0.0,1.0,1.0,3.0,0.995757220525633,0.575690649646399,0.023324804475853014,1.3877787807814457e-17,1.78685970266027e-05,0.09978039589068881,1.0
300,1,1.0,1.0,2.0,5.0,0.9976970921504567,0.576810682925919,0.023324804475853014,0.0,4.2259060919500086e-05,0.10292611885792237,1.0
300,2,2.0,1.0,3.0,4.0,0.9965839413127368,0.5761681971344047,0.023324804475853028,-1.3877787807814457e-17,4.234131645997649e-05,0.10291725922658178,1.0
