lane,chip,DQ,hamming_position_1based,role,native_address
0,A,0,3,data,logical_word_address_0_to_1048575
1,A,1,5,data,logical_word_address_0_to_1048575
2,A,2,6,data,logical_word_address_0_to_1048575
3,A,3,7,data,logical_word_address_0_to_1048575
4,A,4,9,data,logical_word_address_0_to_1048575
5,A,5,10,data,logical_word_address_0_to_1048575
6,A,6,11,data,logical_word_address_0_to_1048575
7,A,7,12,data,logical_word_address_0_to_1048575
8,A,8,13,data,logical_word_address_0_to_1048575
9,A,9,14,data,logical_word_address_0_to_1048575
10,A,10,15,data,logical_word_address_0_to_1048575
11,A,11,17,data,logical_word_address_0_to_1048575
12,A,12,18,data,logical_word_address_0_to_1048575
13,A,13,19,data,logical_word_address_0_to_1048575
14,A,14,20,data,logical_word_address_0_to_1048575
15,A,15,21,data,logical_word_address_0_to_1048575
16,B,0,22,data,logical_word_address_0_to_1048575
17,B,1,23,data,logical_word_address_0_to_1048575
18,B,2,24,data,logical_word_address_0_to_1048575
19,B,3,25,data,logical_word_address_0_to_1048575
20,B,4,26,data,logical_word_address_0_to_1048575
21,B,5,27,data,logical_word_address_0_to_1048575
22,B,6,28,data,logical_word_address_0_to_1048575
23,B,7,29,data,logical_word_address_0_to_1048575
24,B,8,30,data,logical_word_address_0_to_1048575
25,B,9,31,data,logical_word_address_0_to_1048575
26,B,10,33,data,logical_word_address_0_to_1048575
27,B,11,34,data,logical_word_address_0_to_1048575
28,B,12,35,data,logical_word_address_0_to_1048575
29,B,13,36,data,logical_word_address_0_to_1048575
30,B,14,37,data,logical_word_address_0_to_1048575
31,B,15,38,data,logical_word_address_0_to_1048575
32,C,0,1,hamming_parity,logical_word_address_0_to_1048575
33,C,1,2,hamming_parity,logical_word_address_0_to_1048575
34,C,2,4,hamming_parity,logical_word_address_0_to_1048575
35,C,3,8,hamming_parity,logical_word_address_0_to_1048575
36,C,4,16,hamming_parity,logical_word_address_0_to_1048575
37,C,5,32,hamming_parity,logical_word_address_0_to_1048575
38,C,6,39,overall_parity,logical_word_address_0_to_1048575
