energy_MeV,sigma_cm2_per_bit,provenance,statistic
0.6,3.97e-11,REDW2020_Fig6_new_digitization,bit_flips_per_fluence_per_addressable_bit
0.7,1.32e-10,REDW2020_Fig6_new_digitization,bit_flips_per_fluence_per_addressable_bit
0.8,1.04e-09,REDW2020_Fig6_new_digitization,bit_flips_per_fluence_per_addressable_bit
0.9,9.41e-10,RE-CY62167-PROTON-01_retained,bit_flips_per_fluence_per_addressable_bit
1.0,1.27e-09,RE-CY62167-PROTON-01_retained,bit_flips_per_fluence_per_addressable_bit
1.1,4.02e-10,RE-CY62167-PROTON-01_retained,bit_flips_per_fluence_per_addressable_bit
1.5,5.58e-11,RE-CY62167-PROTON-01_retained,bit_flips_per_fluence_per_addressable_bit
2.0,4.74e-12,REDW2020_Fig6_new_digitization,bit_flips_per_fluence_per_addressable_bit
2.5,1.61e-12,RE-CY62167-PROTON-01_retained,bit_flips_per_fluence_per_addressable_bit
3.0,6.13e-13,RE-CY62167-PROTON-01_retained,bit_flips_per_fluence_per_addressable_bit
4.0,1.49e-13,RE-CY62167-PROTON-01_retained,bit_flips_per_fluence_per_addressable_bit
5.0,6.82e-14,RE-CY62167-PROTON-01_retained,bit_flips_per_fluence_per_addressable_bit
40.0,1e-13,RE-CY62167-PROTON-01_retained,bit_flips_per_fluence_per_addressable_bit
80.0,9e-14,RE-CY62167-PROTON-01_retained,bit_flips_per_fluence_per_addressable_bit
124.0,8e-14,RE-CY62167-PROTON-01_retained,bit_flips_per_fluence_per_addressable_bit
164.0,7.8e-14,RE-CY62167-PROTON-01_retained,bit_flips_per_fluence_per_addressable_bit
186.0,8.2e-14,RE-CY62167-PROTON-01_retained,bit_flips_per_fluence_per_addressable_bit
