energy_MeV,sigma_cm2_per_bit,source,status,upstream_git_blob
0.9,9.41000000e-10,REDW2020 Fig.6,EXPERIMENTAL_MARKER_DIGITIZATION,624c3e50526a6c9dbf5d534e6d600c56802df036
1,1.27000000e-09,REDW2020 Fig.6,EXPERIMENTAL_MARKER_DIGITIZATION,624c3e50526a6c9dbf5d534e6d600c56802df036
1.1,4.02000000e-10,REDW2020 Fig.6,EXPERIMENTAL_MARKER_DIGITIZATION,624c3e50526a6c9dbf5d534e6d600c56802df036
1.5,5.58000000e-11,REDW2020 Fig.6,EXPERIMENTAL_MARKER_DIGITIZATION,624c3e50526a6c9dbf5d534e6d600c56802df036
2.5,1.61000000e-12,REDW2020 Fig.6,EXPERIMENTAL_MARKER_DIGITIZATION,624c3e50526a6c9dbf5d534e6d600c56802df036
3,6.13000000e-13,REDW2020 Fig.6,EXPERIMENTAL_MARKER_DIGITIZATION,624c3e50526a6c9dbf5d534e6d600c56802df036
4,1.49000000e-13,REDW2020 Fig.6,EXPERIMENTAL_MARKER_DIGITIZATION,624c3e50526a6c9dbf5d534e6d600c56802df036
5,6.82000000e-14,REDW2020 Fig.6,EXPERIMENTAL_MARKER_DIGITIZATION,624c3e50526a6c9dbf5d534e6d600c56802df036
29,,unresolved raw-file alignment,MISSING_NOT_ZERO,624c3e50526a6c9dbf5d534e6d600c56802df036
40,1.00000000e-13,PDI2021 Fig.3,EXPERIMENTAL_MARKER_DIGITIZATION,624c3e50526a6c9dbf5d534e6d600c56802df036
80,9.00000000e-14,PDI2021 Fig.3,EXPERIMENTAL_MARKER_DIGITIZATION,624c3e50526a6c9dbf5d534e6d600c56802df036
124,8.00000000e-14,PDI2021 Fig.3,EXPERIMENTAL_MARKER_DIGITIZATION,624c3e50526a6c9dbf5d534e6d600c56802df036
164,7.80000000e-14,PDI2021 Fig.3,EXPERIMENTAL_MARKER_DIGITIZATION,624c3e50526a6c9dbf5d534e6d600c56802df036
186,8.20000000e-14,PDI2021 Fig.3,EXPERIMENTAL_MARKER_DIGITIZATION,624c3e50526a6c9dbf5d534e6d600c56802df036
184,7.73000000e-14,10.1109/TNS.2021.3064666,SEPARATE_EXACT_ANCHOR_NOT_RAW_186_NOT_MAIN_INTERPOLATION,624c3e50526a6c9dbf5d534e6d600c56802df036
