energy_MeV,K,registered_count,registered_total,recorded_bit_total,conditional_probability,scope
0.9,1,7403,7455,7507,0.9930248155600269,"registered clusters, not fluence-normalized physical event population"
0.9,2,52,7455,7507,0.006975184439973172,"registered clusters, not fluence-normalized physical event population"
1,1,4670,4690,4710,0.9957356076759062,"registered clusters, not fluence-normalized physical event population"
1,2,20,4690,4710,0.004264392324093817,"registered clusters, not fluence-normalized physical event population"
1.1,1,13934,14012,14090,0.9944333428489865,"registered clusters, not fluence-normalized physical event population"
1.1,2,78,14012,14090,0.005566657151013417,"registered clusters, not fluence-normalized physical event population"
1.5,1,3204,3214,3224,0.9968886123210952,"registered clusters, not fluence-normalized physical event population"
1.5,2,10,3214,3224,0.003111387678904792,"registered clusters, not fluence-normalized physical event population"
2.5,1,28564,28782,29008,0.9924258216941144,"registered clusters, not fluence-normalized physical event population"
2.5,2,212,28782,29008,0.007365714682787854,"registered clusters, not fluence-normalized physical event population"
2.5,3,4,28782,29008,0.0001389757487318463,"registered clusters, not fluence-normalized physical event population"
2.5,4,2,28782,29008,6.948787436592315e-05,"registered clusters, not fluence-normalized physical event population"
3,1,24383,24703,25040,0.9870461077601911,"registered clusters, not fluence-normalized physical event population"
3,2,309,24703,25040,0.0125086021940655,"registered clusters, not fluence-normalized physical event population"
3,3,9,24703,25040,0.0003643282192446262,"registered clusters, not fluence-normalized physical event population"
3,4,1,24703,25040,4.04809132494029e-05,"registered clusters, not fluence-normalized physical event population"
3,8,1,24703,25040,4.04809132494029e-05,"registered clusters, not fluence-normalized physical event population"
4,1,4269,4336,4406,0.9845479704797048,"registered clusters, not fluence-normalized physical event population"
4,2,64,4336,4406,0.01476014760147601,"registered clusters, not fluence-normalized physical event population"
4,3,3,4336,4406,0.0006918819188191881,"registered clusters, not fluence-normalized physical event population"
5,1,1936,1994,2053,0.970912738214644,"registered clusters, not fluence-normalized physical event population"
5,2,57,1994,2053,0.02858575727181544,"registered clusters, not fluence-normalized physical event population"
