case,comparator,both_survive,only_comparator_fails,only_proposed_fails,both_fail,risk_difference,risk_difference_low,risk_difference_high,J,proposed_reservation_J,other_reservation_J,reservation_difference,reservation_difference_low,reservation_difference_high,G,G_low,G_high,saving_s_per_proposed_update,saving_lower_s_per_proposed_update,meaningful_effect,resource_precision_sufficient
xor_groups,Count-disabled,17832,512,539,1117,0.00135,-0.00662430217679829,0.009323058451501175,17832,89.24207060813563,116.44436479997327,-27.202294191837616,-27.49517482860993,-26.909413555065303,0.23360764806923384,0.23109245004075543,0.23612284609771225,0.01598106848043628,0.01580900411410586,established,True
xor_groups,Fixed,18344,0,692,964,0.0346,0.02982951363189492,0.03935088870797397,18344,89.30660743198098,188.74367999994587,-99.4370725679649,-99.72576158826504,-99.14838354766476,0.5268365678151099,0.5253070383479498,0.52836609728227,0.05837604338761024,0.05820656411454486,established,True
xor_groups,Precomputed,18044,300,549,1107,0.01245,0.005334154677377325,0.01955399933196999,18044,89.26934447525315,141.55775999995177,-52.28841552469864,-52.579374211451466,-51.99745683794582,0.36937865875185105,0.3673232526282099,0.3714340648754922,0.030709521795809516,0.030538638780081197,established,True
xor_groups,PA-DOM,17902,442,782,874,0.017,0.008499908905674654,0.02548461815388934,17902,89.2567489765765,139.6751201872909,-50.41837121071439,-50.705245645372116,-50.131496776056665,0.36096887651221066,0.3602631303091805,0.3616746227152408,0.02961540422254374,0.029446896154165344,established,True
singleton_ablation,Count-disabled,17806,514,531,1149,0.00085,-0.007102475664093763,0.008801692099665841,17806,89.72007219496096,116.44436479997327,-26.724292605012305,-27.019698642518723,-26.428886567505888,0.22950266980217526,0.226965784157139,0.23203955544721153,0.015616601256010818,0.015443977854353756,established,True
singleton_ablation,Fixed,17599,721,517,1163,-0.0102,-0.018793039019974048,-0.001597704858987456,17599,89.68632470696522,94.37183999997275,-4.685515293007518,-4.982718446654617,-4.38831213936042,0.049649506600791926,0.04650022866314459,0.05279878453843926,0.0027390568740172008,0.002565317959496627,below_10_percent,True
singleton_ablation,Precomputed,17599,721,517,1163,-0.0102,-0.018793039019974048,-0.001597704858987456,17599,89.68632470696522,94.37183999997275,-4.685515293007518,-4.982718446654617,-4.38831213936042,0.049649506600791926,0.04650022866314459,0.05279878453843926,0.0027390568740172008,0.002565317959496627,below_10_percent,True
singleton_ablation,PA-DOM,17905,415,802,878,0.01935,0.010900772682602231,0.02778158832981865,17905,89.78194086565043,150.0330173683346,-60.25107650268417,-60.5829616699992,-59.91919133536914,0.4015854480535199,0.40091002465180586,0.402260871455234,0.03518404268481842,0.034990235991708966,established,True
native_word_merged,Count-disabled,3710,107,114,16069,0.00035,-0.0033824813404701465,0.0040819571454603475,3710,86.62170455630589,116.44436479997329,-29.82266024366739,-30.473953493180733,-29.171366994154045,0.25611080703558653,0.25051763599092386,0.2617039780802492,0.018050513983667072,0.017656311125446036,established,True
native_word_merged,Fixed,3812,5,247,15936,0.0121,0.008874559211440387,0.015296381516489098,3812,86.63036733512375,471.85919999976176,-385.2288326646381,-385.8699697398355,-384.5876955894407,0.816406319225804,0.8150475726437777,0.8177650658078303,0.23314094171931754,0.2327529248088263,established,True
native_word_merged,Precomputed,3812,5,247,15936,0.0121,0.008874559211440387,0.015296381516489098,3812,86.63036733512375,471.85919999976176,-385.2288326646381,-385.8699697398355,-384.5876955894407,0.816406319225804,0.8150475726437777,0.8177650658078303,0.23314094171931754,0.2327529248088263,established,True
native_word_merged,PA-DOM,3813,4,244,15939,0.012,0.008828138723605732,0.015142257189841465,3813,86.62853386537944,463.71021481182504,-377.08168094644566,-377.9550793084731,-376.2082825844182,0.8131838999912185,0.8118218319370722,0.8145459680453648,0.22821510594558808,0.22768651304438295,established,True
