case,candidate,kind,first_period,second_period,Ms,cap,growth,zero_mode,N,failures,F,upper95,survivors,survivor_reservation_s
xor_groups,0,2,0.2,0.2,0.0,0.0,0.0,0.0,2000,46,0.023,0.029313374622674755,1954,471.8591999997618
xor_groups,1,2,0.5,0.5,0.0,0.0,0.0,0.0,2000,107,0.0535,0.06252584248880375,1893,188.74367999994587
xor_groups,2,2,1,1,0.0,0.0,0.0,0.0,2000,186,0.093,0.10437980905092528,1814,94.37183999997274
xor_groups,3,2,2,2,0.0,0.0,0.0,0.0,2000,340,0.17,0.184422352451521,1660,47.18591999998632
xor_groups,4,2,5,5,0.0,0.0,0.0,0.0,2000,766,0.383,0.4012483252848828,1234,18.87436799999449
xor_groups,5,2,10,10,0.0,0.0,0.0,0.0,2000,1198,0.599,0.6171599421132412,802,9.43718399999722
xor_groups,6,2,20,20,0.0,0.0,0.0,0.0,2000,1661,0.8305,0.8441847521566878,339,4.718591999998592
xor_groups,7,2,30,30,0.0,0.0,0.0,0.0,2000,1828,0.914,0.924107034583031,172,3.1457279999990746
xor_groups,8,2,60,60,0.0,0.0,0.0,0.0,2000,1973,0.9865,0.9904543294819941,27,1.572863999999511
xor_groups,9,2,100,100,0.0,0.0,0.0,0.0,2000,1994,0.997,0.9986927120394709,6,0.9437183999997281
xor_groups,10,2,150,150,0.0,0.0,0.0,0.0,2000,1999,0.9995,0.9999743536816786,1,0.629145599999837
xor_groups,11,2,300,300,0.0,0.0,0.0,0.0,2000,2000,1.0,1.0,0,nan
xor_groups,12,3,0.2,0.2,0.0,0.0,0.0,0.0,2000,46,0.023,0.029313374622674755,1954,471.8591999997618
xor_groups,13,3,0.2,0.5,0.0,0.0,0.0,0.0,2000,75,0.0375,0.045260929690788806,1925,330.30143999984284
xor_groups,14,3,0.2,1,0.0,0.0,0.0,0.0,2000,111,0.0555,0.06466740513019295,1889,283.1155199998743
xor_groups,15,3,0.2,2,0.0,0.0,0.0,0.0,2000,193,0.0965,0.10805362671499132,1807,259.5225599998899
xor_groups,16,3,0.2,5,0.0,0.0,0.0,0.0,2000,445,0.2225,0.23834462158656908,1555,245.3667839998938
xor_groups,17,3,0.2,10,0.0,0.0,0.0,0.0,2000,726,0.363,0.38107705985612417,1274,240.64819199989432
xor_groups,18,3,0.2,20,0.0,0.0,0.0,0.0,2000,1157,0.5785,0.5968181162830519,843,238.28889599989455
xor_groups,19,3,0.2,30,0.0,0.0,0.0,0.0,2000,1403,0.7015,0.7183541249358196,597,237.5024639998947
xor_groups,20,3,0.2,60,0.0,0.0,0.0,0.0,2000,1740,0.87,0.8822119874084958,260,236.7160319998948
xor_groups,21,3,0.2,100,0.0,0.0,0.0,0.0,2000,1901,0.9505,0.9582329480689521,99,236.4014591998949
xor_groups,22,3,0.2,150,0.0,0.0,0.0,0.0,2000,1957,0.9785,0.9835562218994616,43,236.24417279989495
xor_groups,23,3,0.2,300,0.0,0.0,0.0,0.0,2000,1991,0.9955,0.9976504432404225,9,236.08688639989492
xor_groups,24,3,0.5,0.2,0.0,0.0,0.0,0.0,2000,79,0.0395,0.047434185870380154,1921,330.3014399998879
xor_groups,25,3,0.5,0.5,0.0,0.0,0.0,0.0,2000,107,0.0535,0.06252584248880375,1893,188.74367999994587
xor_groups,26,3,0.5,1,0.0,0.0,0.0,0.0,2000,143,0.0715,0.0817016273115635,1857,141.55775999995177
xor_groups,27,3,0.5,2,0.0,0.0,0.0,0.0,2000,225,0.1125,0.12479570959045679,1775,117.96479999995472
xor_groups,28,3,0.5,5,0.0,0.0,0.0,0.0,2000,472,0.236,0.252149316175137,1528,103.80902399995655
xor_groups,29,3,0.5,10,0.0,0.0,0.0,0.0,2000,749,0.3745,0.3926795026137528,1251,99.09043199995713
xor_groups,30,3,0.5,20,0.0,0.0,0.0,0.0,2000,1173,0.5865,0.604760243181586,827,96.73113599995742
xor_groups,31,3,0.5,30,0.0,0.0,0.0,0.0,2000,1413,0.7065,0.7232665663046662,587,95.94470399995751
xor_groups,32,3,0.5,60,0.0,0.0,0.0,0.0,2000,1745,0.8725,0.8846073742290022,255,95.15827199995762
xor_groups,33,3,0.5,100,0.0,0.0,0.0,0.0,2000,1902,0.951,0.9586940761868555,98,94.84369919995765
xor_groups,34,3,0.5,150,0.0,0.0,0.0,0.0,2000,1958,0.979,0.9839945007949248,42,94.68641279995774
xor_groups,35,3,0.5,300,0.0,0.0,0.0,0.0,2000,1991,0.9955,0.9976504432404225,9,94.52912639995772
xor_groups,36,3,1,0.2,0.0,0.0,0.0,0.0,2000,125,0.0625,0.07213991040338187,1875,283.11551999993435
xor_groups,37,3,1,0.5,0.0,0.0,0.0,0.0,2000,152,0.076,0.08646575962663396,1848,141.5577599999669
xor_groups,38,3,1,1,0.0,0.0,0.0,0.0,2000,186,0.093,0.10437980905092528,1814,94.37183999997274
xor_groups,39,3,1,2,0.0,0.0,0.0,0.0,2000,267,0.1335,0.14665838696753536,1733,70.7788799999757
xor_groups,40,3,1,5,0.0,0.0,0.0,0.0,2000,510,0.255,0.27154140801699367,1490,56.6231039999775
xor_groups,41,3,1,10,0.0,0.0,0.0,0.0,2000,780,0.39,0.40830066291249256,1220,51.90451199997808
