dwell,policy,trials,failures,F,F_CI95_low,F_CI95_high,F_family95_upper,survivors,passes_given_survival,passes_CI95_low,passes_CI95_high,stop_passes_mean,busy_given_survival,busy_stop_mean,reads_stop_mean,writes_stop_mean,updates_given_survival
30,learning,20000,1416,0.0708,0.067282869380009,0.07444250022286636,0.0762799405895051,18584,2407.2886891950066,2405.913918440587,2408.663459949426,2335.11045,454.3605260210418,440.73808308255246,4897089812.02845,4897089812.02285,2407.288581575549
30,frozen_uncertainty,20000,1426,0.0713,0.06777122701580432,0.07495399280968985,0.07679710491212918,18574,2420.1370733283084,2418.7557271294177,2421.518419527199,2347.1972,456.7855773244147,443.0193979813896,4922437755.34895,4922437755.3434,2420.1370733283084
30,Fixed,20000,1226,0.0613,0.058014453925974395,0.06471377201418844,0.06643829522382819,18774,3600.0,3600.0,3600.0,3487.127,679.4772480000001,658.173948519605,7313043872.44015,7313043872.4347,0.0
30,Precomputed,20000,1801,0.09005,0.08611759934773575,0.09410203304660882,0.0961414641321679,18199,2700.0,2700.0,2700.0,2535.9998,509.607936,478.6546578570701,5318385087.301,5318385087.295,0.0
30,PA_DOM_one_setting,20000,1744,0.0872,0.08332518637560998,0.0911952922167033,0.09320675272716336,18256,3083.884092900964,3080.7643103986557,3087.003875403272,2945.7023,582.0712934327081,555.9903621763551,6177670690.8573,6177670690.77265,3083.800503943909
30,known_D_RES003_diagnostic,20000,1650,0.0825,0.07872292007936034,0.08639895614779954,0.0883629158490883,18350,2053.7229972752043,2052.1018002270125,2055.344194323396,1982.54285,387.62723620635205,374.19320840033186,4157702315.55935,4157702315.55375,2053.7229972752043
100,learning,20000,1368,0.0684,0.06493947640998865,0.07198661283224177,0.07379646948562217,18632,2283.715543151567,2280.790163435527,2286.640922867607,2217.9763,431.0368756876255,418.62978633361803,4651442070.37345,4651442070.3678,2283.715543151567
100,frozen_uncertainty,20000,1319,0.06595,0.0625485435100183,0.06947828165268734,0.07125934393757005,18681,2411.6048391413738,2409.085871725041,2414.1238065577063,2342.7862,455.1751720453509,442.1868717942815,4913187464.38085,4913187464.37515,2411.6048391413738
100,Fixed,20000,1217,0.06085,0.057575950321227753,0.06425241148657351,0.06597132452358274,18783,3600.0,3600.0,3600.0,3489.74715,679.477248,658.6684886002674,7318538762.2251,7318538762.2195,0.0
100,Precomputed,20000,1792,0.0896,0.08567661092308636,0.09364315502029859,0.09567820999607071,18208,2700.0,2700.0,2700.0,2537.252,509.6079359999999,478.8910190235017,5321011322.4837,5321011322.4771,0.0
100,PA_DOM_one_setting,20000,1468,0.0734,0.06982287861398472,0.07710171267054608,0.07896837315524567,18532,3216.5078782646233,3211.176453018277,3221.83930351097,3095.3719,607.1037223227455,584.24025855035,6491558428.34705,6491558428.25475,3216.4210554716165
100,known_D_RES003_diagnostic,20000,1646,0.0823,0.07852715853301573,0.08619477723192683,0.08815667609419907,18354,1918.6702081290182,1915.3442290662695,1921.996187191767,1856.46445,362.1368757886368,350.3966997122905,3893296663.46975,3893296663.46405,1918.6702081290182
300,learning,20000,1293,0.06465,0.061280433359062615,0.06814678286183017,0.06991229433306216,18707,2143.895867856952,2138.457776949703,2149.333958764201,2087.17135,404.64679563611486,393.94115956763596,4377123995.1961,4377123995.19035,2143.895867856952
300,frozen_uncertainty,20000,1255,0.06275,0.05942775319906773,0.06620003533129619,0.06794246536735607,18745,2397.6999733262205,2393.4039650224354,2401.9959816300056,2334.68915,452.5507165014927,440.6585922785992,4896206580.8735,4896206580.86755,2397.6999733262205
300,Fixed,20000,1175,0.05875,0.055530288118407926,0.06209870853029864,0.0637910992271004,18825,3600.0,3600.0,3600.0,3491.7033,679.477248,659.0376829948273,7322640922.1649,7322640922.15905,0.0
300,Precomputed,20000,1751,0.08755,0.08366804787753664,0.09155232674522042,0.09356725522896117,18249,2700.0,2700.0,2700.0,2538.7722,509.6079359999999,479.1779134672158,5324199038.5249,5324199038.51925,0.0
300,PA_DOM_one_setting,20000,1416,0.0708,0.067282869380009,0.07444250022286636,0.0762799405895051,18584,3210.616444253121,3201.699127047398,3219.5337614588434,3098.38395,605.9915470138958,584.8085421403864,6497872690.4579,6497872690.3694,3210.524860094705
