dwell,candidate,Ms,cap,growth,zero_mode,trials,seed,failures,F,upper95,passes_given_survival
30,0,0.1,5,3,1,2000,130916001,160,0.08,0.09069217379674774,3634.8739130434783
30,1,0.1,20,3,1,2000,130916001,186,0.093,0.10437980905092528,3521.264057331863
30,2,0.1,300,3,1,2000,130916001,253,0.1265,0.13938335897655807,3489.9290211791645
30,3,0.105,5,3,1,2000,130916001,174,0.087,0.09807106663316682,3089.982475355969
30,4,0.105,20,3,1,2000,130916001,213,0.1065,0.11852694783862446,2972.4073866815893
30,5,0.105,300,3,1,2000,130916001,283,0.1415,0.15495877397858368,2935.5480489225392
30,6,0.11,5,3,1,2000,130916001,189,0.0945,0.10595484882101389,2961.5190502484816
30,7,0.11,20,3,1,2000,130916001,229,0.1145,0.12688293961091707,2837.710897797854
30,8,0.11,300,3,1,2000,130916001,316,0.158,0.17203558668874352,2802.663895486936
30,9,0.115,5,3,1,2000,130916001,189,0.0945,0.10595484882101389,2958.6316951960243
30,10,0.115,20,3,1,2000,130916001,240,0.12,0.13261705167201807,2832.2482954545453
30,11,0.115,300,3,1,2000,130916001,329,0.1645,0.17874830840650988,2795.42908438061
30,12,0.12,5,3,1,2000,130916001,189,0.0945,0.10595484882101389,2953.485367200442
30,13,0.12,20,3,1,2000,130916001,244,0.122,0.13470015717375597,2825.706719817768
30,14,0.12,300,3,1,2000,130916001,339,0.1695,0.18390674948920346,2788.7459361830224
30,15,0.14,5,3,1,2000,130916001,200,0.1,0.11172309313599683,2614.746111111111
30,16,0.14,20,3,1,2000,130916001,264,0.132,0.14510043903663536,2471.0293778801843
30,17,0.14,300,3,1,2000,130916001,381,0.1905,0.2055264703743656,2426.611488573193
30,18,0.16,5,3,1,2000,130916001,255,0.1275,0.14042337686851863,2161.7117478510027
30,19,0.16,20,3,1,2000,130916001,345,0.1725,0.18699972184993008,1976.1154078549848
30,20,0.16,300,3,1,2000,130916001,497,0.2485,0.2649119288907176,1917.5741849634064
30,21,0.18,5,3,1,2000,130916001,236,0.118,0.1305328793323121,2078.9586167800453
30,22,0.18,20,3,1,2000,130916001,345,0.1725,0.18699972184993008,1887.5510574018126
30,23,0.18,300,3,1,2000,130916001,532,0.266,0.2827499201525603,1822.66689373297
30,24,0.2,5,3,1,2000,130916001,267,0.1335,0.1466583869675354,1776.8211194460473
30,25,0.2,20,3,1,2000,130916001,404,0.202,0.2173369460472277,1562.8984962406016
30,26,0.2,300,3,1,2000,130916001,653,0.3265,0.3441783921018956,1494.15144766147
100,0,0.1,5,3,1,2000,131916001,134,0.067,0.07692668320181792,3782.8628081457664
100,1,0.1,20,3,1,2000,131916001,143,0.0715,0.0817016273115635,3738.8147549811524
100,2,0.1,300,3,1,2000,131916001,151,0.0755,0.08593691733090933,3729.242833964305
100,3,0.105,5,3,1,2000,131916001,162,0.081,0.09174761404482908,3218.2176278563657
100,4,0.105,20,3,1,2000,131916001,177,0.0885,0.09964957831793886,3170.1963795940756
100,5,0.105,300,3,1,2000,131916001,189,0.0945,0.10595484882101389,3160.5411374930977
100,6,0.11,5,3,1,2000,131916001,156,0.078,0.08857991354695317,3091.479392624729
100,7,0.11,20,3,1,2000,131916001,173,0.0865,0.09754469307610512,3042.272577996716
100,8,0.11,300,3,1,2000,131916001,183,0.0915,0.10280392984660919,3033.2317006053936
100,9,0.115,5,3,1,2000,131916001,157,0.0785,0.0891081535602471,3089.911014650027
100,10,0.115,20,3,1,2000,131916001,173,0.0865,0.09754469307610512,3039.744389709907
100,11,0.115,300,3,1,2000,131916001,183,0.0915,0.10280392984660919,3030.384700055036
100,12,0.12,5,3,1,2000,131916001,157,0.0785,0.0891081535602471,3087.443298969072
100,13,0.12,20,3,1,2000,131916001,173,0.0865,0.09754469307610512,3036.9326765188835
100,14,0.12,300,3,1,2000,131916001,185,0.0925,0.10385461015232095,3027.6865013774104
100,15,0.14,5,3,1,2000,131916001,166,0.083,0.09385715315067666,2732.9580152671756
100,16,0.14,20,3,1,2000,131916001,187,0.0935,0.104904914684991,2679.016547159404
100,17,0.14,300,3,1,2000,131916001,204,0.102,0.11381805576765944,2669.9638084632516
100,18,0.16,5,3,1,2000,131916001,220,0.11,0.12218503753032578,2274.0921348314605
100,19,0.16,20,3,1,2000,131916001,255,0.1275,0.14042337686851863,2186.870487106017
100,20,0.16,300,3,1,2000,131916001,310,0.155,0.16893474007410292,2171.6005917159764
100,21,0.18,5,3,1,2000,131916001,229,0.1145,0.12688293961091707,2182.1699604743085
100,22,0.18,20,3,1,2000,131916001,269,0.1345,0.1476967275536906,2092.5580589254764
100,23,0.18,300,3,1,2000,131916001,317,0.1585,0.17255222817033924,2074.759952465835
100,24,0.2,5,3,1,2000,131916001,253,0.1265,0.13938335897655807,1863.8380080137379
100,25,0.2,20,3,1,2000,131916001,299,0.1495,0.16324530595690717,1750.1728395061727
100,26,0.2,300,3,1,2000,131916001,398,0.199,0.21425780903167138,1731.8314606741574
300,0,0.1,5,3,1,2000,132916001,118,0.059,0.06840792629810657,3772.422954303932
300,1,0.1,20,3,1,2000,132916001,123,0.0615,0.0710744601473272,3754.514118273841
300,2,0.1,300,3,1,2000,132916001,126,0.063,0.07267239369944241,3753.137673425827
300,3,0.105,5,3,1,2000,132916001,127,0.0635,0.07320471814595958,3224.269620928991
300,4,0.105,20,3,1,2000,132916001,130,0.065,0.07480075558037182,3197.735294117647
300,5,0.105,300,3,1,2000,132916001,134,0.067,0.07692668320181792,3195.9769560557343
300,6,0.11,5,3,1,2000,132916001,133,0.0665,0.07639542390526638,3098.598821638993
300,7,0.11,20,3,1,2000,132916001,134,0.067,0.07692668320181792,3072.4801714898176
300,8,0.11,300,3,1,2000,132916001,141,0.0705,0.08064149625992058,3070.239376008607
300,9,0.115,5,3,1,2000,132916001,133,0.0665,0.07639542390526638,3098.5940010712375
300,10,0.115,20,3,1,2000,132916001,134,0.067,0.07692668320181792,3073.0621650589496
