policy,first,second,grid,D,lower,upper,passes
Fixed,0.2,0.2,0,3000.0,0.012322254626597987,0.012476666910848349,18000
Fixed,0.2,0.2,1,1827.4836406900654,0.01232207895313223,0.012476489035988287,18000
Fixed,0.2,0.2,2,1228.8,0.012321859973442725,0.01247626731222677,18000
Fixed,0.2,0.2,3,882.5050272910083,0.012321597694457107,0.012476001746578239,18000
Fixed,0.2,0.2,4,664.3598615916954,0.01232129212447234,0.012475692347443633,18000
Fixed,0.2,0.2,5,518.1312194299207,0.012320943273154193,0.012475339124609838,18000
Fixed,0.2,0.2,6,415.3596538669551,0.012320551151536624,0.012474942089249087,18000
Fixed,0.2,0.2,7,340.387811634349,0.012320115772021089,0.012474501253918236,18000
Fixed,0.2,0.2,8,284.02366863905326,0.012319637148375752,0.012474016632557983,18000
Fixed,0.2,0.2,9,240.5826611324301,0.01231911529573462,0.01247348824049198,18000
Fixed,0.2,0.2,10,206.39613007256114,0.012318550230596576,0.012472916094425862,18000
Fixed,0.2,0.2,11,179.0105471709108,0.012317941970824347,0.012472300212446198,18000
Fixed,0.2,0.2,12,156.73469387755102,0.012317290535643373,0.012471640614019341,18000
Fixed,0.2,0.2,13,138.3721453988559,0.012316595945640581,0.012470937319990202,18000
Fixed,0.2,0.2,14,123.05720237141483,0.0123158582227631,0.012470190352580927,18000
Fixed,0.2,0.2,15,110.15095557388217,0.01231507739031686,0.0124693997353895,18000
Fixed,0.2,0.2,16,99.17355371900827,0.012314253472965128,0.01246856549338825,18000
Fixed,0.2,0.2,17,89.75894813732651,0.012313386496726949,0.012467687652922266,18000
Fixed,0.2,0.2,18,81.62397704325646,0.012312476488975502,0.012466766241707748,18000
Fixed,0.2,0.2,19,74.54682229610037,0.01231152347843637,0.012465801288830245,18000
Fixed,0.2,0.2,20,68.35172659309363,0.012310527495185734,0.012464792824742823,18000
Fixed,0.2,0.2,21,62.89797506193567,0.012309488570648465,0.012463740881264148,18000
Fixed,0.2,0.2,22,58.071833648393195,0.012308406737596147,0.012462645491576472,18000
Fixed,0.2,0.2,23,53.78057106843367,0.012307282030145014,0.01246150669022354,18000
Fixed,0.2,0.2,24,49.947970863683665,0.012306114483753794,0.012460324513108422,18000
Fixed,0.2,0.2,25,46.510923708156064,0.012304904135221473,0.012459098997491239,18000
Fixed,0.2,0.2,26,43.416812708462885,0.012303651022684981,0.012457830181986821,18000
Fixed,0.2,0.2,27,40.62148760330579,0.012302355185616785,0.012456518106562271,18000
Fixed,0.2,0.2,28,38.08768101567149,0.012301016664822409,0.012455162812534452,18000
Fixed,0.2,0.2,29,35.78375985742408,0.012299635502437858,0.012453764342567387,18000
Fixed,0.2,0.2,30,33.68273321345555,0.012298211741926978,0.01245232274066957,18000
Fixed,0.2,0.2,31,31.76145821486544,0.01229674542807871,0.012450838052191203,18000
Fixed,0.2,0.2,32,30.0,0.012295236607004278,0.01244931032382134,18000
Fixed,0.5,0.5,0,3000.0,0.030236887164839223,0.031190010379650485,7200
Fixed,0.5,0.5,1,1827.4836406900654,0.030235809593834886,0.03118889884159345,7200
Fixed,0.5,0.5,2,1228.8,0.03023446648172014,0.03118751339207374,7200
Fixed,0.5,0.5,3,882.5050272910083,0.030232857934698345,0.031185854140642455,7200
Fixed,0.5,0.5,4,664.3598615916954,0.030230984079942867,0.031183921218481694,7200
Fixed,0.5,0.5,5,518.1312194299207,0.03022884506557695,0.03118171477838383,7200
Fixed,0.5,0.5,6,415.3596538669551,0.030226441060650314,0.03117923499472734,7200
Fixed,0.5,0.5,7,340.387811634349,0.030223772255112434,0.03117648206344926,7200
Fixed,0.5,0.5,8,284.02366863905326,0.03022083885978252,0.031173456202014223,7200
Fixed,0.5,0.5,9,240.5826611324301,0.030217641106316227,0.031170157649380106,7200
Fixed,0.5,0.5,10,206.39613007256114,0.030214179247169067,0.031166586665960276,7200
Fixed,0.5,0.5,11,179.0105471709108,0.030210453555556554,0.031162743533582525,7200
Fixed,0.5,0.5,12,156.73469387755102,0.030206464325411096,0.031158628555444552,7200
Fixed,0.5,0.5,13,138.3721453988559,0.030202211871335625,0.031154242056066164,7200
Fixed,0.5,0.5,14,123.05720237141483,0.030197696528553995,0.0311495843812381,7200
Fixed,0.5,0.5,15,110.15095557388217,0.030192918652858156,0.031144655897967534,7200
Fixed,0.5,0.5,16,99.17355371900827,0.030187878620552104,0.031139456994420268,7200
Fixed,0.5,0.5,17,89.75894813732651,0.030182576828392628,0.03113398807985961,7200
