policy,first,second,passes,continuum_upper,witness_lower,certified
Fixed,0.2,0.2,18000,0.013275173594206645,0.012322254625597986,True
Fixed,0.5,0.5,7200,0.03318617104501212,0.030236887163839224,True
Fixed,1,1,3600,0.06636821773035388,0.05864119188766082,True
Fixed,2,2,1800,0.1327212554204505,0.11039032297094434,False
Fixed,5,5,720,0.3316919893419237,0.23191672627810178,False
Fixed,10,10,360,0.6630157234615475,0.35599490356609237,False
Fixed,20,20,180,1.064000000001064,0.45772440613688753,False
Fixed,30,30,120,1.064000000001064,0.4865235368184043,False
Fixed,60,60,60,1.064000000001064,0.4964197742697115,False
Fixed,100,100,36,1.064000000001064,0.49453409391032915,False
Fixed,150,150,24,1.064000000001064,0.4918711823924609,False
Fixed,300,300,12,1.064000000001064,0.48413495872892714,False
Precomputed,0.2,0.2,18000,0.013275173594206645,0.012322254625597986,True
Precomputed,0.2,0.5,12600,0.02323119429148009,0.021363833649820443,True
Precomputed,0.2,1,10800,0.039823087471304024,0.036060654880559914,True
Precomputed,0.2,2,9900,0.07300134555596433,0.0641087691362477,True
Precomputed,0.2,5,9360,0.17249192676145936,0.13844090398472456,False
Precomputed,0.2,10,9180,0.3381624726720757,0.23511029215458296,False
Precomputed,0.2,20,9090,0.6689536304106223,0.35737346060914105,False
Precomputed,0.2,30,9060,0.9990145892564997,0.42256658254501156,False
Precomputed,0.2,60,9030,1.064000000001064,0.4850641829389195,False
Precomputed,0.2,100,9018,1.064000000001064,0.49358608683951155,False
Precomputed,0.2,150,9012,1.064000000001064,0.4918391799293378,False
Precomputed,0.2,300,9006,1.064000000001064,0.48414512143532673,False
Precomputed,0.5,0.2,12600,0.02323015034773867,0.021362894429471656,True
Precomputed,0.5,0.5,7200,0.03318617104501212,0.030236887163839224,True
Precomputed,0.5,1,5400,0.04977806422483605,0.0446611714973103,True
Precomputed,0.5,2,4500,0.08295632230949634,0.0721891215367565,True
Precomputed,0.5,5,3960,0.1824469035149914,0.14514241269243933,False
Precomputed,0.5,10,3780,0.34811744942560774,0.24001757650450323,False
Precomputed,0.5,20,3690,0.6789086071641545,0.36000795862161955,False
Precomputed,0.5,30,3660,1.0089695660100315,0.4239846107160388,False
Precomputed,0.5,60,3630,1.064000000001064,0.4852957022793204,False
Precomputed,0.5,100,3618,1.064000000001064,0.49362000655275085,False
Precomputed,0.5,150,3612,1.064000000001064,0.4918560704158773,False
Precomputed,0.5,300,3606,1.064000000001064,0.48416090952649826,False
Precomputed,1,0.2,10800,0.0398203038532565,0.03605822742856644,True
Precomputed,1,0.5,5400,0.04977632455052995,0.04465968254826745,True
Precomputed,1,1,3600,0.06636821773035388,0.05864119188766082,True
Precomputed,1,2,2700,0.09954647581501418,0.08532358718572684,True
Precomputed,1,5,2160,0.19903705702050922,0.1560355019200778,False
Precomputed,1,10,1980,0.3647076029311256,0.24799409058620553,False
Precomputed,1,20,1890,0.6954987606696722,0.3642900424992798,False
Precomputed,1,30,1860,1.0255597195155495,0.42628938056506266,False
Precomputed,1,60,1830,1.064000000001064,0.48567205081717635,False
Precomputed,1,100,1818,1.064000000001064,0.4936753804146352,False
Precomputed,1,150,1812,1.064000000001064,0.4918838997854129,False
Precomputed,1,300,1806,1.064000000001064,0.4841870792855886,False
Precomputed,2,0.2,9900,0.07299508345869282,0.06410363861764096,True
Precomputed,2,0.5,4500,0.08295110415596628,0.07218492561089543,True
Precomputed,2,1,2700,0.0995429973357902,0.08532087606335627,True
Precomputed,2,2,1800,0.1327212554204505,0.11039032297094434,False
Precomputed,2,5,1260,0.23221183662594555,0.17682429793345555,False
Precomputed,2,10,1080,0.3978823825365619,0.26321632979860815,False
Precomputed,2,20,990,0.7286735402751086,0.37246135123356855,False
Precomputed,2,30,960,1.0587344991209857,0.4306871694715741,False
Precomputed,2,60,930,1.064000000001064,0.4863903366189209,False
Precomputed,2,100,918,1.064000000001064,0.4937819098965916,False
Precomputed,2,150,912,1.064000000001064,0.49193837052100425,False
Precomputed,2,300,906,1.064000000001064,0.48423888312567315,False
Precomputed,5,0.2,9360,0.17247523617467103,0.13842956413436214,False
Precomputed,5,0.5,3960,0.18243125687194447,0.14513197939057504,False
Precomputed,5,1,2160,0.1990231500517684,0.15602651369438916,False
Precomputed,5,2,1260,0.2322014081364287,0.17681796591086926,False
Precomputed,5,5,720,0.3316919893419237,0.23191672627810178,False
Precomputed,5,10,540,0.49736253525254015,0.303553281745357,False
Precomputed,5,20,450,0.8281536929910868,0.39410988945070147,False
Precomputed,5,30,420,1.064000000001064,0.44233584806364146,False
Precomputed,5,60,390,1.064000000001064,0.4882936536226361,False
Precomputed,5,100,378,1.064000000001064,0.4940701456489876,False
Precomputed,5,150,372,1.064000000001064,0.4920926124578985,False
Precomputed,5,300,366,1.064000000001064,0.4843900740853784,False
Precomputed,10,0.2,9180,0.3381284243836784,0.23509336085786048,False
Precomputed,10,0.5,3780,0.3480844450809519,0.24000146925411572,False
Precomputed,10,1,1980,0.36467633826077583,0.24797930192648254,False
Precomputed,10,2,1080,0.3978545963454361,0.2632039831329947,False
Precomputed,10,5,540,0.49734517755093116,0.30354688854494705,False
Precomputed,10,10,360,0.6630157234615475,0.35599490356609237,False
Precomputed,10,20,270,0.9938068812000942,0.4222400348131781,False
Precomputed,10,30,240,1.064000000001064,0.4574627464401163,False
Precomputed,10,60,210,1.064000000001064,0.4907645983081935,False
Precomputed,10,100,198,1.064000000001064,0.4944600251095096,False
Precomputed,10,150,192,1.064000000001064,0.4923211671593,False
Precomputed,10,300,186,1.064000000001064,0.48462840964212434,False
Precomputed,20,0.2,9090,0.6688849530515667,0.3573551740314259,False
Precomputed,20,0.5,3690,0.6788409737488402,0.35999028576096553,False
Precomputed,20,1,1890,0.6954328669286641,0.3642733559930053,False
Precomputed,20,2,990,0.7286111250133244,0.3724465070826523,False
Precomputed,20,5,450,0.8281017062188194,0.39409964906409994,False
Precomputed,20,10,270,0.9937722521294358,0.4222350553878156,False
Precomputed,20,20,180,1.064000000001064,0.45772440613688753,False
Precomputed,20,30,150,1.064000000001064,0.4765044994992718,False
Precomputed,20,60,120,1.064000000001064,0.49385451492007854,False
Precomputed,20,100,108,1.064000000001064,0.49498176395454574,False
Precomputed,20,150,102,1.064000000001064,0.49268454383331367,False
Precomputed,20,300,96,1.064000000001064,0.48505685239435486,False
Precomputed,30,0.2,9060,0.9989113972993146,0.42255188641637437,False
Precomputed,30,0.5,3660,1.008867417996588,0.4239703361049051,False
Precomputed,30,1,1860,1.0254593111764119,0.4262757850594295,False
