time_s,previous_period_s,own_count,D_cell_mask_before,D_cell_mask_after,next_period_s,slack_min,slack_max,completed_passes,physical_pending_words_diagnostic_only,local_previous_set_period,local_refined_set_period,PrH_D3000,PrH_D30,last_blocking_node,knownD_slack_unused_for_unknown,remaining_risk_potential_min,remaining_risk_potential_max,dwell,policy,row
1.0,1.0,3.0,4294967295.0,4294967295.0,1.0,0.0116506907766811,0.011999794786343276,1.0,1.0,-1.0,-1.0,0.9996937875984881,0.973020250443843,0.0,0.02316497513111787,0.08755900815402341,0.11725067853058153,30,0,0
32.0,2.0,4.0,4294967295.0,4294967294.0,1.0,0.011637398020018994,0.011992500913791351,23.0,1.0,1.0,1.0,0.9199468679552478,0.9642684400400007,21.0,0.02316497513111787,0.08688887581310416,0.1047151258333282,30,0,22
46.0,1.0,0.0,4294967294.0,4294967280.0,1.0,0.01163739802001891,0.011992500913791462,37.0,1.0,1.0,1.0,0.867541277643506,0.06874293104515919,1.0,0.02316497513111787,0.0860217629289626,0.0886015982467444,30,0,36
56.0,1.0,0.0,4294967280.0,4294967264.0,2.0,0.01163739802001891,0.01199250091379149,47.0,0.0,2.0,2.0,0.014204893595178028,0.008388570143134403,4.0,0.02316497513111787,0.0816098314419988,0.08627440842679564,30,0,46
88.0,2.0,11.0,4294967264.0,4294967168.0,1.0,0.011613773815333864,0.011979940787336177,63.0,0.0,1.0,1.0,0.9199468679552478,0.9642684400400007,21.0,0.02316497513111787,0.08568883699655079,0.08992611265679697,30,0,62
3599.0,5.0,5.0,4160749568.0,4160749568.0,300.0,0.00024198099307386417,0.0023684524601722892,2382.0,0.0,-1.0,-1.0,0.9983561980737818,0.8603334976655606,32.0,0.02316497513111787,0.00027785829209294816,0.0024058440054636923,30,0,2381
1.0,1.0,3.0,4294967295.0,4294967295.0,1.0,0.0116506907766811,0.011999794786343276,1.0,1.0,-1.0,-1.0,0.9996937875984881,0.973020250443843,0.0,0.02316497513111787,0.08755900815402341,0.11725067853058153,30,1,0
3598.0,5.0,10.0,4294967295.0,4294967295.0,300.0,0.00031921757394459606,0.00848531829419741,2401.0,0.0,-1.0,-1.0,0.998356198073782,0.8603334976655606,32.0,0.02316497513111787,0.0003900132076423088,0.008570095265014123,30,1,2400
1.0,1.0,3.0,4294967295.0,4294967295.0,1.0,0.0116506907766811,0.011999794786343276,1.0,1.0,-1.0,-1.0,0.9996937875984881,0.973020250443843,0.0,0.023449721137260016,0.08755900815402341,0.11725067853058153,100,0,0
273.0,1.0,0.0,4294967295.0,4294967294.0,2.0,0.011553270514688824,0.011947823280903658,207.0,0.0,2.0,2.0,0.014204893595178028,0.008388570143134403,0.0,0.023449721137260016,0.06389028704377768,0.08164323132972706,100,0,206
311.0,2.0,3.0,4294967294.0,4294967292.0,1.0,0.01152521854656538,0.01193363379422717,226.0,1.0,1.0,1.0,0.9199468679552478,0.9642684400400007,22.0,0.023449721137260016,0.0809156306840926,0.09376042807707657,100,0,225
337.0,1.0,0.0,4294967292.0,4294967288.0,1.0,0.01152521854656531,0.011933633794227239,252.0,1.0,1.0,1.0,0.867541277643506,0.06874293104515919,2.0,0.023449721137260016,0.07979642895455072,0.08408450445931798,100,0,251
432.0,2.0,4.0,4294967288.0,4294967264.0,1.0,0.011513401711049184,0.011927810483246787,339.0,0.0,1.0,1.0,0.9199468679552478,0.9642684400400007,22.0,0.023449721137260016,0.07836191799078966,0.0844144936127217,100,0,338
3597.0,2.0,13.0,16773120.0,16773120.0,300.0,0.0004628632120899215,0.0017001783726956492,2614.0,0.0,-1.0,-1.0,0.9993539616164316,0.9394693795581008,24.0,0.023449721137260016,0.0005819139955447862,0.0018249164778515376,100,0,2613
1.0,1.0,3.0,4294967295.0,4294967295.0,1.0,0.0116506907766811,0.011999794786343276,1.0,1.0,-1.0,-1.0,0.9996937875984881,0.973020250443843,0.0,0.023449721137260016,0.08755900815402341,0.11725067853058153,100,1,0
3597.0,2.0,13.0,4294967295.0,4294967295.0,300.0,0.0003514081608157815,0.0030609729930085694,2666.0,0.0,-1.0,-1.0,0.9993539616164318,0.9394693795581008,32.0,0.023449721137260016,0.0004654038419594672,0.0031883121325074985,100,1,2665
1.0,1.0,3.0,4294967295.0,4294967295.0,1.0,0.0116506907766811,0.011999794786343276,1.0,1.0,-1.0,-1.0,0.9996937875984881,0.973020250443843,0.0,0.023324804475851627,0.08755900815402341,0.11725067853058153,300,0,0
311.0,2.0,0.0,4294967295.0,2147483647.0,2.0,0.011600832694053195,0.011924950535718834,214.0,0.0,2.0,2.0,8.315965572534348e-05,0.0082477163415956,22.0,0.023324804475851627,0.053339256759608274,0.08081420331810771,300,0,213
329.0,2.0,0.0,2147483647.0,1073741823.0,2.0,0.011666647268228525,0.011918422579448876,223.0,0.0,2.0,2.0,8.315965572534348e-05,0.0082477163415956,22.0,0.023324804475851627,0.05299937289141003,0.08042644337665944,300,0,222
351.0,2.0,0.0,1073741823.0,536870911.0,2.0,0.011717480283219978,0.01191044396622988,234.0,0.0,2.0,2.0,8.315965572534348e-05,0.0082477163415956,22.0,0.023324804475851627,0.0525846644607033,0.07995251455933387,300,0,233
375.0,2.0,0.0,536870911.0,268435455.0,2.0,0.011740527767784836,0.011901740024536478,246.0,0.0,2.0,2.0,8.315965572534348e-05,0.0082477163415956,22.0,0.023324804475851627,0.05213315262781462,0.07943550130406961,300,0,245
581.0,2.0,0.0,8388607.0,4194303.0,5.0,0.011738918475265023,0.011834994672341004,349.0,0.0,2.0,5.0,8.315965572534348e-05,0.0082477163415956,23.0,0.023324804475851627,0.04829842961069794,0.0749979841678293,300,0,348
