shield_mm,rho,path,b1_s-1,b2_s-1,Lambda_D,eps_1e-08,eps_1e-07,eps_1e-06,eps_1e-05,eps_0.0001,eps_0.001,eps_0.01,eps_0.1
1,0,LL,0.00010147076,0.00010147076,0.000000000000e+00,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
1,0,LH,0.00010147076,58.709784,0.000000000000e+00,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
1,0,HL,58.709784,0.00010147076,0.000000000000e+00,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
1,0,HH,58.709784,58.709784,0.000000000000e+00,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
1,0.0001,LL,0.00010147076,0.00010147076,3.044122800000e-06,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
1,0.0001,LH,0.00010147076,58.709784,8.806482820614e-01,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED
1,0.0001,HL,58.709784,0.00010147076,8.806482820614e-01,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED
1,0.0001,HH,58.709784,58.709784,1.761293520000e+00,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED
1,0.01,LL,0.00010147076,0.00010147076,3.044122800000e-04,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
1,0.01,LH,0.00010147076,58.709784,8.806482820614e+01,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED
1,0.01,HL,58.709784,0.00010147076,8.806482820614e+01,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED
1,0.01,HH,58.709784,58.709784,1.761293520000e+02,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED
3,0,LL,2.8886786e-05,2.8886786e-05,0.000000000000e+00,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
3,0,LH,2.8886786e-05,6.1249308,0.000000000000e+00,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
3,0,HL,6.1249308,2.8886786e-05,0.000000000000e+00,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
3,0,HH,6.1249308,6.1249308,0.000000000000e+00,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
3,0.0001,LL,2.8886786e-05,2.8886786e-05,8.666035800000e-07,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
3,0.0001,LH,2.8886786e-05,6.1249308,9.187439530179e-02,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-BUDGET-REMAINS
3,0.0001,HL,6.1249308,2.8886786e-05,9.187439530179e-02,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-BUDGET-REMAINS
3,0.0001,HH,6.1249308,6.1249308,1.837479240000e-01,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED
3,0.01,LL,2.8886786e-05,2.8886786e-05,8.666035800000e-05,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
3,0.01,LH,2.8886786e-05,6.1249308,9.187439530179e+00,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED
3,0.01,HL,6.1249308,2.8886786e-05,9.187439530179e+00,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED
3,0.01,HH,6.1249308,6.1249308,1.837479240000e+01,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED
5,0,LL,7.1682448e-06,7.1682448e-06,0.000000000000e+00,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS,DIRECT-BUDGET-REMAINS
