shield_mm,rho,epsilon,family_status,boundary_type,path,tau1_s,tau2_s,value,signed_value_minus_epsilon,absolute_gap,classification,numerical_status
1,0,1e-08,DIRECT-BUDGET-REMAINS,certificate,LL,300,300,1.711707496020e-09,-8.288292503980e-09,8.288292503980e-09,PASS,RESOLVED-EXACT-RATIONAL
1,0,1e-07,DIRECT-BUDGET-REMAINS,certificate,LL,300,300,1.711707496020e-09,-9.828829250398e-08,9.828829250398e-08,PASS,RESOLVED-EXACT-RATIONAL
1,0,1e-06,DIRECT-BUDGET-REMAINS,certificate,LL,300,300,1.711707496020e-09,-9.982882925040e-07,9.982882925040e-07,PASS,RESOLVED-EXACT-RATIONAL
1,0,1e-05,DIRECT-BUDGET-REMAINS,certificate,LL,300,300,1.711707496020e-09,-9.998288292504e-06,9.998288292504e-06,PASS,RESOLVED-EXACT-RATIONAL
1,0,0.0001,DIRECT-BUDGET-REMAINS,certificate,LL,300,300,1.711707496020e-09,-9.999828829250e-05,9.999828829250e-05,PASS,RESOLVED-EXACT-RATIONAL
1,0,0.001,DIRECT-BUDGET-REMAINS,certificate,LL,300,300,1.711707496020e-09,-9.999982882925e-04,9.999982882925e-04,PASS,RESOLVED-EXACT-RATIONAL
1,0,0.01,DIRECT-BUDGET-REMAINS,certificate,LL,300,300,1.711707496020e-09,-9.999998288293e-03,9.999998288293e-03,PASS,RESOLVED-EXACT-RATIONAL
1,0,0.1,DIRECT-BUDGET-REMAINS,certificate,HL,0.2,0.2,1.910216868779e-01,9.102168687789e-02,9.102168687789e-02,FAIL,RESOLVED-EXACT-RATIONAL
1,0.0001,1e-08,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,3.044122800000e-06,3.034122800000e-06,3.034122800000e-06,FAIL,RESOLVED-EXACT-RATIONAL
1,0.0001,1e-07,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,3.044122800000e-06,2.944122800000e-06,2.944122800000e-06,FAIL,RESOLVED-EXACT-RATIONAL
1,0.0001,1e-06,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,3.044122800000e-06,2.044122800000e-06,2.044122800000e-06,FAIL,RESOLVED-EXACT-RATIONAL
1,0.0001,1e-05,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,3.044122800000e-06,-6.955877200000e-06,6.955877200000e-06,PASS,RESOLVED-EXACT-RATIONAL
1,0.0001,0.0001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,3.044122800000e-06,-9.695587720000e-05,9.695587720000e-05,PASS,RESOLVED-EXACT-RATIONAL
1,0.0001,0.001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,3.044122800000e-06,-9.969558772000e-04,9.969558772000e-04,PASS,RESOLVED-EXACT-RATIONAL
1,0.0001,0.01,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,3.044122800000e-06,-9.996955877200e-03,9.996955877200e-03,PASS,RESOLVED-EXACT-RATIONAL
1,0.0001,0.1,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,3.044122800000e-06,-9.999695587720e-02,9.999695587720e-02,PASS,RESOLVED-EXACT-RATIONAL
1,0.01,1e-08,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,3.044122800000e-04,3.044022800000e-04,3.044022800000e-04,FAIL,RESOLVED-EXACT-RATIONAL
1,0.01,1e-07,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,3.044122800000e-04,3.043122800000e-04,3.043122800000e-04,FAIL,RESOLVED-EXACT-RATIONAL
1,0.01,1e-06,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,3.044122800000e-04,3.034122800000e-04,3.034122800000e-04,FAIL,RESOLVED-EXACT-RATIONAL
1,0.01,1e-05,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,3.044122800000e-04,2.944122800000e-04,2.944122800000e-04,FAIL,RESOLVED-EXACT-RATIONAL
1,0.01,0.0001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,3.044122800000e-04,2.044122800000e-04,2.044122800000e-04,FAIL,RESOLVED-EXACT-RATIONAL
1,0.01,0.001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,3.044122800000e-04,-6.955877200000e-04,6.955877200000e-04,PASS,RESOLVED-EXACT-RATIONAL
1,0.01,0.01,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,3.044122800000e-04,-9.695587720000e-03,9.695587720000e-03,PASS,RESOLVED-EXACT-RATIONAL
1,0.01,0.1,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,3.044122800000e-04,-9.969558772000e-02,9.969558772000e-02,PASS,RESOLVED-EXACT-RATIONAL
3,0,1e-08,DIRECT-BUDGET-REMAINS,certificate,LL,300,300,1.387222660188e-10,-9.861277733981e-09,9.861277733981e-09,PASS,RESOLVED-EXACT-RATIONAL
3,0,1e-07,DIRECT-BUDGET-REMAINS,certificate,LL,300,300,1.387222660188e-10,-9.986127773398e-08,9.986127773398e-08,PASS,RESOLVED-EXACT-RATIONAL
3,0,1e-06,DIRECT-BUDGET-REMAINS,certificate,LL,300,300,1.387222660188e-10,-9.998612777340e-07,9.998612777340e-07,PASS,RESOLVED-EXACT-RATIONAL
3,0,1e-05,DIRECT-BUDGET-REMAINS,certificate,LL,300,300,1.387222660188e-10,-9.999861277734e-06,9.999861277734e-06,PASS,RESOLVED-EXACT-RATIONAL
3,0,0.0001,DIRECT-BUDGET-REMAINS,certificate,LL,300,300,1.387222660188e-10,-9.999986127773e-05,9.999986127773e-05,PASS,RESOLVED-EXACT-RATIONAL
3,0,0.001,DIRECT-BUDGET-REMAINS,certificate,LL,300,300,1.387222660188e-10,-9.999998612777e-04,9.999998612777e-04,PASS,RESOLVED-EXACT-RATIONAL
3,0,0.01,DIRECT-BUDGET-REMAINS,certificate,HL,1,0.2,1.039193713600e-02,3.919371360009e-04,3.919371360009e-04,FAIL,RESOLVED-EXACT-RATIONAL
3,0,0.1,DIRECT-BUDGET-REMAINS,certificate,HL,10,0.2,1.039119632018e-01,3.911963201753e-03,3.911963201753e-03,FAIL,RESOLVED-EXACT-RATIONAL
3,0.0001,1e-08,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,8.666035800000e-07,8.566035800000e-07,8.566035800000e-07,FAIL,RESOLVED-EXACT-RATIONAL
3,0.0001,1e-07,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,8.666035800000e-07,7.666035800000e-07,7.666035800000e-07,FAIL,RESOLVED-EXACT-RATIONAL
3,0.0001,1e-06,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,8.666035800000e-07,-1.333964200000e-07,1.333964200000e-07,PASS,RESOLVED-EXACT-RATIONAL
3,0.0001,1e-05,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,8.666035800000e-07,-9.133396420000e-06,9.133396420000e-06,PASS,RESOLVED-EXACT-RATIONAL
3,0.0001,0.0001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,8.666035800000e-07,-9.913339642000e-05,9.913339642000e-05,PASS,RESOLVED-EXACT-RATIONAL
3,0.0001,0.001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,8.666035800000e-07,-9.991333964200e-04,9.991333964200e-04,PASS,RESOLVED-EXACT-RATIONAL
3,0.0001,0.01,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,8.666035800000e-07,-9.999133396420e-03,9.999133396420e-03,PASS,RESOLVED-EXACT-RATIONAL
3,0.0001,0.1,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,HL,,,9.187439530179e-02,-8.125604698210e-03,8.125604698210e-03,PASS,RESOLVED-EXACT-RATIONAL
3,0.01,1e-08,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,8.666035800000e-05,8.665035800000e-05,8.665035800000e-05,FAIL,RESOLVED-EXACT-RATIONAL
3,0.01,1e-07,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,8.666035800000e-05,8.656035800000e-05,8.656035800000e-05,FAIL,RESOLVED-EXACT-RATIONAL
3,0.01,1e-06,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,8.666035800000e-05,8.566035800000e-05,8.566035800000e-05,FAIL,RESOLVED-EXACT-RATIONAL
3,0.01,1e-05,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,8.666035800000e-05,7.666035800000e-05,7.666035800000e-05,FAIL,RESOLVED-EXACT-RATIONAL
3,0.01,0.0001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,8.666035800000e-05,-1.333964200000e-05,1.333964200000e-05,PASS,RESOLVED-EXACT-RATIONAL
3,0.01,0.001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,8.666035800000e-05,-9.133396420000e-04,9.133396420000e-04,PASS,RESOLVED-EXACT-RATIONAL
3,0.01,0.01,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,8.666035800000e-05,-9.913339642000e-03,9.913339642000e-03,PASS,RESOLVED-EXACT-RATIONAL
3,0.01,0.1,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,8.666035800000e-05,-9.991333964200e-02,9.991333964200e-02,PASS,RESOLVED-EXACT-RATIONAL
5,0,1e-08,DIRECT-BUDGET-REMAINS,certificate,LL,300,300,8.542271742292e-12,-9.991457728258e-09,9.991457728258e-09,PASS,RESOLVED-EXACT-RATIONAL
5,0,1e-07,DIRECT-BUDGET-REMAINS,certificate,LL,300,300,8.542271742292e-12,-9.999145772826e-08,9.999145772826e-08,PASS,RESOLVED-EXACT-RATIONAL
5,0,1e-06,DIRECT-BUDGET-REMAINS,certificate,LL,300,300,8.542271742292e-12,-9.999914577283e-07,9.999914577283e-07,PASS,RESOLVED-EXACT-RATIONAL
5,0,1e-05,DIRECT-BUDGET-REMAINS,certificate,LL,300,300,8.542271742292e-12,-9.999991457728e-06,9.999991457728e-06,PASS,RESOLVED-EXACT-RATIONAL
5,0,0.0001,DIRECT-BUDGET-REMAINS,certificate,HL,0.2,0.2,1.307272088238e-04,3.072720882383e-05,3.072720882383e-05,FAIL,RESOLVED-EXACT-RATIONAL
5,0,0.001,DIRECT-BUDGET-REMAINS,certificate,HH,0.5,1,9.805289725443e-04,-1.947102745570e-05,1.947102745570e-05,PASS,RESOLVED-EXACT-RATIONAL
5,0,0.01,DIRECT-BUDGET-REMAINS,certificate,HH,5,10,9.804823913173e-03,-1.951760868272e-04,1.951760868272e-04,PASS,RESOLVED-EXACT-RATIONAL
5,0,0.1,DIRECT-BUDGET-REMAINS,certificate,HH,2,150,9.937509420844e-02,-6.249057915554e-04,6.249057915554e-04,PASS,RESOLVED-EXACT-RATIONAL
5,0.0001,1e-08,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,2.150473440000e-07,2.050473440000e-07,2.050473440000e-07,FAIL,RESOLVED-EXACT-RATIONAL
5,0.0001,1e-07,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,2.150473440000e-07,1.150473440000e-07,1.150473440000e-07,FAIL,RESOLVED-EXACT-RATIONAL
5,0.0001,1e-06,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,2.150473440000e-07,-7.849526560000e-07,7.849526560000e-07,PASS,RESOLVED-EXACT-RATIONAL
5,0.0001,1e-05,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,2.150473440000e-07,-9.784952656000e-06,9.784952656000e-06,PASS,RESOLVED-EXACT-RATIONAL
5,0.0001,0.0001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,2.150473440000e-07,-9.978495265600e-05,9.978495265600e-05,PASS,RESOLVED-EXACT-RATIONAL
5,0.0001,0.001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,direct,LL,,,2.150473440000e-07,-9.997849526560e-04,9.997849526560e-04,PASS,RESOLVED-EXACT-RATIONAL
