shield_mm,rho_case,epsilon,status,fixed_count,precomputed_count,causal_root_count,causal_tree_count
1,0,1e-08,SEARCHED,0,0,0,0
1,0,1e-07,SEARCHED,0,0,0,0
1,0,1e-06,SEARCHED,0,0,0,0
1,0,1e-05,SEARCHED,0,0,0,0
1,0,0.0001,SEARCHED,0,0,0,0
1,0,0.001,SEARCHED,0,0,0,0
1,0,0.01,SEARCHED,0,0,0,0
1,0,0.1,SEARCHED,0,0,0,0
1,0.0001,1e-08,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,0.0001,1e-07,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,0.0001,1e-06,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,0.0001,1e-05,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,0.0001,0.0001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,0.0001,0.001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,0.0001,0.01,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,0.0001,0.1,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,0.01,1e-08,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,0.01,1e-07,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,0.01,1e-06,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,0.01,1e-05,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,0.01,0.0001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,0.01,0.001,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,0.01,0.01,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
1,0.01,0.1,DIRECT-CERTIFICATE-BUDGET-EXHAUSTED,0,0,0,0
3,0,1e-08,SEARCHED,0,0,0,0
