shield_mm,rho,epsilon,gap,path,baseline_passes,causal_passes,pass_saving,read_saving,write_saving,occupied_s_saving
3,0,0.01,fixed_to_causal,LL,3000,2,2998,6287261696,6287261696,565.85355264
3,0,0.01,fixed_to_causal,LH,3000,601,2399,5031067648,5031067648,452.79608832
3,0,0.01,fixed_to_causal,HL,3000,601,2399,5031067648,5031067648,452.79608832
3,0,0.01,fixed_to_causal,HH,3000,2100,900,1887436800,1887436800,169.869312
3,0,0.01,fixed_to_causal,WORST_CASE,3000,2100,900,1887436800,1887436800,169.869312
3,0,0.01,precomputed_to_causal,LL,2100,2,2098,4399824896,4399824896,395.98424064
3,0,0.01,precomputed_to_causal,LH,2100,601,1499,3143630848,3143630848,282.92677632
3,0,0.01,precomputed_to_causal,HL,2100,601,1499,3143630848,3143630848,282.92677632
3,0,0.01,precomputed_to_causal,HH,2100,2100,0,0,0,0
3,0,0.01,precomputed_to_causal,WORST_CASE,2100,2100,0,0,0,0
3,0,0.1,fixed_to_causal,LL,300,2,298,624951296,624951296,56.24561664
3,0,0.1,fixed_to_causal,LH,300,61,239,501219328,501219328,45.10973952
3,0,0.1,fixed_to_causal,HL,300,61,239,501219328,501219328,45.10973952
3,0,0.1,fixed_to_causal,HH,300,210,90,188743680,188743680,16.9869312
3,0,0.1,fixed_to_causal,WORST_CASE,300,210,90,188743680,188743680,16.9869312
3,0,0.1,precomputed_to_causal,LL,210,2,208,436207616,436207616,39.25868544
3,0,0.1,precomputed_to_causal,LH,210,61,149,312475648,312475648,28.12280832
3,0,0.1,precomputed_to_causal,HL,210,61,149,312475648,312475648,28.12280832
3,0,0.1,precomputed_to_causal,HH,210,210,0,0,0,0
3,0,0.1,precomputed_to_causal,WORST_CASE,210,210,0,0,0,0
5,0,0.001,fixed_to_causal,LL,1200,2,1198,2512388096,2512388096,226.11492864
5,0,0.001,fixed_to_causal,LH,1200,301,899,1885339648,1885339648,169.68056832
5,0,0.001,fixed_to_causal,HL,1200,301,899,1885339648,1885339648,169.68056832
5,0,0.001,fixed_to_causal,HH,1200,900,300,629145600,629145600,56.623104
5,0,0.001,fixed_to_causal,WORST_CASE,1200,900,300,629145600,629145600,56.623104
5,0,0.001,precomputed_to_causal,LL,900,2,898,1883242496,1883242496,169.49182464
5,0,0.001,precomputed_to_causal,LH,900,301,599,1256194048,1256194048,113.05746432
5,0,0.001,precomputed_to_causal,HL,900,301,599,1256194048,1256194048,113.05746432
5,0,0.001,precomputed_to_causal,HH,900,900,0,0,0,0
5,0,0.001,precomputed_to_causal,WORST_CASE,900,900,0,0,0,0
5,0,0.01,fixed_to_causal,LL,120,2,118,247463936,247463936,22.27175424
5,0,0.01,fixed_to_causal,LH,120,31,89,186646528,186646528,16.79818752
5,0,0.01,fixed_to_causal,HL,120,31,89,186646528,186646528,16.79818752
5,0,0.01,fixed_to_causal,HH,120,90,30,62914560,62914560,5.6623104
5,0,0.01,fixed_to_causal,WORST_CASE,120,90,30,62914560,62914560,5.6623104
5,0,0.01,precomputed_to_causal,LL,90,2,88,184549376,184549376,16.60944384
5,0,0.01,precomputed_to_causal,LH,90,31,59,123731968,123731968,11.13587712
5,0,0.01,precomputed_to_causal,HL,90,31,59,123731968,123731968,11.13587712
5,0,0.01,precomputed_to_causal,HH,90,90,0,0,0,0
5,0,0.01,precomputed_to_causal,WORST_CASE,90,90,0,0,0,0
5,0,0.1,fixed_to_causal,LL,10,2,8,16777216,16777216,1.50994944
5,0,0.1,fixed_to_causal,LH,10,3,7,14680064,14680064,1.32120576
5,0,0.1,fixed_to_causal,HL,10,6,4,8388608,8388608,0.75497472
5,0,0.1,fixed_to_causal,HH,10,10,0,0,0,0
5,0,0.1,fixed_to_causal,WORST_CASE,10,10,0,0,0,0
5,0,0.1,precomputed_to_causal,LL,10,2,8,16777216,16777216,1.50994944
5,0,0.1,precomputed_to_causal,LH,10,3,7,14680064,14680064,1.32120576
5,0,0.1,precomputed_to_causal,HL,10,6,4,8388608,8388608,0.75497472
5,0,0.1,precomputed_to_causal,HH,10,10,0,0,0,0
5,0,0.1,precomputed_to_causal,WORST_CASE,10,10,0,0,0,0
5,0.0001,0.1,fixed_to_causal,LL,20,2,18,37748736,37748736,3.39738624
5,0.0001,0.1,fixed_to_causal,LH,20,4,16,33554432,33554432,3.01989888
5,0.0001,0.1,fixed_to_causal,HL,20,6,14,29360128,29360128,2.64241152
5,0.0001,0.1,fixed_to_causal,HH,20,20,0,0,0,0
5,0.0001,0.1,fixed_to_causal,WORST_CASE,20,20,0,0,0,0
5,0.0001,0.1,precomputed_to_causal,LL,20,2,18,37748736,37748736,3.39738624
5,0.0001,0.1,precomputed_to_causal,LH,20,4,16,33554432,33554432,3.01989888
5,0.0001,0.1,precomputed_to_causal,HL,20,6,14,29360128,29360128,2.64241152
5,0.0001,0.1,precomputed_to_causal,HH,20,20,0,0,0,0
5,0.0001,0.1,precomputed_to_causal,WORST_CASE,20,20,0,0,0,0
