tau1_s,tau2_s,passes,reads,writes,occupied_s,occupied_fraction
0.2,0.2,3000,6291456000,6291456000,566.23104,9.437184000000e-01
0.2,0.5,2100,4404019200,4404019200,396.361728,6.606028800000e-01
0.2,1,1800,3774873600,3774873600,339.738624,5.662310400000e-01
0.2,2,1650,3460300800,3460300800,311.427072,5.190451200000e-01
0.2,5,1560,3271557120,3271557120,294.4401408,4.907335680000e-01
0.2,10,1530,3208642560,3208642560,288.7778304,4.812963840000e-01
0.2,20,1515,3177185280,3177185280,285.9466752,4.765777920000e-01
0.2,30,1510,3166699520,3166699520,285.0029568,4.750049280000e-01
0.2,60,1505,3156213760,3156213760,284.0592384,4.734320640000e-01
0.2,100,1503,3152019456,3152019456,283.68175104,4.728029184000e-01
0.2,150,1502,3149922304,3149922304,283.49300736,4.724883456000e-01
0.2,300,1501,3147825152,3147825152,283.30426368,4.721737728000e-01
0.5,0.2,2100,4404019200,4404019200,396.361728,6.606028800000e-01
0.5,0.5,1200,2516582400,2516582400,226.492416,3.774873600000e-01
0.5,1,900,1887436800,1887436800,169.869312,2.831155200000e-01
0.5,2,750,1572864000,1572864000,141.55776,2.359296000000e-01
0.5,5,660,1384120320,1384120320,124.5708288,2.076180480000e-01
0.5,10,630,1321205760,1321205760,118.9085184,1.981808640000e-01
0.5,20,615,1289748480,1289748480,116.0773632,1.934622720000e-01
0.5,30,610,1279262720,1279262720,115.1336448,1.918894080000e-01
0.5,60,605,1268776960,1268776960,114.1899264,1.903165440000e-01
0.5,100,603,1264582656,1264582656,113.81243904,1.896873984000e-01
0.5,150,602,1262485504,1262485504,113.62369536,1.893728256000e-01
0.5,300,601,1260388352,1260388352,113.43495168,1.890582528000e-01
1,0.2,1800,3774873600,3774873600,339.738624,5.662310400000e-01
1,0.5,900,1887436800,1887436800,169.869312,2.831155200000e-01
1,1,600,1258291200,1258291200,113.246208,1.887436800000e-01
1,2,450,943718400,943718400,84.934656,1.415577600000e-01
1,5,360,754974720,754974720,67.9477248,1.132462080000e-01
1,10,330,692060160,692060160,62.2854144,1.038090240000e-01
1,20,315,660602880,660602880,59.4542592,9.909043200000e-02
1,30,310,650117120,650117120,58.5105408,9.751756800000e-02
1,60,305,639631360,639631360,57.5668224,9.594470400000e-02
1,100,303,635437056,635437056,57.18933504,9.531555840000e-02
1,150,302,633339904,633339904,57.00059136,9.500098560000e-02
1,300,301,631242752,631242752,56.81184768,9.468641280000e-02
2,0.2,1650,3460300800,3460300800,311.427072,5.190451200000e-01
2,0.5,750,1572864000,1572864000,141.55776,2.359296000000e-01
2,1,450,943718400,943718400,84.934656,1.415577600000e-01
2,2,300,629145600,629145600,56.623104,9.437184000000e-02
2,5,210,440401920,440401920,39.6361728,6.606028800000e-02
2,10,180,377487360,377487360,33.9738624,5.662310400000e-02
2,20,165,346030080,346030080,31.1427072,5.190451200000e-02
2,30,160,335544320,335544320,30.1989888,5.033164800000e-02
2,60,155,325058560,325058560,29.2552704,4.875878400000e-02
2,100,153,320864256,320864256,28.87778304,4.812963840000e-02
2,150,152,318767104,318767104,28.68903936,4.781506560000e-02
2,300,151,316669952,316669952,28.50029568,4.750049280000e-02
5,0.2,1560,3271557120,3271557120,294.4401408,4.907335680000e-01
5,0.5,660,1384120320,1384120320,124.5708288,2.076180480000e-01
5,1,360,754974720,754974720,67.9477248,1.132462080000e-01
5,2,210,440401920,440401920,39.6361728,6.606028800000e-02
5,5,120,251658240,251658240,22.6492416,3.774873600000e-02
5,10,90,188743680,188743680,16.9869312,2.831155200000e-02
5,20,75,157286400,157286400,14.155776,2.359296000000e-02
5,30,70,146800640,146800640,13.2120576,2.202009600000e-02
5,60,65,136314880,136314880,12.2683392,2.044723200000e-02
5,100,63,132120576,132120576,11.89085184,1.981808640000e-02
5,150,62,130023424,130023424,11.70210816,1.950351360000e-02
5,300,61,127926272,127926272,11.51336448,1.918894080000e-02
10,0.2,1530,3208642560,3208642560,288.7778304,4.812963840000e-01
10,0.5,630,1321205760,1321205760,118.9085184,1.981808640000e-01
10,1,330,692060160,692060160,62.2854144,1.038090240000e-01
10,2,180,377487360,377487360,33.9738624,5.662310400000e-02
10,5,90,188743680,188743680,16.9869312,2.831155200000e-02
10,10,60,125829120,125829120,11.3246208,1.887436800000e-02
10,20,45,94371840,94371840,8.4934656,1.415577600000e-02
10,30,40,83886080,83886080,7.5497472,1.258291200000e-02
10,60,35,73400320,73400320,6.6060288,1.101004800000e-02
10,100,33,69206016,69206016,6.22854144,1.038090240000e-02
10,150,32,67108864,67108864,6.03979776,1.006632960000e-02
10,300,31,65011712,65011712,5.85105408,9.751756800000e-03
20,0.2,1515,3177185280,3177185280,285.9466752,4.765777920000e-01
20,0.5,615,1289748480,1289748480,116.0773632,1.934622720000e-01
20,1,315,660602880,660602880,59.4542592,9.909043200000e-02
20,2,165,346030080,346030080,31.1427072,5.190451200000e-02
20,5,75,157286400,157286400,14.155776,2.359296000000e-02
20,10,45,94371840,94371840,8.4934656,1.415577600000e-02
20,20,30,62914560,62914560,5.6623104,9.437184000000e-03
20,30,25,52428800,52428800,4.718592,7.864320000000e-03
20,60,20,41943040,41943040,3.7748736,6.291456000000e-03
20,100,18,37748736,37748736,3.39738624,5.662310400000e-03
20,150,17,35651584,35651584,3.20864256,5.347737600000e-03
20,300,16,33554432,33554432,3.01989888,5.033164800000e-03
30,0.2,1510,3166699520,3166699520,285.0029568,4.750049280000e-01
30,0.5,610,1279262720,1279262720,115.1336448,1.918894080000e-01
30,1,310,650117120,650117120,58.5105408,9.751756800000e-02
30,2,160,335544320,335544320,30.1989888,5.033164800000e-02
30,5,70,146800640,146800640,13.2120576,2.202009600000e-02
30,10,40,83886080,83886080,7.5497472,1.258291200000e-02
30,20,25,52428800,52428800,4.718592,7.864320000000e-03
30,30,20,41943040,41943040,3.7748736,6.291456000000e-03
30,60,15,31457280,31457280,2.8311552,4.718592000000e-03
30,100,13,27262976,27262976,2.45366784,4.089446400000e-03
30,150,12,25165824,25165824,2.26492416,3.774873600000e-03
30,300,11,23068672,23068672,2.07618048,3.460300800000e-03
60,0.2,1505,3156213760,3156213760,284.0592384,4.734320640000e-01
60,0.5,605,1268776960,1268776960,114.1899264,1.903165440000e-01
60,1,305,639631360,639631360,57.5668224,9.594470400000e-02
60,2,155,325058560,325058560,29.2552704,4.875878400000e-02
60,5,65,136314880,136314880,12.2683392,2.044723200000e-02
60,10,35,73400320,73400320,6.6060288,1.101004800000e-02
60,20,20,41943040,41943040,3.7748736,6.291456000000e-03
60,30,15,31457280,31457280,2.8311552,4.718592000000e-03
60,60,10,20971520,20971520,1.8874368,3.145728000000e-03
60,100,8,16777216,16777216,1.50994944,2.516582400000e-03
60,150,7,14680064,14680064,1.32120576,2.202009600000e-03
60,300,6,12582912,12582912,1.13246208,1.887436800000e-03
100,0.2,1503,3152019456,3152019456,283.68175104,4.728029184000e-01
100,0.5,603,1264582656,1264582656,113.81243904,1.896873984000e-01
100,1,303,635437056,635437056,57.18933504,9.531555840000e-02
100,2,153,320864256,320864256,28.87778304,4.812963840000e-02
100,5,63,132120576,132120576,11.89085184,1.981808640000e-02
100,10,33,69206016,69206016,6.22854144,1.038090240000e-02
100,20,18,37748736,37748736,3.39738624,5.662310400000e-03
100,30,13,27262976,27262976,2.45366784,4.089446400000e-03
100,60,8,16777216,16777216,1.50994944,2.516582400000e-03
100,100,6,12582912,12582912,1.13246208,1.887436800000e-03
100,150,5,10485760,10485760,0.9437184,1.572864000000e-03
100,300,4,8388608,8388608,0.75497472,1.258291200000e-03
150,0.2,1502,3149922304,3149922304,283.49300736,4.724883456000e-01
150,0.5,602,1262485504,1262485504,113.62369536,1.893728256000e-01
150,1,302,633339904,633339904,57.00059136,9.500098560000e-02
150,2,152,318767104,318767104,28.68903936,4.781506560000e-02
150,5,62,130023424,130023424,11.70210816,1.950351360000e-02
150,10,32,67108864,67108864,6.03979776,1.006632960000e-02
150,20,17,35651584,35651584,3.20864256,5.347737600000e-03
150,30,12,25165824,25165824,2.26492416,3.774873600000e-03
150,60,7,14680064,14680064,1.32120576,2.202009600000e-03
150,100,5,10485760,10485760,0.9437184,1.572864000000e-03
150,150,4,8388608,8388608,0.75497472,1.258291200000e-03
150,300,3,6291456,6291456,0.56623104,9.437184000000e-04
300,0.2,1501,3147825152,3147825152,283.30426368,4.721737728000e-01
300,0.5,601,1260388352,1260388352,113.43495168,1.890582528000e-01
300,1,301,631242752,631242752,56.81184768,9.468641280000e-02
300,2,151,316669952,316669952,28.50029568,4.750049280000e-02
300,5,61,127926272,127926272,11.51336448,1.918894080000e-02
300,10,31,65011712,65011712,5.85105408,9.751756800000e-03
300,20,16,33554432,33554432,3.01989888,5.033164800000e-03
300,30,11,23068672,23068672,2.07618048,3.460300800000e-03
300,60,6,12582912,12582912,1.13246208,1.887436800000e-03
300,100,4,8388608,8388608,0.75497472,1.258291200000e-03
300,150,3,6291456,6291456,0.56623104,9.437184000000e-04
300,300,2,4194304,4194304,0.37748736,6.291456000000e-04
