case_id,path,region_id,retention
d3_rho=0_eps=0.01,LL,T000_E_EXACT,0
d3_rho=0_eps=0.01,LH,T000_E_EXACT,0
d3_rho=0_eps=0.01,HL,T000_E_EXACT,0
d3_rho=0_eps=0.01,LL,T000_E_AMBIG,0
d3_rho=0_eps=0.01,LH,T000_E_AMBIG,0
d3_rho=0_eps=0.01,HL,T000_E_AMBIG,0
d3_rho=0_eps=0.01,LL,T001_E_EXACT,0.714489990467
d3_rho=0_eps=0.01,LH,T001_E_EXACT,0
d3_rho=0_eps=0.01,HL,T001_E_EXACT,1
d3_rho=0_eps=0.01,LL,T001_E_AMBIG,0
d3_rho=0_eps=0.01,LH,T001_E_AMBIG,0
d3_rho=0_eps=0.01,HL,T001_E_AMBIG,0
d3_rho=0_eps=0.01,LL,T010_E_EXACT,0.428979980934
d3_rho=0_eps=0.01,LH,T010_E_EXACT,0.600400266845
d3_rho=0_eps=0.01,HL,T010_E_EXACT,0
d3_rho=0_eps=0.01,LL,T010_E_AMBIG,0
d3_rho=0_eps=0.01,LH,T010_E_AMBIG,0
d3_rho=0_eps=0.01,HL,T010_E_AMBIG,0
d3_rho=0_eps=0.01,LL,T011_E_EXACT,0.714489990467
d3_rho=0_eps=0.01,LH,T011_E_EXACT,0.600400266845
d3_rho=0_eps=0.01,HL,T011_E_EXACT,1
d3_rho=0_eps=0.01,LL,T011_E_AMBIG,0
d3_rho=0_eps=0.01,LH,T011_E_AMBIG,0
d3_rho=0_eps=0.01,HL,T011_E_AMBIG,0
d3_rho=0_eps=0.01,LL,T110_E_EXACT,0.714489990467
d3_rho=0_eps=0.01,LH,T110_E_EXACT,1
d3_rho=0_eps=0.01,HL,T110_E_EXACT,0
d3_rho=0_eps=0.01,LL,T110_E_AMBIG,0
d3_rho=0_eps=0.01,LH,T110_E_AMBIG,0
d3_rho=0_eps=0.01,HL,T110_E_AMBIG,0
d3_rho=0_eps=0.01,LL,T111_E_EXACT,1
d3_rho=0_eps=0.01,LH,T111_E_EXACT,1
d3_rho=0_eps=0.01,HL,T111_E_EXACT,1
d3_rho=0_eps=0.01,LL,T111_E_AMBIG,0
d3_rho=0_eps=0.01,LH,T111_E_AMBIG,0
d3_rho=0_eps=0.01,HL,T111_E_AMBIG,0
d3_rho=0_eps=0.1,LL,T000_E_EXACT,0
d3_rho=0_eps=0.1,LH,T000_E_EXACT,0
d3_rho=0_eps=0.1,HL,T000_E_EXACT,0
d3_rho=0_eps=0.1,LL,T000_E_AMBIG,0
d3_rho=0_eps=0.1,LH,T000_E_AMBIG,0
d3_rho=0_eps=0.1,HL,T000_E_AMBIG,0
d3_rho=0_eps=0.1,LL,T001_E_EXACT,0.716346153846
d3_rho=0_eps=0.1,LH,T001_E_EXACT,0
d3_rho=0_eps=0.1,HL,T001_E_EXACT,1
d3_rho=0_eps=0.1,LL,T001_E_AMBIG,0
d3_rho=0_eps=0.1,LH,T001_E_AMBIG,0
d3_rho=0_eps=0.1,HL,T001_E_AMBIG,0
d3_rho=0_eps=0.1,LL,T010_E_EXACT,0.432692307692
d3_rho=0_eps=0.1,LH,T010_E_EXACT,0.604026845638
d3_rho=0_eps=0.1,HL,T010_E_EXACT,0
d3_rho=0_eps=0.1,LL,T010_E_AMBIG,0
d3_rho=0_eps=0.1,LH,T010_E_AMBIG,0
d3_rho=0_eps=0.1,HL,T010_E_AMBIG,0
d3_rho=0_eps=0.1,LL,T011_E_EXACT,0.716346153846
d3_rho=0_eps=0.1,LH,T011_E_EXACT,0.604026845638
d3_rho=0_eps=0.1,HL,T011_E_EXACT,1
d3_rho=0_eps=0.1,LL,T011_E_AMBIG,0
d3_rho=0_eps=0.1,LH,T011_E_AMBIG,0
d3_rho=0_eps=0.1,HL,T011_E_AMBIG,0
d3_rho=0_eps=0.1,LL,T110_E_EXACT,0.716346153846
d3_rho=0_eps=0.1,LH,T110_E_EXACT,1
d3_rho=0_eps=0.1,HL,T110_E_EXACT,0
d3_rho=0_eps=0.1,LL,T110_E_AMBIG,0
d3_rho=0_eps=0.1,LH,T110_E_AMBIG,0
d3_rho=0_eps=0.1,HL,T110_E_AMBIG,0
d3_rho=0_eps=0.1,LL,T111_E_EXACT,1
d3_rho=0_eps=0.1,LH,T111_E_EXACT,1
d3_rho=0_eps=0.1,HL,T111_E_EXACT,1
d3_rho=0_eps=0.1,LL,T111_E_AMBIG,0
d3_rho=0_eps=0.1,LH,T111_E_AMBIG,0
d3_rho=0_eps=0.1,HL,T111_E_AMBIG,0
d5_rho=0_eps=0.001,LL,T000_E_EXACT,0
d5_rho=0_eps=0.001,LH,T000_E_EXACT,0
d5_rho=0_eps=0.001,HL,T000_E_EXACT,0
d5_rho=0_eps=0.001,LL,T000_E_AMBIG,0
d5_rho=0_eps=0.001,LH,T000_E_AMBIG,0
d5_rho=0_eps=0.001,HL,T000_E_AMBIG,0
d5_rho=0_eps=0.001,LL,T001_E_EXACT,0.667037861915
d5_rho=0_eps=0.001,LH,T001_E_EXACT,0
d5_rho=0_eps=0.001,HL,T001_E_EXACT,1
d5_rho=0_eps=0.001,LL,T001_E_AMBIG,0
d5_rho=0_eps=0.001,LH,T001_E_AMBIG,0
d5_rho=0_eps=0.001,HL,T001_E_AMBIG,0
d5_rho=0_eps=0.001,LL,T010_E_EXACT,0.334075723831
d5_rho=0_eps=0.001,LH,T010_E_EXACT,0.500834724541
d5_rho=0_eps=0.001,HL,T010_E_EXACT,0
d5_rho=0_eps=0.001,LL,T010_E_AMBIG,0
d5_rho=0_eps=0.001,LH,T010_E_AMBIG,0
d5_rho=0_eps=0.001,HL,T010_E_AMBIG,0
d5_rho=0_eps=0.001,LL,T011_E_EXACT,0.667037861915
d5_rho=0_eps=0.001,LH,T011_E_EXACT,0.500834724541
d5_rho=0_eps=0.001,HL,T011_E_EXACT,1
d5_rho=0_eps=0.001,LL,T011_E_AMBIG,0
d5_rho=0_eps=0.001,LH,T011_E_AMBIG,0
d5_rho=0_eps=0.001,HL,T011_E_AMBIG,0
d5_rho=0_eps=0.001,LL,T110_E_EXACT,0.667037861915
d5_rho=0_eps=0.001,LH,T110_E_EXACT,1
d5_rho=0_eps=0.001,HL,T110_E_EXACT,0
d5_rho=0_eps=0.001,LL,T110_E_AMBIG,0
d5_rho=0_eps=0.001,LH,T110_E_AMBIG,0
d5_rho=0_eps=0.001,HL,T110_E_AMBIG,0
d5_rho=0_eps=0.001,LL,T111_E_EXACT,1
d5_rho=0_eps=0.001,LH,T111_E_EXACT,1
d5_rho=0_eps=0.001,HL,T111_E_EXACT,1
d5_rho=0_eps=0.001,LL,T111_E_AMBIG,0
d5_rho=0_eps=0.001,LH,T111_E_AMBIG,0
d5_rho=0_eps=0.001,HL,T111_E_AMBIG,0
d5_rho=0_eps=0.01,LL,T000_E_EXACT,0
d5_rho=0_eps=0.01,LH,T000_E_EXACT,0
d5_rho=0_eps=0.01,HL,T000_E_EXACT,0
d5_rho=0_eps=0.01,LL,T000_E_AMBIG,0
d5_rho=0_eps=0.01,LH,T000_E_AMBIG,0
d5_rho=0_eps=0.01,HL,T000_E_AMBIG,0
d5_rho=0_eps=0.01,LL,T001_E_EXACT,0.670454545455
d5_rho=0_eps=0.01,LH,T001_E_EXACT,0
