mapping,topology_scenario,arrival_scenario,initial_state,scrub_period,representation,trials,e_cap_count,f_a,ci_method,confidence_level,ci_low,ci_high,ci_half_width,precision_limit,precision_satisfied,paired_disagreement_rate_vs_l1,l2_input_fingerprint,signed_error_vs_l1,absolute_error_vs_l1,relative_error_vs_l1
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,clean,0.5,L0,8000,7593,0.949125,wilson_score,0.95,0.9440905439379508,0.9537283392785094,0.004818897670279321,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,clean,0.5,L1,8000,7593,0.949125,wilson_score,0.95,0.9440905439379508,0.9537283392785094,0.004818897670279321,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,clean,0.5,L2-independent_word_marginals,8000,6878,0.85975,wilson_score,0.95,0.8519679758972837,0.8671866987191851,0.007609361410950699,0.011,True,0.089375,6beaa791992c37e0bea6aff5af862b0a5c8cc03863ff06d9da70dde1e7bd5d18,-0.08937499999999998,0.08937499999999998,-0.09416567891478991
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,clean,0.5,L3-U,8000,3203,0.400375,wilson_score,0.95,0.38968844664830815,0.41115718376540755,0.0107343685585497,0.011,True,,,-0.5487500000000001,0.5487500000000001,-0.5781640985117873
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,clean,1.0,L0,8000,7593,0.949125,wilson_score,0.95,0.9440905439379508,0.9537283392785094,0.004818897670279321,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,clean,1.0,L1,8000,7593,0.949125,wilson_score,0.95,0.9440905439379508,0.9537283392785094,0.004818897670279321,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,clean,1.0,L2-independent_word_marginals,8000,6878,0.85975,wilson_score,0.95,0.8519679758972837,0.8671866987191851,0.007609361410950699,0.011,True,0.089375,6beaa791992c37e0bea6aff5af862b0a5c8cc03863ff06d9da70dde1e7bd5d18,-0.08937499999999998,0.08937499999999998,-0.09416567891478991
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,clean,1.0,L3-U,8000,4818,0.60225,wilson_score,0.95,0.5914784040677038,0.6129234457711673,0.010722520851731754,0.011,True,,,-0.34687500000000004,0.34687500000000004,-0.3654681943895694
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,clean,2.0,L0,8000,7593,0.949125,wilson_score,0.95,0.9440905439379508,0.9537283392785094,0.004818897670279321,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,clean,2.0,L1,8000,7593,0.949125,wilson_score,0.95,0.9440905439379508,0.9537283392785094,0.004818897670279321,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,clean,2.0,L2-independent_word_marginals,8000,6879,0.859875,wilson_score,0.95,0.852095751916189,0.8673088027123076,0.007606525398059283,0.011,True,0.08925,6beaa791992c37e0bea6aff5af862b0a5c8cc03863ff06d9da70dde1e7bd5d18,-0.08925000000000005,0.08925000000000005,-0.09403397866455952
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,clean,2.0,L3-U,8000,6390,0.79875,wilson_score,0.95,0.7898218505442132,0.8073913782026112,0.008784763829199016,0.011,True,,,-0.15037500000000004,0.15037500000000004,-0.158435401027262
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,clean,4.0,L0,8000,7593,0.949125,wilson_score,0.95,0.9440905439379508,0.9537283392785094,0.004818897670279321,0.011,True,0.0,,0.0,0.0,0.0
W-contiguous-no-interleaving,compact-three-cell-only,synthetic-hpp-constant,clean,4.0,L1,8000,7593,0.949125,wilson_score,0.95,0.9440905439379508,0.9537283392785094,0.004818897670279321,0.011,True,0.0,,0.0,0.0,0.0
